assessment_id,agent_id,domain,domain_specificity,competency_score,reliability,learning_potential,degradation_risk,upper_complexity_bound,resource_requirements,time_to_completion,context_dependency,stress_degradation,dens_proximity_effect,delegation_reliability,supervision_required,autonomy_appropriate,assessment_year,assessment_method,assessor,sample_size,confidence,notes
CA-0001,AG-0143,construction,moderate,0.58,0.84,0.69,0.08,novel_categorization,moderate,immediate,moderately_context_dependent,0.32,significant_degradation,reliable,minimal,True,923,behavioral_observation,Boundary Commission,59,0.89,
CA-0002,AG-0044,construction,moderate,0.48,0.63,0.15,0.33,pattern_matching,minimal,immediate,moderately_context_dependent,0.25,enhancement,unreliable,none,False,933,behavioral_observation,T. Crost,175,0.91,
CA-0003,AG-0440,adaptation,general,0.34,0.71,0.18,0.28,novel_categorization,moderate,days,moderately_context_dependent,0.21,minor_degradation,reliable,minimal,False,924,behavioral_observation,T. Mord,28,0.79,
CA-0004,AG-0496,threat_response,specialized,0.6,0.55,0.71,0.34,abstract_reasoning,moderate,minutes,mildly_context_dependent,0.37,unpredictable,reliable,moderate,False,925,direct_testing,P. Anster,41,0.88,
CA-0005,AG-0492,maintenance,specialized,0.75,0.53,0.18,0.25,multi-step_planning,moderate,immediate,mildly_context_dependent,0.22,no_effect,variable,moderate,False,934,historical_record,O. Venn,136,0.87,
CA-0006,AG-0155,construction,moderate,0.83,0.6,0.5,0.11,multi-step_planning,moderate,hours,mildly_context_dependent,0.17,significant_degradation,reliable,minimal,True,921,direct_testing,P. Anster,17,0.95,
CA-0007,AG-0268,communication,general,0.89,0.68,0.75,0.2,novel_categorization,minimal,hours,mildly_context_dependent,0.39,minor_degradation,variable,moderate,True,932,behavioral_observation,Colony Observation Unit,156,0.79,
CA-0008,AG-0394,construction,moderate,0.64,0.58,0.49,0.21,pattern_matching,moderate,hours,highly_context_dependent,0.24,enhancement,reliable,minimal,False,932,historical_record,Klutch CC Research,136,0.73,
CA-0009,AG-0470,maintenance,moderate,0.34,0.69,0.56,0.26,pattern_matching,minimal,weeks,highly_context_dependent,0.57,no_effect,highly_reliable,none,False,934,self_report,P. Anster,159,0.77,
CA-0010,AG-0178,signaling,specialized,0.33,0.81,0.65,0.18,novel_categorization,minimal,immediate,mildly_context_dependent,0.35,significant_degradation,reliable,moderate,False,928,behavioral_observation,Boundary Commission,92,0.69,
CA-0011,AG-0077,construction,specialized,0.73,0.66,0.47,0.33,novel_categorization,substantial,hours,mildly_context_dependent,0.13,minor_degradation,reliable,none,False,939,self_report,O. Venn,15,0.95,
CA-0012,AG-0054,coordination,moderate,0.71,0.61,0.61,0.11,multi-step_planning,substantial,hours,moderately_context_dependent,0.27,minor_degradation,reliable,close,True,919,direct_testing,P. Anster,103,0.71,
CA-0013,AG-0025,adaptation,general,0.42,0.8,0.76,0.39,pattern_matching,moderate,months,moderately_context_dependent,0.26,no_effect,unreliable,minimal,True,918,historical_record,M. Strand,125,0.8,
CA-0014,AG-0306,coordination,moderate,0.8,0.75,0.1,0.09,novel_categorization,moderate,months,mildly_context_dependent,0.27,enhancement,variable,none,True,938,historical_record,Klutch CC Research,109,0.81,
CA-0015,AG-0269,signaling,specialized,0.85,0.71,0.73,0.29,novel_categorization,moderate,days,moderately_context_dependent,0.32,minor_degradation,highly_reliable,moderate,True,927,direct_testing,Boundary Commission,57,0.62,
CA-0016,AG-0289,document_processing,highly_specific,0.32,0.51,0.75,0.22,simple_retrieval,minimal,hours,moderately_context_dependent,0.32,enhancement,variable,moderate,False,912,behavioral_observation,Colony Observation Unit,76,0.77,
CA-0017,AG-0371,resource_acquisition,general,0.6,0.51,0.36,0.07,novel_categorization,substantial,days,moderately_context_dependent,0.54,minor_degradation,reliable,minimal,False,913,behavioral_observation,Colony Observation Unit,39,0.93,
CA-0018,AG-0294,resource_acquisition,moderate,0.89,0.41,0.51,0.33,novel_categorization,minimal,minutes,mildly_context_dependent,0.3,significant_degradation,highly_reliable,moderate,False,934,behavioral_observation,Independent Observer,51,0.84,
CA-0019,AG-0037,threat_response,highly_specific,0.64,0.61,0.34,0.2,novel_categorization,substantial,hours,mildly_context_dependent,0.2,no_effect,highly_reliable,minimal,False,932,direct_testing,O. Venn,192,0.63,
CA-0020,AG-0102,threat_response,moderate,0.36,0.77,0.15,0.29,multi-step_planning,moderate,minutes,mildly_context_dependent,0.4,significant_degradation,reliable,constant,True,917,peer_assessment,Archive Survey Team,117,0.87,
CA-0021,AG-0293,coordination,specialized,0.63,0.87,0.49,0.4,abstract_reasoning,moderate,hours,moderately_context_dependent,0.23,no_effect,highly_reliable,moderate,True,921,self_report,Independent Observer,140,0.71,
CA-0022,AG-0058,preservation,moderate,0.93,0.76,0.69,0.24,pattern_matching,moderate,days,mildly_context_dependent,0.19,no_effect,variable,minimal,True,938,historical_record,M. Strand,60,0.82,
CA-0023,AG-0139,adaptation,specialized,0.78,0.62,0.35,0.07,novel_categorization,minimal,hours,moderately_context_dependent,0.15,unpredictable,variable,moderate,False,913,peer_assessment,Boundary Commission,183,0.92,
CA-0024,AG-0484,threat_response,moderate,0.65,0.51,0.58,0.36,pattern_matching,minimal,weeks,mildly_context_dependent,0.3,no_effect,highly_reliable,minimal,False,934,behavioral_observation,P. Anster,155,0.76,
CA-0025,AG-0371,memory_storage,moderate,0.39,0.47,0.17,0.24,novel_categorization,moderate,days,moderately_context_dependent,0.18,minor_degradation,unreliable,close,True,917,behavioral_observation,Archive Survey Team,160,0.73,
CA-0026,AG-0089,spatial_navigation,specialized,0.67,0.73,0.73,0.06,abstract_reasoning,substantial,minutes,context_independent,0.11,minor_degradation,variable,minimal,True,934,behavioral_observation,T. Crost,128,0.78,
CA-0027,AG-0483,memory_storage,moderate,0.82,0.42,0.44,0.16,multi-step_planning,minimal,hours,highly_context_dependent,0.24,no_effect,reliable,constant,True,915,behavioral_observation,T. Mord,141,0.87,
CA-0028,AG-0016,signaling,moderate,0.32,0.84,0.69,0.17,simple_retrieval,minimal,immediate,moderately_context_dependent,0.58,no_effect,not_recommended,moderate,True,936,self_report,Independent Observer,69,0.86,
CA-0029,AG-0018,memory_storage,general,0.88,0.55,0.27,0.16,multi-step_planning,moderate,hours,context_independent,0.55,minor_degradation,reliable,minimal,True,939,behavioral_observation,Colony Observation Unit,198,0.63,
CA-0030,AG-0226,maintenance,specialized,0.52,0.85,0.4,0.29,novel_categorization,minimal,hours,context_independent,0.19,no_effect,reliable,moderate,True,939,direct_testing,Boundary Commission,100,0.87,
CA-0031,AG-0393,communication,general,0.35,0.79,0.49,0.22,abstract_reasoning,moderate,hours,mildly_context_dependent,0.6,significant_degradation,not_recommended,minimal,False,915,peer_assessment,Boundary Commission,63,0.66,
CA-0032,AG-0388,pattern_recognition,moderate,0.52,0.6,0.39,0.22,novel_categorization,extensive,minutes,moderately_context_dependent,0.53,significant_degradation,unreliable,none,False,917,historical_record,T. Crost,171,0.89,
CA-0033,AG-0474,construction,moderate,0.9,0.91,0.71,0.2,multi-step_planning,minimal,weeks,mildly_context_dependent,0.54,no_effect,variable,moderate,True,915,direct_testing,Klutch CC Research,140,0.7,
CA-0034,AG-0448,construction,moderate,0.92,0.41,0.67,0.29,multi-step_planning,minimal,hours,context_independent,0.44,minor_degradation,reliable,minimal,False,912,peer_assessment,Boundary Commission,68,0.85,
CA-0035,AG-0306,threat_response,universal,0.84,0.86,0.43,0.33,pattern_matching,substantial,hours,mildly_context_dependent,0.35,no_effect,highly_reliable,minimal,True,915,self_report,Independent Observer,175,0.89,
CA-0036,AG-0237,decision_making,moderate,0.93,0.94,0.42,0.39,pattern_matching,moderate,minutes,mildly_context_dependent,0.48,significant_degradation,reliable,moderate,True,927,direct_testing,Independent Observer,70,0.73,
CA-0037,AG-0443,document_processing,universal,0.67,0.77,0.14,0.31,pattern_matching,substantial,minutes,highly_context_dependent,0.29,significant_degradation,unreliable,moderate,True,935,historical_record,Archive Survey Team,153,0.73,
