correction_id,trajectory_id,perturbation_year,perturbation_type,perturbation_magnitude,original_target_id,off_course_location_x,off_course_location_y,off_course_location_z,correction_type,correction_duration,correction_distance,energy_cost,correction_mechanism,correction_quality,outcome,final_form_id,delay_caused,documenter,observation_method,confidence,description,notes
CC-0001,NT-0438,920,dens_fluctuation,0.3271,MS-0028,0.2377,0.0464,0.8927,alternative_path,20,0.2723,1.484,gradient_following,0.954,partial_recovery,,0,Archive Survey Team,before_after_comparison,0.968,Correction from dens_fluctuation perturbation via alternative_path. partial_recovery.,
CC-0002,,930,environmental_force,0.278,MS-0042,0.1669,-0.8201,0.6396,full_restart,79,0.9685,3.473,trial_and_error,0.506,alternative_target,MS-0080,0,T. Vells,entity_report,0.776,Correction from environmental_force perturbation via full_restart. alternative_target.,
CC-0003,,926,attractor_shift,0.3936,MS-0034,0.3127,-0.7073,0.2997,immediate_return,6,0.0808,2.94,gradient_following,0.701,partial_recovery,,0,Archive Survey Team,continuous_tracking,0.697,Correction from attractor_shift perturbation via immediate_return. partial_recovery.,
CC-0004,NT-0202,920,environmental_force,0.6347,MS-0010,-0.5152,0.4928,-0.4843,immediate_return,10,0.1522,1.317,gradient_following,1.0,alternative_target,MS-0019,0,Archive Survey Team,trajectory_reconstruction,0.566,Correction from environmental_force perturbation via immediate_return. alternative_target.,
CC-0005,NT-0165,921,substrate_damage,0.7664,MS-0059,-0.8546,-0.7287,-0.4637,gradual_correction,47,0.3013,2.776,landmark_recognition,0.618,delayed_arrival,MS-0022,99,R. Voss,entity_report,0.865,Correction from substrate_damage perturbation via gradual_correction. delayed_arrival.,
CC-0006,NT-0067,931,navigation_error,0.6274,MS-0064,0.7804,0.5758,0.9493,full_restart,138,0.6261,4.229,unknown,0.464,correction_failed,,0,R. Voss,trajectory_reconstruction,0.855,Correction from navigation_error perturbation via full_restart. correction_failed.,
CC-0007,NT-0087,921,substrate_damage,0.5018,MS-0034,-0.0583,0.123,0.6433,target_revision,17,0.1127,3.28,landmark_recognition,0.48,original_target_reached,MS-0034,17,C. Vells,before_after_comparison,0.98,Correction from substrate_damage perturbation via target_revision. original_target_reached.,
CC-0008,,922,navigation_error,0.3389,MS-0008,-0.6528,-0.0577,-0.7645,immediate_return,7,0.1169,3.254,attractor_memory,0.722,alternative_target,MS-0034,0,Archive Survey Team,continuous_tracking,0.632,Correction from navigation_error perturbation via immediate_return. alternative_target.,
CC-0009,NT-0314,923,environmental_force,0.7321,MS-0001,-0.9748,-0.7969,0.5079,assisted_correction,18,0.4691,1.393,attractor_memory,0.69,delayed_arrival,MS-0044,38,Archive Survey Team,trajectory_reconstruction,0.972,Correction from environmental_force perturbation via assisted_correction. delayed_arrival.,
CC-0010,NT-0185,921,environmental_force,0.1784,MS-0068,-0.5146,-0.8227,0.2366,immediate_return,13,0.259,3.891,trial_and_error,1.0,original_target_reached,MS-0068,13,K. Strand,before_after_comparison,0.593,Correction from environmental_force perturbation via immediate_return. original_target_reached.,
CC-0011,NT-0194,932,navigation_error,0.3691,MS-0098,0.038,-0.7126,-0.0824,immediate_return,10,0.2002,1.489,inherited_pattern,0.649,original_target_reached,MS-0098,10,R. Voss,continuous_tracking,0.634,Correction from navigation_error perturbation via immediate_return. original_target_reached.,
CC-0012,NT-0488,931,environmental_force,0.1173,MS-0020,0.5057,-0.5512,0.5369,target_revision,49,0.2485,3.293,external_guidance,0.799,partial_recovery,,0,Archive Survey Team,before_after_comparison,0.714,Correction from environmental_force perturbation via target_revision. partial_recovery.,
CC-0013,NT-0260,920,attractor_shift,0.5527,MS-0012,0.7309,0.0557,-0.3744,gradual_correction,17,0.564,3.555,trial_and_error,0.885,original_target_reached,MS-0012,17,Archive Survey Team,entity_report,0.519,Correction from attractor_shift perturbation via gradual_correction. original_target_reached.,
CC-0014,,929,environmental_force,0.5926,MS-0070,-0.019,-0.4431,0.8492,assisted_correction,53,0.7338,0.904,landmark_recognition,0.687,partial_recovery,,0,K. Strand,before_after_comparison,0.693,Correction from environmental_force perturbation via assisted_correction. partial_recovery.,
CC-0015,NT-0414,926,environmental_force,0.7815,MS-0069,-0.6832,0.8474,-0.4685,assisted_correction,53,0.6834,1.85,gradient_following,0.849,original_target_reached,MS-0069,53,Archive Survey Team,entity_report,0.689,Correction from environmental_force perturbation via assisted_correction. original_target_reached.,
CC-0016,NT-0383,925,dens_fluctuation,0.201,MS-0096,-0.0533,-0.7364,-0.4901,gradual_correction,33,0.5062,3.919,trial_and_error,0.6,original_target_reached,MS-0096,33,C. Vells,continuous_tracking,0.828,Correction from dens_fluctuation perturbation via gradual_correction. original_target_reached.,
CC-0017,NT-0016,928,competing_signal,0.6552,MS-0054,-0.8195,-0.5022,0.1403,gradual_correction,44,0.4497,1.775,unknown,0.725,delayed_arrival,MS-0054,43,T. Vells,entity_report,0.868,Correction from competing_signal perturbation via gradual_correction. delayed_arrival.,
CC-0018,,929,navigation_error,0.3639,MS-0023,-0.0703,0.6875,-0.8753,gradual_correction,15,0.5283,3.698,gradient_following,0.512,overcorrection,,0,K. Strand,continuous_tracking,0.922,Correction from navigation_error perturbation via gradual_correction. overcorrection.,
CC-0019,NT-0317,930,navigation_error,0.3473,MS-0002,0.0396,0.1109,0.6331,alternative_path,11,0.3954,3.602,gradient_following,0.575,delayed_arrival,MS-0008,163,R. Voss,trajectory_reconstruction,0.654,Correction from navigation_error perturbation via alternative_path. delayed_arrival.,
CC-0020,NT-0239,923,navigation_error,0.1304,MS-0014,-0.0781,0.1603,-0.2324,immediate_return,6,0.1133,0.855,external_guidance,0.665,original_target_reached,MS-0014,6,Archive Survey Team,entity_report,0.732,Correction from navigation_error perturbation via immediate_return. original_target_reached.,
CC-0021,,929,environmental_force,0.2564,MS-0096,-0.6026,-0.1763,0.4461,alternative_path,60,0.4167,3.562,unknown,0.733,original_target_reached,MS-0096,60,T. Vells,continuous_tracking,0.625,Correction from environmental_force perturbation via alternative_path. original_target_reached.,
