event_id,event_name,delegator_id,delegator_scale,delegator_level,delegate_id,delegate_scale,delegate_level,task_type,task_description,specification_level,autonomy_granted,trust_required,reversibility,delegation_year,completion_status,outcome_quality,trust_change,success_factor,failure_factor,documented_year,documenter,documentation_source,confidence,notes
DE-0001,Colony Document Assessment,AG-0080,small_group,2.6,AG-0224,cellular,0.6,decision,Complete standard mission,detailed,substantial,0.52,difficult_to_reverse,893,failed,0.13,trust_unchanged,,context_change,923,Colony Observation Unit,testimony,0.85,
DE-0002,Colony Mission Response,AG-0092,small_group,3.4,AG-0108,cellular,0.9,information,Complete routine mission,high_level,minimal,0.83,partially_reversible,892,completed_as_specified,0.78,trust_unchanged,high_trust,,920,M. Strand,institutional_record,0.78,
DE-0003,Colony Document Response,AG-0030,small_group,2.9,AG-0361,tissue,2.0,construction,Complete urgent operation,detailed,complete,0.53,partially_reversible,902,partially_completed,0.65,trust_unchanged,,,927,O. Venn,institutional_record,0.94,
DE-0004,Crew Project Integration,AG-0063,tissue,1.1,AG-0166,cellular,1.2,construction,Complete standard task,outcome_only,substantial,0.81,partially_reversible,900,completed_as_specified,0.95,trust_unchanged,high_trust,,929,Klutch CC Research,institutional_record,0.66,
DE-0005,Archive Task Repair,AG-0022,large_collective,2.6,AG-0291,cellular,1.0,coordination,Complete urgent operation,high_level,moderate,0.58,partially_reversible,879,completed_as_specified,0.78,trust_increased,clear_outcome_spec,,916,Independent Observer,institutional_record,0.9,
DE-0006,Guild Project Extension,AG-0010,institution,4.3,AG-0137,small_group,3.1,decision,Complete urgent task,outcome_only,minimal,0.69,partially_reversible,917,completed_modified,0.83,trust_unchanged,good_communication,,915,O. Venn,institutional_record,0.94,
DE-0007,Archive Mission Repair,AG-0005,small_group,3.5,AG-0104,tissue,1.7,resource,Complete standard operation,outcome_only,substantial,0.68,partially_reversible,873,partially_completed,0.62,trust_unchanged,,,924,Klutch CC Research,institutional_record,0.9,
DE-0008,Guild Document Repair,AG-0095,large_collective,2.9,AG-0247,individual,3.0,protection,Complete standard task,high_level,substantial,0.44,difficult_to_reverse,940,completed_modified,0.9,trust_increased,clear_outcome_spec,,936,M. Strand,direct_observation,0.62,
DE-0009,Survey Task Response,AG-0056,large_collective,3.2,AG-0218,tissue,1.6,coordination,Complete urgent objective,high_level,moderate,0.6,fully_reversible,899,failed,0.13,trust_destroyed,,competency_mismatch,926,Archive Survey Team,direct_observation,0.8,
DE-0010,Colony Document Extension,AG-0100,tissue,1.8,AG-0116,cellular,1.4,construction,Complete standard mission,high_level,complete,0.87,partially_reversible,875,completed_modified,0.71,trust_unchanged,appropriate_autonomy,,922,T. Mord,testimony,0.71,
DE-0011,Crew Document Integration,AG-0062,organ,2.0,AG-0294,cellular,0.6,maintenance,Complete standard task,high_level,none,0.63,partially_reversible,908,completed_modified,0.76,trust_unchanged,high_trust,,926,T. Mord,direct_observation,0.68,
DE-0012,Archive Project Response,AG-0049,institution,4.1,AG-0114,individual,3.8,maintenance,Complete urgent mission,high_level,moderate,0.41,partially_reversible,924,completed_modified,0.84,trust_increased,competency_match,,921,O. Venn,institutional_record,0.69,
DE-0013,Guild Mission Integration,AG-0063,large_collective,2.8,AG-0260,cellular,1.3,coordination,Complete standard mission,high_level,substantial,0.88,fully_reversible,898,ongoing,,trust_unchanged,,,928,O. Venn,testimony,0.71,
DE-0014,Survey Task Repair,AG-0046,large_collective,3.3,AG-0326,small_group,3.1,decision,Complete assigned mission,outcome_only,minimal,0.95,partially_reversible,910,completed_as_specified,0.97,trust_increased,clear_outcome_spec,,918,T. Crost,biological_observation,0.71,
DE-0015,Colony Task Integration,AG-0035,institution,4.4,AG-0275,individual,2.4,information,Complete standard mission,detailed,none,0.66,partially_reversible,892,partially_completed,0.68,trust_unchanged,,,929,Colony Observation Unit,direct_observation,0.89,
DE-0016,Colony Task Response,AG-0078,large_collective,3.1,AG-0389,organ,1.9,information,Complete urgent task,outcome_only,none,0.85,fully_reversible,887,failed,0.15,trust_unchanged,,competency_mismatch,914,T. Crost,testimony,0.91,
DE-0017,Colony Task Repair,AG-0073,institution,4.1,AG-0347,organ,1.8,construction,Complete standard task,high_level,substantial,0.9,partially_reversible,899,completed_as_specified,0.87,trust_increased,competency_match,,932,Klutch CC Research,institutional_record,0.77,
DE-0018,Archive Mission Extension,AG-0071,organ,1.8,AG-0249,tissue,1.6,protection,Complete routine task,micromanaged,minimal,0.56,partially_reversible,876,failed,0.4,trust_decreased,,communication_breakdown,917,Boundary Commission,institutional_record,0.63,
DE-0019,Colony Tunnel Response,AG-0005,large_collective,3.0,AG-0247,individual,3.0,coordination,Complete assigned operation,high_level,moderate,0.56,partially_reversible,875,completed_as_specified,0.74,trust_increased,appropriate_autonomy,,920,Independent Observer,testimony,0.68,
DE-0020,Crew Document Assessment,AG-0096,institution,4.3,AG-0177,organ,2.4,response,Complete standard mission,micromanaged,complete,0.5,fully_reversible,921,ongoing,,trust_unchanged,,,920,Colony Observation Unit,institutional_record,0.87,
DE-0021,Colony Tunnel Response,AG-0049,small_group,3.4,AG-0190,individual,3.1,information,Complete standard operation,micromanaged,moderate,0.7,partially_reversible,925,completed_modified,0.73,trust_unchanged,clear_outcome_spec,,940,O. Venn,institutional_record,0.81,
DE-0022,Guild Tunnel Response,AG-0048,institution,4.4,AG-0317,organ,2.2,coordination,Complete routine operation,high_level,substantial,0.52,irreversible,902,partially_completed,0.41,trust_unchanged,,,917,Archive Survey Team,testimony,0.64,
DE-0023,Crew Document Integration,AG-0099,tissue,1.5,AG-0301,cellular,1.4,information,Complete assigned mission,detailed,substantial,0.69,partially_reversible,910,ongoing,,trust_unchanged,,,920,Independent Observer,biological_observation,0.94,
DE-0024,Guild Tunnel Integration,AG-0047,organism,4.4,AG-0308,organ,2.2,decision,Complete routine task,high_level,complete,0.56,difficult_to_reverse,910,partially_completed,0.44,trust_unchanged,,,925,P. Anster,inference,0.83,
DE-0025,Survey Task Integration,AG-0062,institution,3.7,AG-0296,large_collective,3.0,coordination,Complete standard objective,high_level,substantial,0.88,partially_reversible,876,partially_completed,0.64,trust_unchanged,,,935,Independent Observer,direct_observation,0.77,
DE-0026,Survey Task Assessment,AG-0078,large_collective,2.6,AG-0317,small_group,2.6,decision,Complete assigned objective,detailed,none,0.51,fully_reversible,904,completed_as_specified,0.86,trust_increased,good_communication,,927,Archive Survey Team,institutional_record,0.83,
