boundary_id,entity_a_id,entity_a_name,entity_b_id,entity_b_name,boundary_type,boundary_strength,permeability,sharpness,boundary_coord_x,boundary_coord_y,boundary_coord_z,boundary_extent,relationship_type,tension_level,first_documented,documenter,documentation_method,confidence,description,notes
EB-0001,MS-0066,Form 66,EN-003,Western Archive Territory,categorical,0.35,0.61,0.35,-0.5341,-0.052,-0.2693,0.194,sympathetic,0.22,1832,P. Tross,direct_observation,0.69,Classification boundary: Form 66 and Western Archive Territory belong to distinct categories.,
EB-0002,MS-0090,Form 90,MS-0044,Form 44,structural,0.46,0.59,0.68,-0.267,0.0354,0.3005,0.035,sympathetic,0.37,919,Western Archive Team,historical_inference,0.66,Form architecture differs across boundary.,
EB-0003,MS-0076,Form 76,MS-0107,Form 107,behavioral,0.79,0.23,0.33,0.5584,-0.1189,-0.3138,0.054,antipathetic,0.65,922,Senate Survey,trajectory_analysis,0.9,Pattern divergence between Form 76 and Form 107 behavior.,
EB-0004,MS-0118,Form 118,MS-0038,Form 38,temporal,0.9,0.11,0.43,-0.0153,-0.1917,-0.1749,0.111,antipathetic,0.54,928,Archive Survey Team,tension_measurement,0.7,Time-based separation observed.,
EB-0005,MS-0055,Form 55,MS-0060,Form 60,spatial,0.47,0.54,0.36,-0.2466,-0.4675,0.543,0.114,neutral,0.36,917,Boundary Commission,historical_inference,0.59,Morphospace region boundary separating Form 55 from Form 60.,
EB-0006,MS-0127,Form 127,MS-0056,Form 56,spatial,0.34,0.66,0.65,-0.3917,-0.6559,0.0746,0.15,sympathetic,0.18,918,Senate Survey,historical_inference,0.81,Geographic separation observed between Form 127 and Form 56.,
EB-0007,MS-0066,Form 66,MS-0120,Form 120,structural,0.43,0.54,0.32,-0.3318,-0.3176,-0.668,0.199,sympathetic,0.19,1835,Western Archive Team,tension_measurement,0.9,Structure divergence documented.,
EB-0008,MS-0101,Form 101,MS-0046,Form 46,identity,0.93,0.04,0.32,-0.561,-0.5595,-0.159,0.066,antipathetic,0.75,1844,P. Tross,historical_inference,0.82,Self/other boundary between entities.,
EB-0009,MS-0097,Form 97,MS-0034,Form 34,categorical,0.58,0.38,0.41,-0.7251,0.0546,-0.2136,0.205,sympathetic,0.27,929,P. Tross,direct_observation,0.76,Type boundary separating Form types.,
EB-0010,EN-003,Western Archive Territory,MS-0063,Form 63,categorical,0.41,0.54,0.84,0.1426,0.2133,0.0794,0.102,sympathetic,0.14,1849,Western Archive Team,tension_measurement,0.91,Type boundary separating Form types.,
