dissolution_id,federation_name,pre_integration_score,pre_collective_level,component_count_pre,years_existed,dissolution_trigger,dissolution_year,dissolution_duration_days,dissolution_mode,primary_failure,cascade_pattern,warning_signs_present,warning_signs_heeded,post_integration_score,component_survival_rate,reformed,successor_federations,capability_loss,goal_loss,knowledge_loss,documented_year,documenter,documentation_source,lessons_recorded,confidence,notes
FD-0001,Former Archive Annex 26,0.89,3.7,1929,14,leadership_vacuum,907,416,violent_breakup,trust_breakdown,hierarchical_collapse,False,,0.09,0.97,False,3,distributed_memory,,significant_loss,913,O. Venn,historical_record,Federation dissolved due to leadership_vacuum; demonstrated importance of communication,0.79,
FD-0002,Eastern Colony 17,0.56,3.1,1785,164,trust_failure,917,35,sudden_collapse,coordination_failure,network_propagation,True,False,0.04,0.96,False,5,threat_response,long_term_preservation,partial_loss,924,Colony Observation Unit,historical_record,Federation dissolved due to trust_failure; demonstrated importance of communication,0.61,
FD-0003,Western Mill Crew 22,0.88,3.7,577,187,communication_breakdown,896,575,fission_into_smaller,boundary_permeation,local_spread,False,True,0.04,0.54,False,1,coordination,none,complete_loss,922,P. Anster,direct_observation,Federation dissolved due to communication_breakdown; demonstrated importance of goal alignment,0.73,
FD-0004,Former Survey Team 21,0.67,3.7,762,26,defection_cascade,853,314,absorption_into_larger,memory_failure,network_propagation,False,True,0.2,0.3,False,2,threat_response,none,no_loss,919,M. Strand,historical_record,Federation dissolved due to defection_cascade; demonstrated importance of goal alignment,0.65,
FD-0005,Former Research Circle 9,0.56,3.9,268,194,boundary_collapse,885,129,absorption_into_larger,coordination_failure,local_spread,True,False,0.11,0.88,True,3,distributed_memory,,complete_loss,912,T. Mord,testimony,Federation dissolved due to boundary_collapse; demonstrated importance of boundary maintenance,0.82,
FD-0006,Old Survey Team 19,0.69,2.8,970,4,resource_exhaustion,880,129,absorption_into_larger,trust_breakdown,network_propagation,False,True,0.12,0.5,False,3,preservation_capacity,,partial_loss,933,Independent Observer,testimony,Federation dissolved due to resource_exhaustion; demonstrated importance of redundancy,0.85,
FD-0007,Old Trade Coalition 5,0.55,2.9,980,173,external_destruction,891,780,absorption_into_larger,trust_breakdown,network_propagation,False,False,0.28,0.54,False,4,distributed_memory,,significant_loss,932,P. Anster,archaeological,Federation dissolved due to external_destruction; demonstrated importance of goal alignment,0.87,
FD-0008,Eastern Trade Coalition 3,0.54,2.8,1763,181,leadership_vacuum,867,949,sudden_collapse,boundary_permeation,local_spread,True,False,0.0,0.38,False,2,none_significant,expansion,significant_loss,918,T. Mord,direct_observation,Federation dissolved due to leadership_vacuum; demonstrated importance of communication,0.6,
FD-0009,Old Colony 15,0.87,2.6,1983,195,internal_conflict,862,522,absorption_into_larger,memory_failure,network_propagation,True,True,0.22,0.84,False,5,preservation_capacity,status,significant_loss,918,M. Strand,direct_observation,Federation dissolved due to internal_conflict; demonstrated importance of maintaining trust,0.76,
FD-0010,Old Colony 3,0.69,2.9,350,18,defection_cascade,904,228,planned_disbanding,memory_failure,no_cascade,True,False,0.09,0.94,False,1,distributed_memory,,no_loss,929,M. Strand,biological_observation,Federation dissolved due to defection_cascade; demonstrated importance of maintaining trust,0.69,
FD-0011,Old Mill Crew 10,0.77,2.9,1533,166,leadership_vacuum,859,734,fission_into_smaller,coordination_failure,local_spread,True,False,0.25,0.87,False,1,distributed_memory,none,significant_loss,915,Boundary Commission,testimony,Federation dissolved due to leadership_vacuum; demonstrated importance of maintaining trust,0.89,
FD-0012,Old Trade Coalition 10,0.86,3.1,1118,132,leadership_vacuum,895,940,planned_disbanding,external_force,simultaneous,False,,0.2,0.51,True,0,preservation_capacity,,partial_loss,930,O. Venn,testimony,Federation dissolved due to leadership_vacuum; demonstrated importance of redundancy,0.83,
