formation_id,federation_name,founding_agents_count,founding_agent_scale,founding_agent_level_avg,pre_integration_score,formation_trigger,formation_year,formation_duration_days,formation_mode,communication_established,coordination_mechanism,boundary_definition,post_integration_score,collective_level_achieved,emergent_capabilities,emergent_goals,formation_success,stability_rating,years_persisted,documented_year,documenter,documentation_source,confidence,notes
FF-0001,Third Research Circle 19,259,individual,2.8,0.07,communication_density,897,364,emergent_self_organization,chemical_signaling,network,spatial_proximity,0.67,3.3,multi-generational_preservation,none,True,robust,36,930,P. Anster,historical_record,0.69,
FF-0002,New Scholar Assembly 20,222,small_group,3.0,0.28,goal_alignment,824,26,fission_from_larger,physical_proximity,stigmergy,spatial_proximity,0.1,3.0,none,none,False,moderate,3,938,Independent Observer,biological_observation,0.73,
FF-0003,Digger Colony 4,459,small_group,3.3,0.21,communication_density,862,957,emergent_self_organization,chemical_signaling,network,formal_membership,0.75,4.2,distributed_cognition,self_preservation,True,stable,3,918,T. Mord,testimony,0.74,
FF-0004,Central Archive Committee 4,367,individual,2.4,0.3,task_complexity,839,252,gradual_accumulation,regular_meetings,network,chemical_signature,0.83,3.2,adaptive_reorganization,status,True,stable,75,938,O. Venn,direct_observation,0.9,
FF-0005,Digger Colony 4,26,individual,1.9,0.2,communication_density,806,673,gradual_accumulation,chemical_signaling,hierarchy,formal_membership,0.44,2.4,threat_response_coordination,expansion,True,stable,19,918,T. Crost,biological_observation,0.85,
FF-0006,Third Archive Committee 19,318,individual,2.5,0.08,communication_density,883,879,sudden_crystallization,distributed_memory,hierarchy,chemical_signature,0.26,2.5,none,none,False,fragile,0,926,Boundary Commission,historical_record,0.61,
FF-0007,Central Survey Team 16,499,small_group,2.6,0.23,reproduction,924,66,emergent_self_organization,distributed_memory,mixed,behavioral_synchrony,0.58,3.2,complex_construction,none,True,stable,8,917,M. Strand,historical_record,0.64,
FF-0008,Western Mill Crew 4,462,individual,2.5,0.19,goal_alignment,868,628,emergent_self_organization,shared_procedures,consensus,spatial_proximity,0.27,2.5,none,none,False,fragile,4,940,Independent Observer,direct_observation,0.89,
FF-0009,New Recovery Team 14,423,large_collective,1.9,0.23,external_threat,897,524,sudden_crystallization,chemical_signaling,network,spatial_proximity,0.86,2.9,resource_optimization,knowledge_accumulation,True,stable,10,917,T. Mord,direct_observation,0.71,
FF-0010,Digger Colony 44,478,individual,1.7,0.19,task_complexity,824,182,emergent_self_organization,chemical_signaling,network,unclear,0.73,2.5,threat_response_coordination,none,True,robust,20,917,Archive Survey Team,historical_record,0.78,
FF-0011,Central Scholar Assembly 17,354,cellular,1.9,0.05,task_complexity,914,352,gradual_accumulation,distributed_memory,consensus,behavioral_synchrony,0.47,2.4,resource_optimization,status,True,robust,21,937,P. Anster,historical_record,0.64,
FF-0012,Third Survey Team 12,156,individual,2.2,0.07,proximity_pressure,829,862,planned_establishment,regular_meetings,mixed,chemical_signature,0.66,2.7,adaptive_reorganization,expansion,True,robust,89,929,T. Mord,historical_record,0.85,
FF-0013,Third Mill Crew 11,314,large_collective,3.0,0.03,external_threat,803,443,emergent_self_organization,regular_meetings,consensus,formal_membership,0.57,3.7,adaptive_reorganization,none,True,moderate,119,921,Independent Observer,testimony,0.78,
FF-0014,Central Research Circle 20,468,individual,3.4,0.04,proximity_pressure,839,941,emergent_self_organization,shared_procedures,consensus,functional_role,0.75,4.0,distributed_cognition,none,True,stable,43,919,Independent Observer,historical_record,0.61,
FF-0015,Western Recovery Team 2,152,small_group,1.8,0.16,goal_alignment,901,152,emergent_self_organization,formal_protocols,network,formal_membership,0.58,2.4,adaptive_reorganization,none,True,robust,27,918,P. Anster,direct_observation,0.8,
FF-0016,New Archive Committee 14,175,individual,2.8,0.08,proximity_pressure,929,458,emergent_self_organization,chemical_signaling,network,functional_role,0.74,3.6,multi-generational_preservation,status,True,stable,7,928,Archive Survey Team,historical_record,0.82,
FF-0017,Eastern Preservation Unit 3,15,individual,3.0,0.1,communication_density,827,85,fission_from_larger,distributed_memory,stigmergy,formal_membership,0.22,3.0,none,none,False,fragile,6,920,T. Crost,direct_observation,0.72,
FF-0018,Central Survey Team 8,300,cellular,3.4,0.22,reproduction,859,555,sudden_crystallization,formal_protocols,hierarchy,unclear,0.63,4.0,distributed_cognition,knowledge_accumulation,True,unstable,39,914,T. Crost,direct_observation,0.89,
FF-0019,New Observer Network 19,466,individual,3.5,0.02,task_complexity,886,711,planned_establishment,shared_procedures,hierarchy,unclear,0.81,4.4,complex_construction,none,True,robust,35,929,Archive Survey Team,testimony,0.72,
FF-0020,Third Observer Network 1,293,cellular,1.8,0.25,imposed_structure,919,62,gradual_accumulation,shared_procedures,hierarchy,chemical_signature,0.1,1.8,none,none,False,robust,3,932,O. Venn,direct_observation,0.95,
FF-0021,New Boundary Watch 5,256,individual,1.8,0.02,imposed_structure,888,957,planned_establishment,chemical_signaling,stigmergy,formal_membership,0.45,2.3,adaptive_reorganization,self_preservation,True,moderate,47,939,P. Anster,direct_observation,0.87,
FF-0022,Digger Colony 9,240,individual,2.7,0.14,proximity_pressure,916,928,gradual_accumulation,formal_protocols,mixed,formal_membership,0.59,3.4,distributed_cognition,status,True,robust,23,937,T. Mord,testimony,0.62,
FF-0023,Central Preservation Unit 2,255,individual,2.3,0.15,imposed_structure,879,625,gradual_accumulation,shared_procedures,mixed,unclear,0.93,3.4,resource_optimization,status,True,robust,4,937,P. Anster,historical_record,0.84,
FF-0024,Third Preservation Unit 20,412,small_group,2.8,0.06,goal_alignment,808,396,emergent_self_organization,distributed_memory,hierarchy,spatial_proximity,0.26,2.8,none,none,False,fragile,4,927,T. Mord,inference,0.75,
FF-0025,Eastern Boundary Watch 15,368,individual,2.1,0.09,communication_density,903,335,planned_establishment,regular_meetings,consensus,functional_role,0.23,2.1,none,none,False,moderate,4,914,M. Strand,historical_record,0.68,
FF-0026,Third Preservation Unit 17,57,individual,1.9,0.17,communication_density,802,105,gradual_accumulation,physical_proximity,mixed,functional_role,0.35,1.9,none,none,False,moderate,2,933,Klutch CC Research,direct_observation,0.91,
FF-0027,Third Mill Crew 3,176,individual,2.5,0.22,goal_alignment,831,820,planned_establishment,regular_meetings,market,functional_role,0.49,3.0,adaptive_reorganization,expansion,True,moderate,95,936,T. Crost,testimony,0.66,
FF-0028,Eastern Observer Network 2,92,tissue,3.0,0.21,external_threat,851,928,gradual_accumulation,shared_procedures,hierarchy,formal_membership,0.79,3.7,resource_optimization,self_preservation,True,moderate,78,937,Archive Survey Team,direct_observation,0.73,
FF-0029,Third Mill Crew 12,317,individual,1.5,0.09,reproduction,881,213,planned_establishment,chemical_signaling,consensus,spatial_proximity,0.91,2.2,complex_construction,expansion,True,moderate,39,915,Archive Survey Team,direct_observation,0.85,
FF-0030,Digger Colony 41,69,small_group,2.3,0.22,reproduction,836,260,gradual_accumulation,formal_protocols,market,formal_membership,0.62,2.9,complex_construction,knowledge_accumulation,True,moderate,71,915,Colony Observation Unit,biological_observation,0.89,
FF-0031,Eastern Research Circle 11,29,individual,3.3,0.12,proximity_pressure,867,912,gradual_accumulation,physical_proximity,mixed,unclear,0.5,3.9,resource_optimization,none,True,moderate,49,935,Archive Survey Team,historical_record,0.87,
FF-0032,New Trade Coalition 11,322,individual,3.2,0.14,proximity_pressure,864,78,gradual_accumulation,physical_proximity,hierarchy,functional_role,0.73,3.8,distributed_cognition,status,True,stable,72,917,Colony Observation Unit,inference,0.85,
FF-0033,New Preservation Unit 14,247,small_group,1.7,0.24,proximity_pressure,879,575,emergent_self_organization,chemical_signaling,hierarchy,spatial_proximity,0.32,1.7,none,none,False,unstable,4,914,T. Crost,testimony,0.87,
FF-0034,Eastern Trade Coalition 6,421,small_group,2.6,0.05,imposed_structure,822,190,emergent_self_organization,physical_proximity,hierarchy,formal_membership,0.51,3.2,resource_optimization,none,True,robust,58,914,M. Strand,testimony,0.7,
FF-0035,Western Recovery Team 6,157,individual,2.9,0.16,task_complexity,823,205,emergent_self_organization,physical_proximity,mixed,spatial_proximity,0.14,2.9,none,none,False,unstable,5,925,Independent Observer,direct_observation,0.86,
FF-0036,Third Navigation Guild 4,320,individual,1.5,0.17,goal_alignment,899,456,gradual_accumulation,regular_meetings,hierarchy,formal_membership,0.84,2.3,multi-generational_preservation,none,True,stable,26,937,M. Strand,testimony,0.68,
