geodesic_id,path_name,origin_form_id,destination_form_id,origin_basin_id,destination_basin_id,geodesic_length,ridge_crossings,saddle_points_passed,path_curvature_avg,path_curvature_max,traversal_difficulty,traversal_time_typical,reversibility,path_type,documented_traversals,first_documented,documentation_method,confidence,surveyor,notes
GP-0001,Quintic-Tension Traverse,MS-0001,MS-0004,BA-001,BA-003,0.31,0,0,-0.851,-0.043,0.19,13.5,0.67,developmental,31,918,trajectory_observation,0.9,C. Vells,First geodesic documented by Vells. Via MS-0008.
GP-0002,Emergency Dissolution Path,MS-0001,MS-0022,BA-001,BA-015,0.65,1,1,-0.556,0.078,0.21,6.0,0.16,degenerative,13,918,trajectory_observation,0.94,C. Vells,"Anomalously fast traversal observed. Via MS-0014, MS-0018. Injured stakdur case."
GP-0003,Binary-Quintic Bridge,MS-0002,MS-0001,BA-002,BA-001,0.85,2,1,-0.394,0.847,0.41,45.0,0.31,metamorphic,23,918,trajectory_observation,0.9,C. Vells,Difficult crossing between major attractors. Rarely completed.
GP-0004,Form 029 Departure Route,MS-0297,MS-0189,BA-031,BA-034,1.085,4,3,-0.802,0.183,0.68,76.8,0.55,developmental,29,918,trajectory_observation,0.53,C. Vells,Reversibility confirmed experimentally.
GP-0005,The Unstable Trajectory,MS-0328,MS-0356,BA-037,BA-035,1.321,5,3,-0.409,0.527,0.7,72.8,0.0,degenerative,32,932,trajectory_observation,0.58,Morren Kast,Reversibility confirmed experimentally.
GP-0006,Form 033 Departure Route,MS-0336,MS-0003,BA-018,BA-015,0.94,4,3,-0.479,0.812,0.54,56.7,0.11,degenerative,14,932,theoretical_calculation,0.88,Trajectory Analysis Group,Historical records suggest ancient use.
GP-0007,The Northern Trajectory,MS-0192,MS-0118,BA-013,BA-011,0.513,0,0,-0.313,0.863,0.1,28.2,0.7,developmental,32,930,historical_inference,0.67,Geodesic Mapping Project,Part of larger geodesic network.
GP-0008,Form 020 Departure Route,MS-0209,MS-0283,BA-042,BA-040,0.604,3,3,-0.824,0.26,0.44,50.7,0.38,regenerative,41,926,theoretical_calculation,0.54,T. Vells,Saddle point SP-069 marks critical decision.
GP-0009,Form 024 Approach,MS-0028,MS-0247,BA-014,BA-038,1.285,5,3,-0.498,0.27,0.8,100.0,0.34,regenerative,65,929,trajectory_observation,0.67,Morren Kast,Part of larger geodesic network.
GP-0010,Form 023 Departure Route,MS-0234,MS-0239,BA-018,BA-035,2.186,5,3,0.215,1.095,1.0,100.0,0.3,developmental,27,920,experimental,0.81,Geodesic Mapping Project,Connects to GP-0235 at midpoint.
GP-0011,Form 039 Approach,MS-0259,MS-0391,BA-016,BA-042,0.917,3,3,-0.441,0.698,0.43,45.0,0.81,oscillatory,92,928,experimental,0.77,K. Strand,First documented Year 928.
GP-0012,Form 012-Form 031 Bridge,MS-0123,MS-0313,BA-027,BA-012,1.863,5,3,0.47,1.024,0.99,100.0,0.26,regenerative,9,932,theoretical_calculation,0.89,Trajectory Analysis Group,Traversal time varies with perturbation level.
GP-0013,Form 008 Approach,MS-0383,MS-0083,BA-006,BA-044,1.214,3,2,-0.187,0.875,0.61,82.9,0.49,regenerative,38,926,historical_inference,0.86,Geodesic Mapping Project,Saddle point SP-019 marks critical decision.
