observation_id,ghost_name,original_entity_type,original_entity_name,original_destruction_year,original_duration,ghost_type,manifestation,ghost_strength,ghost_stability,observation_location,dens_proximity_km,first_observation_year,observation_count,time_since_original,decay_rate,persistence_category,interacts_with_present,interaction_type,affects_new_substrates,primary_observer,observation_method,scavenger_recognized,confidence,description,notes
GO-0001,The Third Mill Presence,spatial,Third Mill structure,777,39,spatial_imprint,presence awareness,0.74,0.82,Near Third Mill site,124.6,907,53,122,0.039,long_term,True,affects_navigation,True,Archive Survey Team,direct_perception,True,0.78,Famous case — mill burns but workers still feel the grinding,
GO-0015,Koss's Specimen 47,morphological,Stakdur that died in isolation experiment A-007,780,80,morphological_scar,spatial distortion,0.8,0.66,Dens boundary zone,91.9,908,41,30,0.022,permanent,True,influences_new_forms,True,S. Moll,pattern_analysis,True,0.7,Form pattern persists in lab space after creature death,
GO-0028,The Rebuilt Ridge,form,Ridge formation near Dens,772,190,form_shadow,memory fragments in observers,0.67,0.88,Trapper camp ruins,110.0,893,28,89,0.057,permanent,True,influences_new_forms,True,T. Vells,behavioral_tracking,True,0.85,Ridge keeps reforming in new substrate; old form haunts new rock,
GO-0042,The Collective Echo,collective,Trapper crew lost in Year 889,877,166,collective_remnant,behavioral influence,0.75,0.87,Dens boundary zone,74.4,915,40,69,0.021,long_term,True,triggers_memories,True,Independent Observer,behavioral_tracking,True,0.82,Group behavioral patterns persist in area without individuals,
GO-0005,The Third Mill Presence,person,Individual of Year 835,763,223,collective_remnant,memory fragments in observers,0.16,0.5,Dens boundary zone,23.4,813,79,50,,short_term,True,creates_instability,True,S. Moll,collective_testimony,True,0.83,Ghost of type collective_remnant observed at Trapper camp ruins.,
GO-0006,Western Camp's Ghost,creature,,768,122,relational_ghost,operational feeling,0.7,0.65,Deep Quarry tunnels,144.6,829,49,61,,medium_term,False,,False,M. Tall,form_comparison,False,0.43,Ghost of type relational_ghost observed at Northern observation post.,
GO-0007,The Deep Tunnel Trace,person,Individual of Year 878,866,144,behavioral_echo,spatial distortion,0.35,0.42,Near Third Mill site,78.1,889,60,23,0.114,long_term,True,affects_navigation,False,Archive Survey Team,behavioral_tracking,False,0.83,Ghost of type behavioral_echo observed at Mill Creek ravine.,
GO-0008,The Third Mill Remnant,place,,,,relational_ghost,pattern emergence in new entities,0.44,0.55,Deep Quarry tunnels,18.2,912,42,15,0.247,ephemeral,False,,False,Archive Survey Team,collective_testimony,False,0.9,Ghost of type relational_ghost observed at Yeller Quarry eastern ridge.,
GO-0009,The Crew Echo,creature,,760,386,memorial_trace,visible outline,0.65,0.77,Old mine entrance,147.0,881,94,121,0.037,long_term,False,,False,Archive Survey Team,pattern_analysis,False,0.53,Ghost of type memorial_trace observed at Near Third Mill site.,
GO-0010,The Deep Tunnel Imprint,place,,,238,spatial_imprint,visible outline,0.77,0.76,Mill Creek ravine,171.7,909,10,118,0.007,long_term,True,triggers_memories,False,Boundary Commission,form_comparison,False,0.78,Ghost of type spatial_imprint observed at Central processing area.,
GO-0011,The Eastern Ridge Presence,collective,,803,21,relational_ghost,sensation without source,0.57,0.77,Dens boundary zone,124.5,824,23,21,0.075,permanent,False,,False,M. Tall,collective_testimony,False,0.51,Ghost of type relational_ghost observed at Dens boundary zone.,
GO-0012,The Archive Trace,person,Individual of Year 883,,217,behavioral_echo,memory fragments in observers,0.69,0.65,Yeller Quarry eastern ridge,187.9,920,9,48,0.077,medium_term,False,,False,R. Voss,form_comparison,False,0.86,Ghost of type behavioral_echo observed at Trapper camp ruins.,
GO-0013,The Eastern Ridge Echo,collective,Crew of Year 857,908,491,collective_remnant,behavioral influence,0.87,0.31,Near Third Mill site,160.2,920,22,12,0.066,medium_term,False,,False,T. Vells,form_comparison,True,0.51,Ghost of type collective_remnant observed at Mill Creek ravine.,
GO-0014,Observer's Ghost,place,Boundary Marker Seven,783,176,spatial_imprint,sensation without source,0.48,0.67,Trapper camp ruins,70.0,905,76,122,0.104,medium_term,True,provides_template,False,R. Voss,form_comparison,False,0.47,Ghost of type spatial_imprint observed at Capital Archives basement.,
GO-0015,The Northern Post Shadow,collective,Crew of Year 829,873,90,behavioral_echo,spatial distortion,0.78,0.37,Western boundary region,194.2,897,31,24,0.009,long_term,False,,False,Independent Observer,collective_testimony,True,0.54,Ghost of type behavioral_echo observed at Western boundary region.,
GO-0016,The Crew Imprint,person,Individual of Year 885,,,behavioral_echo,sensation without source,0.48,0.38,Western boundary region,30.4,876,1,45,,long_term,False,,False,K. Strand,collective_testimony,False,0.79,Ghost of type behavioral_echo observed at Trapper camp ruins.,
GO-0017,The Mill Creek Shadow,creature,Deep_Crawler specimen 86,787,206,morphological_scar,pattern emergence in new entities,0.86,0.86,Trapper camp ruins,146.0,932,46,145,0.03,medium_term,False,,False,S. Moll,collective_testimony,False,0.72,Ghost of type morphological_scar observed at Deep Quarry tunnels.,
GO-0018,The Third Mill Memory,place,Eastern Ridge,,76,form_shadow,operational feeling,0.88,0.32,Dens boundary zone,135.7,916,50,29,0.078,long_term,True,triggers_memories,True,Boundary Commission,form_comparison,False,0.45,Ghost of type form_shadow observed at Old mine entrance.,
GO-0019,The Deep Tunnel Echo,pattern,,856,445,memorial_trace,sensation without source,0.62,0.64,Near Third Mill site,58.4,913,76,57,,medium_term,True,influences_new_forms,True,Boundary Commission,form_comparison,True,0.65,Ghost of type memorial_trace observed at Central processing area.,
GO-0020,The Lost Old Trapper,structure,Trapper's Rest,824,135,form_shadow,memory fragments in observers,0.81,0.38,Mill Creek ravine,98.6,895,82,71,0.028,permanent,True,triggers_memories,True,R. Voss,scavenger_guidance,False,0.42,Ghost of type form_shadow observed at Capital Archives basement.,
GO-0021,The Archive Echo,creature,,903,433,memorial_trace,memory fragments in observers,0.49,0.58,Western boundary region,73.0,927,75,24,0.077,medium_term,True,triggers_memories,True,T. Vells,behavioral_tracking,True,0.55,Ghost of type memorial_trace observed at Northern observation post.,
GO-0022,The Observer Shadow,collective,Crew of Year 806,824,433,collective_remnant,memory fragments in observers,0.87,0.31,Capital Archives basement,106.4,862,88,38,0.044,permanent,True,triggers_memories,True,C. Vells,behavioral_tracking,False,0.41,Ghost of type collective_remnant observed at Southern terraces.,
GO-0023,The Survey Memory,creature,Tunnel_Cat specimen 100,874,,morphological_scar,behavioral influence,0.66,0.5,Northern observation post,68.7,901,59,27,,short_term,False,,False,M. Tall,pattern_analysis,False,0.66,Ghost of type morphological_scar observed at Capital Archives basement.,
GO-0024,The Northern Post Shadow,collective,Crew of Year 817,863,65,collective_remnant,pattern emergence in new entities,0.57,0.65,Western boundary region,153.0,930,11,67,0.058,medium_term,True,influences_new_forms,True,R. Voss,form_comparison,True,0.46,Ghost of type collective_remnant observed at Mill Creek ravine.,
GO-0025,The Survey Echo,collective,,765,,relational_ghost,spatial distortion,0.2,0.6,Mill Creek ravine,24.7,886,45,121,0.12,medium_term,True,affects_navigation,False,Boundary Commission,collective_testimony,False,0.49,Ghost of type relational_ghost observed at Southern terraces.,
GO-0026,The Third Mill Memory,structure,,,110,form_shadow,presence awareness,0.78,0.31,Dens boundary zone,164.1,793,90,26,0.045,permanent,True,creates_instability,False,M. Tall,pattern_analysis,False,0.94,Ghost of type form_shadow observed at Northern observation post.,
GO-0027,The Eastern Ridge Presence,person,Individual of Year 852,778,146,behavioral_echo,presence awareness,0.14,0.62,Central processing area,25.6,859,95,81,0.141,short_term,True,creates_instability,True,Quarry Guild Records,behavioral_tracking,False,0.64,Ghost of type behavioral_echo observed at Near Third Mill site.,
GO-0028,The Eastern Ridge Echo,place,,844,303,form_shadow,behavioral influence,0.37,0.46,Old mine entrance,3.5,867,22,23,0.302,short_term,False,,False,Archive Survey Team,behavioral_tracking,True,0.86,Ghost of type form_shadow observed at Northern observation post.,
GO-0029,The Crew Imprint,structure,,877,233,spatial_imprint,behavioral influence,0.78,0.77,Near Third Mill site,153.2,895,33,18,0.05,permanent,True,affects_navigation,False,T. Vells,direct_perception,True,0.43,Ghost of type spatial_imprint observed at Near Third Mill site.,
GO-0030,The Western Camp Memory,pattern,,756,151,memorial_trace,presence awareness,0.57,0.57,Trapper camp ruins,77.1,802,65,46,0.04,long_term,False,,False,Independent Observer,collective_testimony,False,0.92,Ghost of type memorial_trace observed at Yeller Quarry eastern ridge.,
GO-0031,The Northern Post Remnant,creature,,848,160,memorial_trace,operational feeling,0.45,0.31,Trapper camp ruins,63.6,906,98,58,0.08,short_term,False,,False,R. Voss,scavenger_guidance,False,0.7,Ghost of type memorial_trace observed at Trapper camp ruins.,
GO-0032,The Archive Remnant,collective,,790,66,memorial_trace,sensation without source,0.21,0.82,Dens boundary zone,12.1,920,95,130,0.277,short_term,True,triggers_memories,True,Quarry Guild Records,behavioral_tracking,False,0.63,Ghost of type memorial_trace observed at Yeller Quarry eastern ridge.,
GO-0033,The Archive Memory,person,Individual of Year 831,810,,collective_remnant,operational feeling,0.33,0.27,Central processing area,63.1,893,66,83,,medium_term,True,triggers_memories,True,R. Voss,collective_testimony,True,0.57,Ghost of type collective_remnant observed at Central processing area.,
GO-0034,The Deep Tunnel Trace,structure,,896,224,memorial_trace,pattern emergence in new entities,0.45,0.5,Trapper camp ruins,161.9,903,82,7,,long_term,False,,False,M. Tall,collective_testimony,True,0.55,Ghost of type memorial_trace observed at Capital Archives basement.,
GO-0035,The Crew Memory,phenomenon,,807,40,relational_ghost,memory fragments in observers,0.45,0.56,Southern terraces,148.8,887,39,80,0.068,medium_term,True,provides_template,True,Quarry Guild Records,form_comparison,True,0.68,Ghost of type relational_ghost observed at Mill Creek ravine.,
GO-0036,The Western Camp Memory,structure,,910,,form_shadow,operational feeling,0.69,0.76,Central processing area,172.7,927,94,17,0.021,permanent,True,provides_template,True,R. Voss,pattern_analysis,True,0.81,Ghost of type form_shadow observed at Capital Archives basement.,
GO-0037,The Old Trapper Imprint,place,Eastern Ridge,912,126,form_shadow,memory fragments in observers,0.53,0.35,Trapper camp ruins,169.3,919,63,7,0.027,medium_term,False,,False,Quarry Guild Records,form_comparison,False,0.42,Ghost of type form_shadow observed at Western boundary region.,
GO-0038,The Third Mill Presence,creature,Digger specimen 4,,309,morphological_scar,memory fragments in observers,0.73,0.94,Near Third Mill site,160.9,918,53,102,,medium_term,True,influences_new_forms,True,T. Vells,pattern_analysis,True,0.8,Ghost of type morphological_scar observed at Near Third Mill site.,
GO-0039,The Western Camp Imprint,pattern,,,217,relational_ghost,pattern emergence in new entities,0.65,0.66,Western boundary region,51.1,932,14,34,0.051,short_term,True,triggers_memories,True,Boundary Commission,collective_testimony,True,0.69,Ghost of type relational_ghost observed at Old mine entrance.,
GO-0040,The Third Mill Remnant,place,,871,,spatial_imprint,visible outline,0.41,0.42,Old mine entrance,50.0,915,85,44,,short_term,False,,False,S. Moll,scavenger_guidance,False,0.77,Ghost of type spatial_imprint observed at Capital Archives basement.,
GO-0041,The Lost Specimen,phenomenon,,829,,relational_ghost,memory fragments in observers,0.58,0.52,Capital Archives basement,191.7,911,12,82,,medium_term,True,affects_navigation,True,T. Vells,form_comparison,False,0.88,Ghost of type relational_ghost observed at Mill Creek ravine.,
GO-0042,The Eastern Ridge Imprint,creature,,,,memorial_trace,behavioral influence,0.41,0.74,Dens boundary zone,16.9,931,54,111,0.248,medium_term,False,,False,K. Strand,scavenger_guidance,False,0.78,Ghost of type memorial_trace observed at Yeller Quarry eastern ridge.,
GO-0043,The Northern Post Memory,person,Individual of Year 880,,,collective_remnant,spatial distortion,0.18,0.25,Central processing area,1.6,881,88,18,0.192,medium_term,True,triggers_memories,True,T. Vells,behavioral_tracking,True,0.73,Ghost of type collective_remnant observed at Dens boundary zone.,
GO-0044,The Mill Creek Memory,place,Trapper's Rest,844,46,form_shadow,presence awareness,0.45,0.33,Deep Quarry tunnels,79.3,868,34,24,,long_term,False,,False,T. Vells,direct_perception,False,0.64,Ghost of type form_shadow observed at Capital Archives basement.,
