collapse_id,case_name,entity_type,entity_id,entity_scale,pre_temporal_days,pre_spatial_km,pre_social_individuals,pre_abstract_score,pre_profile,post_temporal_days,post_spatial_km,post_social_individuals,post_abstract_score,post_profile,collapse_severity,collapse_speed,collapse_duration_days,primary_dimension_collapsed,collapse_cause,collapse_trigger_event,collapse_year,dens_proximity_km,dens_related,subject_experience,pain_during_collapse,recovery_attempted,recovery_method,recovery_outcome,recovery_duration_days,permanent_deficit,documenter,documentation_source,strand_case_number,confidence,description,implications,notes
HC-0001,Garrett Case,person,ENT-0001,individual,2860.7,110.61,67,0.61,standard_worker,23.47,5.996,4,0.16,survivor,10000,rapid,7,temporal,trauma_physical,cave-in at eastern tunnel,919,83.7,False,unreal_distance,False,True,gradual_reexposure,partial_recovery,540,True,M. Strand,clinical_record,SC-001,0.95,Documented in Strand's 'When Horizons Shrink',First detailed case; 18-month partial recovery,
HC-0002,Tessa (Boundary Surveyor),person,ENT-0002,individual,954.6,64.7,143,0.35,standard_worker,24.18,3.625,3,0.01,survivor,10000,instantaneous,4,all,dens_proximity,approached within 3km of Dens,920,3,True,purpose_forgetting,False,True,distance_from_dens,full_recovery,14,False,M. Strand,clinical_record,SC-002,0.95,Documented in Strand's 'When Horizons Shrink',Recovery tracked with distance from boundary,
HC-0003,Case 3 (Collective Dissolution),collective,ENT-969,small_group,454.7,373.46,181,0.58,visionary,38.008,62.429,15,0,survivor,12.0,gradual,150,temporal,collective_dissolution,group disbanded,901,419.8,False,unknown,False,True,distance_from_dens,partial_recovery,948,True,C. Vells,behavioral_observation,SC-289,0.56,Horizon collapse case: collective dissolution,,
HC-0004,Case 4 (Institutional Failure),creature,ENT-595,organ,2027.7,75.56,239,0.11,caretaker,114.978,8.569,13,0,survivor,17.6,gradual,152,temporal,institutional_failure,organization dissolved,933,446.4,False,emptiness,False,True,signal_restoration,full_recovery,127,False,R. Voss,third_party_testimony,,0.86,Horizon collapse case: institutional failure,,
HC-0005,Case 5 (Institutional Failure),creature,ENT-390,small_group,3414.0,247.76,29,0.69,standard_student,131.424,19.076,1,0.1,survivor,26.0,gradual,90,temporal,institutional_failure,purpose lost,890,84.1,False,purpose_forgetting,False,True,distance_from_dens,no_recovery,,True,Boundary Commission,third_party_testimony,SC-320,0.92,Horizon collapse case: institutional failure,,
HC-0006,Case 6 (Pattern Degradation),collective,ENT-553,small_group,1883.5,402.85,400,0.65,caretaker,20.254,8.664,4,0.18,survivor,93.0,slow,108,temporal,pattern_degradation,form instability,899,204.4,False,self_only,False,True,signal_restoration,partial_recovery,997,True,Klutch CC Counseling,clinical_record,SC-6,0.52,Horizon collapse case: pattern degradation,,
HC-0007,Case 7 (Trauma Physical),collective,ENT-180,organ,3241.9,244.41,290,0.19,visionary,24.648,3.716,2,0,survivor,131.5,instantaneous,1,temporal,trauma_physical,fire,889,419.6,False,glass_barrier,True,True,distance_from_dens,partial_recovery,591,True,Independent Observer,clinical_record,,0.59,Horizon collapse case: trauma physical,,
HC-0008,Case 8 (Institutional Failure),creature,ENT-725,organ,959.1,402.69,404,0.24,standard_student,25.803,21.667,10,0,survivor,37.2,gradual,92,temporal,institutional_failure,purpose lost,928,33.6,False,unknown,False,True,structured_correspondence,ongoing,359,False,C. Vells,behavioral_observation,,0.73,Horizon collapse case: institutional failure,,
HC-0009,Case 9 (Trauma Physical),creature,ENT-422,organ,1849.0,52.52,178,0.58,standard_worker,7.836,0.445,0,0.24,survivor,236.0,rapid,7,temporal,trauma_physical,fall,909,126.3,False,glass_barrier,False,True,structured_correspondence,ongoing,556,False,Boundary Commission,behavioral_observation,SC-145,0.69,Horizon collapse case: trauma physical,,
HC-0010,Case 10 (Institutional Failure),person,ENT-180,individual,964.9,280.24,139,0.26,caretaker,21.283,12.363,3,0,survivor,45.3,rapid,97,temporal,institutional_failure,organization dissolved,889,140.7,False,unreal_distance,True,True,social_reconnection,ongoing,319,False,Archive Survey Team,self_report,,0.52,Horizon collapse case: institutional failure,,
HC-0011,Case 11 (Unknown),person,ENT-641,individual,2798.2,221.99,66,0.48,visionary,78.479,12.452,1,0.03,survivor,35.7,gradual,135,temporal,unknown,unknown trigger,922,341.0,False,glass_barrier,False,False,,not_attempted,,True,Independent Observer,self_report,,0.95,Horizon collapse case: unknown,,
HC-0012,Case 12 (Pattern Degradation),person,ENT-489,individual,1745.6,246.13,429,0.66,standard_worker,22.04,6.215,5,0.21,survivor,79.2,slow,344,temporal,pattern_degradation,identity confusion,934,376.3,False,glass_barrier,False,True,gradual_reexposure,partial_recovery,274,True,C. Vells,clinical_record,,0.54,Horizon collapse case: pattern degradation,,
HC-0013,Case 13 (Collective Dissolution),creature,ENT-414,organ,3079.7,364.27,263,0.32,visionary,70.674,16.719,6,0,survivor,43.6,gradual,53,temporal,collective_dissolution,colony collapsed,920,481.7,False,emptiness,False,True,gradual_reexposure,full_recovery,324,False,Independent Observer,third_party_testimony,,0.74,Horizon collapse case: collective dissolution,,
HC-0014,Case 14 (Identity Loss),creature,ENT-156,small_group,3305.4,323.64,164,0.12,standard_worker,37.769,7.396,1,0,survivor,87.5,rapid,79,temporal,identity_loss,forgot own name,904,321.8,False,self_only,False,False,,not_attempted,,True,C. Vells,clinical_record,SC-369,0.5,Horizon collapse case: identity loss,,
HC-0015,Case 15 (Institutional Failure),person,ENT-953,individual,981.8,175.33,160,0.12,visionary,48.376,17.277,7,0,survivor,20.3,gradual,11,temporal,institutional_failure,purpose lost,893,190.2,False,emptiness,False,False,,not_attempted,,True,M. Strand,behavioral_observation,,0.54,Horizon collapse case: institutional failure,,
HC-0016,Case 16 (Trauma Physical),collective,ENT-960,small_group,1760.4,32.05,232,0.59,standard_worker,3.917,0.143,0,0.17,survivor,449.4,rapid,4,temporal,trauma_physical,fire,902,417.6,False,unreal_distance,False,True,gradual_reexposure,stable_narrowed,769,True,Boundary Commission,self_report,,0.89,Horizon collapse case: trauma physical,,
HC-0017,Case 17 (Pattern Degradation),collective,ENT-305,organ,662.4,314.8,306,0.7,caretaker,14.809,14.076,6,0.26,survivor,44.7,slow,113,temporal,pattern_degradation,form instability,898,85.3,False,emptiness,False,False,,not_attempted,,True,T. Vells,behavioral_observation,SC-476,0.74,Horizon collapse case: pattern degradation,,
HC-0018,Case 18 (Collective Dissolution),person,ENT-394,individual,797.7,306.93,186,0.16,standard_student,23.033,17.726,5,0,survivor,34.6,gradual,9,temporal,collective_dissolution,colony collapsed,936,406.1,False,purpose_forgetting,False,True,distance_from_dens,no_recovery,,True,C. Vells,behavioral_observation,,0.74,Horizon collapse case: collective dissolution,,
HC-0019,Case 19 (Pattern Degradation),creature,ENT-368,organ,2964.2,276.64,172,0.15,caretaker,132.488,24.729,7,0,survivor,22.4,slow,307,temporal,pattern_degradation,memory failure,891,486.9,False,unknown,True,True,social_reconnection,no_recovery,,True,Archive Survey Team,third_party_testimony,,0.84,Horizon collapse case: pattern degradation,,
HC-0020,Case 20 (Trauma Psychological),collective,ENT-951,organ,2333.5,108.64,167,0.71,visionary,89.371,8.321,6,0.13,survivor,26.1,rapid,155,temporal,trauma_psychological,loss of family,937,413.8,False,unknown,False,True,distance_from_dens,stable_narrowed,241,True,M. Strand,self_report,,0.82,Horizon collapse case: trauma psychological,,
HC-0021,Case 21 (Unknown),creature,ENT-108,small_group,2104.0,281.72,179,0.39,caretaker,161.329,43.203,13,0,survivor,13.0,gradual,34,temporal,unknown,unknown trigger,940,128.4,False,self_only,True,False,,not_attempted,,True,Independent Observer,clinical_record,,0.61,Horizon collapse case: unknown,,
HC-0022,Case 22 (Trauma Psychological),person,ENT-776,individual,114.6,163.83,131,0.26,standard_student,11.893,33.995,13,0,survivor,9.6,gradual,88,spatial,trauma_psychological,loss of family,921,294.6,False,unknown,True,True,gradual_reexposure,partial_recovery,203,True,R. Voss,behavioral_observation,SC-399,0.63,Horizon collapse case: trauma psychological,,
HC-0023,Case 23 (Unknown),creature,ENT-214,small_group,2420.8,427.44,426,0.34,visionary,286.126,101.042,50,0,survivor,8.5,gradual,40,temporal,unknown,unknown trigger,888,36.5,False,glass_barrier,False,False,,not_attempted,,True,C. Vells,self_report,SC-459,0.53,Horizon collapse case: unknown,,
HC-0024,Case 24 (Collective Dissolution),collective,ENT-529,small_group,2434.9,200.12,301,0.36,standard_worker,160.556,26.392,19,0,survivor,15.2,rapid,79,temporal,collective_dissolution,group disbanded,892,401.9,False,unknown,False,False,,not_attempted,,True,Archive Survey Team,third_party_testimony,SC-476,0.78,Horizon collapse case: collective dissolution,,
HC-0025,Case 25 (Trauma Physical),creature,ENT-937,organ,1411.2,68.94,229,0.25,visionary,3.283,0.321,0,0,survivor,429.9,rapid,7,temporal,trauma_physical,cave-in,928,45.6,False,unreal_distance,False,True,signal_restoration,no_recovery,,True,K. Strand,clinical_record,,0.8,Horizon collapse case: trauma physical,,
HC-0026,Case 26 (Dens Proximity),creature,ENT-353,small_group,1864.6,431.1,384,0.66,standard_worker,4.068,1.881,0,0.24,survivor,458.3,rapid,4,temporal,dens_proximity,approached within 28km of Dens,885,28.3,True,purpose_forgetting,True,True,gradual_reexposure,full_recovery,838,False,C. Vells,clinical_record,,0.9,Horizon collapse case: dens proximity,,
HC-0027,Case 27 (Unknown),collective,ENT-807,organ,714.0,14.47,273,0.25,caretaker,18.617,0.754,7,0,survivor,38.3,gradual,158,temporal,unknown,unknown trigger,883,249.4,False,self_only,False,True,social_reconnection,stable_narrowed,39,True,Archive Survey Team,third_party_testimony,,0.87,Horizon collapse case: unknown,,
HC-0028,Case 28 (Trauma Physical),creature,ENT-409,organ,379.3,462.53,439,0.18,visionary,1.092,2.662,1,0,survivor,347.5,rapid,4,spatial,trauma_physical,fire,912,214.2,False,unreal_distance,True,False,,not_attempted,,True,P. Anster,third_party_testimony,SC-91,0.78,Horizon collapse case: trauma physical,,
