expansion_id,case_name,entity_type,entity_id,entity_scale,initial_temporal_days,initial_spatial_km,initial_social_individuals,initial_abstract_score,initial_profile,final_temporal_days,final_spatial_km,final_social_individuals,final_abstract_score,final_profile,primary_dimension_expanded,expansion_magnitude,expansion_duration_days,expansion_trigger,expansion_mechanism,expansion_year,dens_proximity_km,social_support_level,expansion_stable,reversion_occurred,final_stability,documenter,documentation_method,confidence,description,strand_case_reference,notes
HE-0001,Expansion Case 1,collective,,small_group,72.1,32.81,16,0.1,standard_student,855.8,241.47,67,0.55,standard_worker,temporal,1.0,824,unknown,institutional_embedding,902,317.7,moderate,True,False,stable,C. Vells,retrospective_interview,0.55,Horizon expansion triggered by unknown via institutional_embedding,,
HE-0002,Expansion Case 2,creature,ENT-538,large_collective,344.8,26.88,15,0.05,standard_student,13339.4,254.52,304,0.55,visionary,temporal,16.03,299,education,scaffold_building,887,252.9,institutional,False,False,fluctuating,Independent Observer,longitudinal_tracking,0.88,Horizon expansion triggered by education via scaffold_building,SC-298,
HE-0003,Expansion Case 3,collective,,small_group,220.6,16.5,16,0.1,standard_worker,7789.8,141.2,52,0.41,standard_worker,temporal,1.0,541,new_purpose,horizon_transfer,912,376.6,institutional,False,False,stable,P. Anster,behavioral_observation,0.65,Horizon expansion triggered by new_purpose via horizon_transfer,,
HE-0004,Expansion Case 4,person,ENT-280,individual,60.5,0.95,16,0.04,survivor,1538.7,8.82,404,0.54,standard_student,temporal,1.0,490,recovery,signal_restoration,895,64.7,institutional,False,True,fragile,Archive Survey Team,retrospective_interview,0.88,Horizon expansion triggered by recovery via signal_restoration,,
HE-0005,Expansion Case 5,creature,ENT-525,large_collective,218.0,24.58,3,0.19,survivor,5728.3,179.41,41,0.63,standard_worker,temporal,1.0,990,unknown,scaffold_building,885,178.8,moderate,True,False,stable,Archive Survey Team,longitudinal_tracking,0.93,Horizon expansion triggered by unknown via scaffold_building,,
HE-0006,Expansion Case 6,creature,ENT-117,small_group,113.1,19.04,1,0.05,survivor,4587.4,134.44,29,0.45,standard_student,temporal,1.0,83,new_purpose,signal_restoration,883,456.2,institutional,False,False,stable,K. Strand,behavioral_observation,0.59,Horizon expansion triggered by new_purpose via signal_restoration,,
HE-0007,Expansion Case 7,creature,,small_group,182.9,5.48,18,0.1,standard_student,2611.3,53.22,881,0.47,caretaker,social,1.6,419,mentorship,scaffold_building,901,126.4,minimal,False,False,stable,Independent Observer,retrospective_interview,0.7,Horizon expansion triggered by mentorship via scaffold_building,,
HE-0008,Expansion Case 8,person,ENT-174,individual,186.7,15.38,19,0.38,survivor,3482.5,143.92,541,0.82,standard_student,social,6.24,942,new_purpose,institutional_embedding,938,53.1,moderate,True,False,stable,Independent Observer,retrospective_interview,0.5,Horizon expansion triggered by new_purpose via institutional_embedding,,
HE-0009,Expansion Case 9,creature,,large_collective,252.7,39.78,3,0.22,standard_student,5601.2,145.98,10,0.52,standard_student,temporal,1.0,14,crisis_resolution,sudden_insight,929,468.3,minimal,False,True,permanent,C. Vells,longitudinal_tracking,0.77,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0010,Expansion Case 10,creature,ENT-934,large_collective,303.4,3.33,8,0.2,standard_student,14417.6,22.64,220,0.35,standard_worker,temporal,1.0,723,relationship,horizon_transfer,928,47.4,strong,True,False,stable,K. Strand,behavioral_observation,0.67,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0011,Expansion Case 11,creature,ENT-671,large_collective,147.3,15.8,7,0.24,survivor,3846.4,122.52,265,0.66,standard_worker,social,2.34,633,recovery,signal_restoration,890,164.8,minimal,True,False,stable,Archive Survey Team,pre_post_assessment,0.58,Horizon expansion triggered by recovery via signal_restoration,,
HE-0012,Expansion Case 12,person,ENT-859,individual,244.9,1.86,5,0.36,standard_student,4381.8,14.8,193,0.64,standard_student,social,1.0,335,unknown,signal_restoration,930,234.7,strong,True,False,stable,C. Vells,pre_post_assessment,0.58,Horizon expansion triggered by unknown via signal_restoration,SC-267,
HE-0013,Expansion Case 13,person,ENT-958,individual,200.4,34.85,15,0.23,standard_worker,1580.0,240.13,356,0.52,standard_worker,social,1.99,2810,education,gradual_accumulation,938,48.3,strong,True,True,fragile,Independent Observer,retrospective_interview,0.68,Horizon expansion triggered by education via gradual_accumulation,,
HE-0014,Expansion Case 14,collective,ENT-331,large_collective,146.3,8.12,1,0.15,standard_student,2489.3,40.58,45,0.43,standard_student,social,1.0,2243,contemplation,gradual_accumulation,903,378.4,minimal,False,False,fluctuating,K. Strand,pre_post_assessment,0.8,Horizon expansion triggered by contemplation via gradual_accumulation,SC-22,
HE-0015,Expansion Case 15,collective,,small_group,178.8,7.13,18,0.17,standard_worker,5116.5,35.51,691,0.66,standard_worker,social,2.32,23,collective_membership,sudden_insight,922,312.5,moderate,False,True,stable,Boundary Commission,behavioral_observation,0.82,Horizon expansion triggered by collective_membership via sudden_insight,,
HE-0016,Expansion Case 16,collective,,small_group,195.1,38.92,8,0.34,survivor,1908.9,252.03,57,0.45,standard_worker,temporal,1.0,524,recovery,signal_restoration,931,124.6,strong,True,True,fluctuating,P. Anster,longitudinal_tracking,0.72,Horizon expansion triggered by recovery via signal_restoration,SC-442,
