measurement_id,entity_id,entity_type,entity_name,entity_scale,spatial_extent_km,temporal_extent_days,social_extent_individuals,abstract_extent_score,horizon_volume,horizon_shape,strand_profile,measurement_year,measurement_context,dens_proximity_km,stress_level,horizon_stability,recent_change,change_trigger,measurer,method_reference,confidence,notes
HM-0001,ENT-0001,person,Jackson,individual,5.58,84.8,9,0.92,1.0,asymmetric,jackson_type,940,field_observation,148.5,minimal,0.9,stable,,K. Strand,strand_protocol_v2,0.86,"Unusual bimodal temporal horizon; conventional short, philosophical vast"
HM-0002,ENT-0002,person,Garrett (trapper),individual,9.72,15.5,5,0.15,1.0,balanced,survivor,915,clinical_assessment,178.1,low,0.65,stable,,Independent Observer,strand_protocol_v2,0.89,Post-trauma contracted horizon; partial recovery documented
HM-0003,ENT-0003,person,Tessa (surveyor),individual,179.3,530.4,35,0.45,1.0,balanced,standard_worker,928,field_observation,193.8,low,0.62,stable,,R. Voss,strand_protocol_v2,0.81,Pre-Dens-exposure measurement; experienced boundary surveyor
HM-0004,ENT-0004,person,Mira Strand,individual,382.7,12929.2,795,0.88,96.1399,temporal_dominant,visionary,913,clinical_assessment,124.0,minimal,0.78,stable,,K. Strand,strand_protocol_v2,0.95,Founder of horizon theory; vast temporal and abstract reach
HM-0005,ENT-0005,institution,Capital Archives,institution,1058.56,33804.3,45847,0.75,6962.2992,temporal_dominant,institutional,938,self_report,213.5,moderate,0.84,stable,,K. Strand,strand_protocol_v2,0.93,Multi-century temporal horizon; preservation purpose
HM-0006,ENT-0006,institution,Institution I-006,institution,4256.96,20597.8,65395,0.69,3905.8198,social_dominant,caretaker,933,historical_reconstruction,29.8,extreme,0.44,stable,,K. Strand,behavioral_inference,0.8,
HM-0007,ENT-0007,collective,Collective C-007,large_collective,4836.12,25872.3,2458,0.6,1053.0126,balanced,visionary,930,self_report,182.3,moderate,0.79,stable,,K. Strand,behavioral_inference,0.69,
HM-0008,ENT-0008,creature,stakdur colony,organ,0.13,0.3,0,0.0,1.0,asymmetric,survivor,934,behavioral_inference,63.7,low,0.74,stable,,Boundary Commission,field_estimation,0.54,
HM-0009,ENT-0009,creature,leatherback,organ,0.2,0.5,3,0.19,1.0,social_dominant,survivor,922,behavioral_inference,204.7,low,0.77,stable,,Boundary Commission,strand_protocol_v1,0.58,
HM-0010,ENT-0010,person,Subject P-010,individual,335.16,4458.2,139,0.87,5.2947,temporal_dominant,standard_student,924,field_observation,176.0,low,0.85,stable,,M. Strand,field_estimation,0.73,
