event_id,event_name,form_id,form_type,form_complexity,form_novelty,prior_manifestations,location,region,dens_proximity_km,boundary_instability_index,spatial_curvature,ingression_mode,ingression_duration_minutes,manifestation_completeness,stability_post_ingression,fidelity_score,distortion_type,noise_level,observer,observer_type,instrument_used,prebel_effect_observed,observation_year,documented_year,vells_category,confidence,notes
IE-0001,Pattern Event 903,FORM-0598,phenomenon,moderate,familiar,11,Southern camps,Tower of Mirado,247.0,4.1,moderately_curved,sudden,7.44,0.8,fluctuating,0.5,incomplete_expression,extreme,A. Vells,multiple,True,False,903,907,accelerated,0.58,
IE-0002,Digger Emergence 899,FORM-0517,creature,moderate,unprecedented,0,Klutch CC vicinity,Densmok,226.5,4.2,moderately_curved,replacement,351.1,0.61,stable,0.56,incomplete_expression,moderate,Capital Survey Team,surveyor,True,False,899,909,decelerated,0.57,
IE-0003,Landscape Formation 909,,place,complex,variant,34,Sector SW-6,Dens boundary,29.7,8.9,highly_curved,sudden,32.79,0.98,degrading,1.0,none,high,C. Vells,archivist,False,False,909,918,accelerated,0.63,
IE-0004,Stakdur Manifestation 930,FORM-0576,creature,moderate,variant,45,Educational district,Densmok,222.5,5.6,mildly_curved,oscillating,712.15,0.61,fluctuating,0.52,incomplete_expression,extreme,Capital Survey Team,archivist,True,False,930,931,decelerated,0.78,
IE-0005,Mixed Appearance 907,,hybrid,simple,rare,78,Siege fields,Tower of Mirado,180.4,5.4,mildly_curved,blending,21.89,0.7,fluctuating,0.74,structural_variation,extreme,A. Vells,scholar,True,True,907,915,standard,0.87,
IE-0006,Formation Manifestation 904,FORM-0807,pattern,complex,unusual,87,Sector NE-4,Dens boundary,28.4,8.5,extreme,competing,1794.22,0.92,stable,0.83,scale_distortion,extreme,C. Vells,multiple,False,False,904,905,standard,0.58,
IE-0007,Anomaly Event 903,,phenomenon,moderate,unusual,16,Coder quarter,Densmok,229.0,3.2,flat,sudden,0.99,0.74,stable,0.54,noise_overlay,minimal,A. Prebel,scholar,True,False,903,905,accelerated,0.79,
IE-0008,Architecture Emergence 932,FORM-0527,structure,moderate,familiar,91,Northern margin,Dens boundary,43.5,6.2,highly_curved,replacement,835.26,0.8,gradually_stabilizing,0.76,temporal_smearing,extreme,Field Team,archivist,False,False,932,933,decelerated,0.95,
IE-0009,Manifestation Arrival 907,FORM-0943,phenomenon,highly_complex,familiar,21,Southern perimeter,Dens boundary,46.9,8.3,highly_curved,oscillating,24712.74,0.97,dissolved,0.79,structural_variation,high,Boundary Commission,multiple,True,False,907,911,overflow,0.74,
IE-0010,Zone Arrival 909,,place,moderate,rare,21,Southern approach,Yeller Quarry,116.1,6.1,moderately_curved,replacement,956.24,0.96,dissolved,0.72,hybrid_contamination,low,Boundary Commission,indigenous,False,False,909,909,decelerated,0.69,
IE-0011,Sequence Emergence 895,FORM-0786,pattern,moderate,unprecedented,0,Archive vicinity,Capital,287.2,1.7,flat,blending,906.54,0.47,gradually_stabilizing,0.65,incomplete_expression,high,S. Moll,healer,True,False,895,904,blocked_partial,0.78,
IE-0012,Tendency Formation 919,FORM-0591,behavior,simple,unprecedented,0,Coder quarter,Densmok,183.1,4.3,moderately_curved,oscillating,53.41,0.86,stable,0.8,hybrid_contamination,moderate,Ingression Study Group,surveyor,True,False,919,924,decelerated,0.77,
IE-0013,Hybrid Event 915,FORM-0996,hybrid,simple,unprecedented,0,Eastern Northo,Northo,332.3,2.4,mildly_curved,oscillating,11.57,0.49,transformed,0.35,structural_variation,low,A. Prebel,indigenous,False,False,915,916,blocked_partial,0.86,
IE-0014,Composite Emergence 930,FORM-0999,hybrid,highly_complex,familiar,63,Southern camps,Tower of Mirado,152.3,5.2,moderately_curved,competing,80825.64,0.67,fluctuating,0.76,incomplete_expression,minimal,M. Strand,healer,True,True,930,933,decelerated,0.58,
IE-0015,Configuration Appearance 898,FORM-0032,pattern,simple,variant,52,Dens deep,Dens,0.0,9.8,highly_curved,replacement,27.68,0.97,fluctuating,0.97,none,moderate,S. Moll,trapper,False,False,898,907,recursive,0.55,
IE-0016,Site Appearance 902,FORM-0842,place,simple,variant,57,Eastern Northo,Northo,366.5,2.3,mildly_curved,gradual,20.11,0.72,degrading,0.5,incomplete_expression,moderate,E. Pol,indigenous,False,False,902,909,overflow,0.65,
IE-0017,Affinity Event 922,,relationship,highly_complex,familiar,54,Quarry interior,Yeller Quarry,101.7,6.7,highly_curved,competing,3336.89,0.82,dissolved,0.88,none,low,S. Moll,surveyor,True,False,922,928,overflow,0.74,
IE-0018,Manifestation Arrival 911,FORM-0555,phenomenon,highly_complex,unprecedented,0,Quarry Sector 7,Yeller Quarry,108.9,8.3,extreme,replacement,61317.45,0.73,transformed,0.82,structural_variation,extreme,A. Vells,scholar,True,False,911,911,decelerated,0.85,
IE-0019,Action Manifestation 918,,behavior,moderate,unprecedented,0,Southern camps,Tower of Mirado,234.1,3.8,flat,oscillating,773.83,0.82,dissolved,0.68,hybrid_contamination,minimal,T. Mord,trapper,False,False,918,928,decelerated,0.92,
IE-0020,Design Arrival 916,FORM-0930,structure,simple,unprecedented,0,Scholar's Quarter,Capital,210.8,5.2,moderately_curved,gradual,135.34,0.88,transformed,0.66,scale_distortion,high,E. Pol,healer,True,False,916,916,decelerated,0.71,
IE-0021,Affinity Formation 904,FORM-0145,relationship,complex,variant,24,Southern perimeter,Dens boundary,53.4,7.1,highly_curved,competing,8423.25,1.0,fluctuating,0.69,structural_variation,moderate,M. Strand,surveyor,False,False,904,905,decelerated,0.69,
IE-0022,Convergence Formation 891,FORM-0715,phenomenon,simple,unusual,36,Sector NE-4,Dens boundary,55.5,7.7,moderately_curved,oscillating,32.97,0.94,transformed,0.84,noise_overlay,low,C. Vells,healer,False,False,891,894,decelerated,0.75,
IE-0023,Maw Beast Formation 934,FORM-0596,creature,simple,unusual,58,Klutch CC vicinity,Densmok,219.2,4.0,flat,gradual,112.63,0.85,transformed,0.73,incomplete_expression,moderate,A. Vells,multiple,True,False,934,934,decelerated,0.62,
IE-0024,Stakdur Arrival 925,FORM-0908,creature,moderate,unusual,99,Northern approach,Tower of Mirado,217.3,3.3,flat,cascading,290.01,0.78,stable,0.58,scale_distortion,high,T. Mord,healer,False,True,925,932,overflow,0.91,
IE-0025,Structure Appearance 892,FORM-0645,pattern,highly_complex,unusual,15,Quarry Sector 7,Yeller Quarry,109.1,8.1,extreme,competing,23398.2,0.98,transformed,0.68,scale_distortion,high,Boundary Commission,trapper,False,False,892,897,standard,1.0,
IE-0026,Formation Manifestation 920,FORM-0809,structure,moderate,unusual,35,Dissolution zone,Dens,0.0,9.4,extreme,gradual,1039.89,0.88,gradually_stabilizing,0.86,none,moderate,A. Prebel,archivist,True,False,920,930,decelerated,0.57,
IE-0027,Design Event 893,,structure,highly_complex,unprecedented,0,Educational district,Densmok,235.4,4.4,mildly_curved,sudden,63.86,0.6,degrading,0.55,hybrid_contamination,minimal,E. Pol,archivist,True,False,893,893,accelerated,0.76,
IE-0028,Mixed Arrival 911,FORM-0252,hybrid,complex,unusual,50,Southern camps,Tower of Mirado,153.8,5.6,mildly_curved,replacement,8688.41,0.89,transformed,0.85,none,minimal,E. Pol,indigenous,True,False,911,912,decelerated,0.91,
IE-0029,Landscape Appearance 891,FORM-0697,place,moderate,unusual,23,Coder quarter,Densmok,186.3,4.3,moderately_curved,replacement,597.95,0.81,degrading,0.6,incomplete_expression,low,M. Strand,trapper,False,False,891,899,decelerated,0.5,
IE-0030,Blended Appearance 906,,hybrid,highly_complex,unprecedented,0,Archive vicinity,Capital,240.5,3.8,flat,oscillating,11352.02,0.67,gradually_stabilizing,0.5,incomplete_expression,high,Boundary Commission,indigenous,False,False,906,912,recursive,0.64,
IE-0031,Construction Arrival 897,FORM-0375,structure,moderate,familiar,70,Western approach,Dens boundary,47.0,6.0,moderately_curved,blending,587.91,0.81,dissolved,0.88,none,minimal,Capital Survey Team,indigenous,False,False,897,904,decelerated,0.63,
