measurement_id,form_id,manifestation_id,form_type,overall_fidelity,structural_fidelity,behavioral_fidelity,temporal_fidelity,relational_fidelity,distortion_present,distortion_type,distortion_severity,distortion_systematic,distortion_source,location,region,dens_proximity_km,barrier_thickness,expected_fidelity,fidelity_deviation,assessment_year,assessor,comparison_method,reference_source,confidence,notes
IF-0001,,IE-0057,phenomenon,0.73,0.82,,0.7,0.83,True,noise,minor,False,substrate_limitation,Third Mill,Yeller Quarry,107.2,moderate,0.7,0.03,922,A. Prebel,behavioral_testing,prior_manifestation,0.53,
IF-0002,FORM-0522,IE-0163,relationship,0.73,0.82,,0.65,0.64,True,behavioral,moderate,False,observer_effect,Tower base,Tower of Mirado,177.6,moderate,0.7,0.03,922,Ingression Study Group,expert_judgment,prior_manifestation,0.89,
IF-0003,FORM-0215,,hybrid,0.91,0.89,,0.93,0.83,False,none,none,,,Western approach,Dens boundary,47.1,thin,0.85,0.06,922,Ingression Study Group,historical_comparison,consensus_description,0.85,
IF-0004,FORM-0835,IE-0229,creature,0.87,0.84,0.87,0.81,0.94,False,none,none,,,Dens deep,Dens,0.0,thin,0.85,0.02,929,S. Moll,structural_analysis,pol_form_library,0.71,
IF-0005,FORM-0874,IE-0022,hybrid,0.81,0.86,,0.8,0.75,False,none,none,,,Eastern markets,Capital,208.5,moderate,0.7,0.11,919,Capital Survey Team,form_catalog_comparison,pol_form_library,0.77,
IF-0006,FORM-0792,,pattern,0.85,0.85,,0.89,0.83,False,none,none,,,Dissolution zone,Dens,0.0,thin,0.85,-0.0,919,E. Pol,form_catalog_comparison,pol_form_library,0.61,
IF-0007,FORM-0721,IE-0289,phenomenon,0.76,0.72,,0.69,0.73,True,behavioral,severe,True,spatial_curvature,Eastern fluctuation zone,Dens boundary,43.7,thin,0.85,-0.09,924,Ingression Study Group,behavioral_testing,pol_form_library,0.58,
IF-0008,FORM-0755,,behavior,0.64,0.68,0.61,0.68,0.58,True,scale,moderate,False,observer_effect,Eastern fluctuation zone,Dens boundary,52.3,moderate,0.7,-0.06,929,Capital Survey Team,theoretical_prediction,indigenous_knowledge,0.54,
IF-0009,FORM-0879,IE-0059,creature,0.83,0.79,0.94,0.87,0.78,False,none,none,,,Third Mill,Yeller Quarry,161.3,moderate,0.7,0.13,918,T. Mord,theoretical_prediction,pol_form_library,0.61,
IF-0010,,IE-0309,pattern,0.67,0.6,,0.75,0.76,True,symmetry,severe,False,observer_effect,Siege fields,Tower of Mirado,227.3,moderate,0.7,-0.03,935,A. Prebel,behavioral_testing,theoretical_model,0.84,
