measurement_id,form_id,form_type,form_complexity,ingression_rate,onset_delay_minutes,completion_time_minutes,rate_variability,acceleration_pattern,location,region,dens_proximity_km,boundary_instability,spatial_curvature,barrier_thickness,observer_presence,observer_attention_level,competing_forms,substrate_receptivity,expected_rate,rate_deviation,deviation_explanation,measurement_year,measurer,method,confidence,notes
IR-0001,,structure,simple,49.5,28.21,140.23,0.36,decelerating,Klutch CC vicinity,Densmok,272.4,2.0,flat,very_thick,True,passive,1,blocking,60.0,-10.5,observer effect,926,M. Strand,direct_observation,0.56,
IR-0002,FORM-0316,creature,complex,83.3,10.52,35.0,0.54,spike_plateau,Mill vicinity,Yeller Quarry,110.4,7.0,moderately_curved,moderate,False,none,3,receptive,85.0,-1.7,,925,M. Strand,pattern_tracking,0.95,
IR-0003,,relationship,moderate,34.2,51.31,82.32,0.76,decelerating,Northern monastery,Northo,315.6,2.0,flat,very_thick,False,none,4,highly_receptive,60.0,-25.8,observer effect,935,Ingression Study Group,direct_observation,0.81,
IR-0004,,relationship,highly_complex,100,14.42,49.97,0.13,oscillating,Western approach,Dens boundary,31.8,8.9,highly_curved,thin,True,intense,4,highly_receptive,94.5,5.5,,930,Boundary Commission,substrate_monitoring,0.54,
IR-0005,,behavior,moderate,68.8,55.54,88.48,0.25,decelerating,Southern approach,Yeller Quarry,118.9,7.9,moderately_curved,thin,True,active,2,highly_receptive,89.5,-20.7,observer effect,924,Boundary Commission,pattern_tracking,0.85,
IR-0006,FORM-0573,place,moderate,82.9,54.82,170.44,0.26,decelerating,Dissolution zone,Dens,0.0,9.6,highly_curved,thin,True,active,3,blocking,98.0,-15.1,none identified,919,S. Moll,pattern_tracking,0.65,
IR-0007,FORM-0413,behavior,complex,60.0,8.15,17.01,0.4,constant,Northern monastery,Northo,273.0,2.8,flat,thick,False,none,0,receptive,64.0,-4.0,,923,Capital Survey Team,boundary_correlation,0.71,
IR-0008,FORM-0209,relationship,moderate,32.1,54.04,185.91,0.54,stepped,Eastern Northo,Northo,339.7,1.0,flat,very_thick,True,passive,0,receptive,55.0,-22.9,observer effect,923,A. Vells,direct_observation,0.67,
IR-0009,FORM-0596,relationship,highly_complex,82.9,38.72,119.03,0.64,oscillating,Southern perimeter,Dens boundary,39.0,9.0,extreme,thin,True,passive,0,resistant,95.0,-12.1,competing form,932,S. Moll,boundary_correlation,0.51,
IR-0010,,hybrid,complex,49.5,59.61,100.14,0.18,oscillating,Isolation community,Northo,348.9,2.4,flat,thick,True,active,1,highly_receptive,62.0,-12.5,none identified,934,Ingression Study Group,boundary_correlation,0.76,
IR-0011,FORM-0093,structure,simple,100,26.43,114.53,0.15,oscillating,Eastern fluctuation zone,Dens boundary,31.5,8.5,highly_curved,thin,True,active,3,highly_receptive,92.5,7.5,,923,Boundary Commission,direct_observation,0.58,
IR-0012,FORM-0640,pattern,simple,32.7,62.08,197.96,0.58,decelerating,Isolation community,Northo,383.9,0.2,flat,very_thick,True,active,3,neutral,51.0,-18.3,competing form,920,A. Vells,boundary_correlation,0.93,
IR-0013,FORM-0949,behavior,complex,56.7,22.48,73.2,0.74,accelerating,Siege fields,Tower of Mirado,249.7,3.2,flat,thick,True,intense,4,neutral,66.0,-9.3,,931,S. Moll,direct_observation,0.56,
IR-0014,FORM-0078,hybrid,moderate,87.1,25.84,75.88,0.24,decelerating,Dens deep,Dens,0.0,10.0,extreme,thin,True,intense,4,receptive,100.0,-12.9,competing form,931,S. Moll,pattern_tracking,0.55,
IR-0015,,place,complex,100,28.08,57.17,0.19,spike_plateau,Dens deep,Dens,0.0,9.8,highly_curved,thin,True,active,3,blocking,99.0,1.0,,918,E. Pol,retrospective_analysis,0.62,
IR-0016,FORM-0383,phenomenon,moderate,93.2,14.57,59.8,0.16,constant,Dens deep,Dens,0.0,9.8,extreme,thin,False,none,4,neutral,99.0,-5.8,,927,C. Vells,retrospective_analysis,0.72,
IR-0017,,creature,moderate,81.7,12.0,36.72,0.65,accelerating,Dens interior,Dens,0.0,9.4,highly_curved,thin,True,active,0,highly_receptive,97.0,-15.3,substrate resistance,922,A. Vells,boundary_correlation,0.62,
IR-0018,FORM-0565,structure,moderate,98.1,32.74,149.49,0.11,accelerating,Southern perimeter,Dens boundary,28.3,7.6,moderately_curved,thin,True,intense,1,highly_receptive,88.0,10.1,none identified,935,E. Pol,substrate_monitoring,0.88,
IR-0019,FORM-0365,creature,highly_complex,79.0,47.02,83.04,0.33,stepped,Dens deep,Dens,0.0,9.1,highly_curved,thin,False,none,1,highly_receptive,95.5,-16.5,observer effect,934,C. Vells,substrate_monitoring,0.75,
IR-0020,FORM-0705,hybrid,complex,100,40.6,134.7,0.54,decelerating,Dens interior,Dens,0.0,9.5,extreme,thin,False,none,0,blocking,97.5,2.5,,922,Field Team,substrate_monitoring,0.54,
IR-0021,FORM-0921,phenomenon,simple,39.3,43.06,72.68,0.47,spike_plateau,Northern monastery,Northo,272.4,4.1,mildly_curved,moderate,False,none,5,neutral,70.5,-31.2,none identified,925,Ingression Study Group,direct_observation,0.82,
IR-0022,FORM-0181,relationship,highly_complex,70.2,46.79,137.49,0.72,accelerating,Southern camps,Tower of Mirado,150.4,7.0,highly_curved,moderate,True,active,3,blocking,85.0,-14.8,boundary fluctuation,919,Field Team,retrospective_analysis,0.79,
IR-0023,FORM-0794,hybrid,highly_complex,72.8,45.86,116.77,0.13,stepped,Philosophical Society grounds,Capital,221.3,4.8,mildly_curved,moderate,True,passive,0,neutral,74.0,-1.2,,933,E. Pol,substrate_monitoring,0.94,
IR-0024,,relationship,simple,52.0,61.77,202.65,0.15,accelerating,Northern approach,Tower of Mirado,204.8,5.2,moderately_curved,moderate,False,none,2,resistant,76.0,-24.0,observer effect,934,T. Mord,pattern_tracking,0.83,
IR-0025,FORM-0039,creature,highly_complex,75.1,51.57,93.36,0.6,decelerating,Northern margin,Dens boundary,23.8,6.1,moderately_curved,moderate,True,intense,5,resistant,80.5,-5.4,,922,E. Pol,pattern_tracking,0.88,
IR-0026,FORM-0423,phenomenon,highly_complex,64.4,45.1,206.59,0.78,oscillating,Educational district,Densmok,260.8,2.0,flat,very_thick,True,intense,0,resistant,60.0,4.4,,933,Ingression Study Group,direct_observation,0.66,
IR-0027,,pattern,highly_complex,76.8,56.48,227.14,0.55,stepped,Tower base,Tower of Mirado,208.9,5.4,moderately_curved,moderate,False,none,0,highly_receptive,77.0,-0.2,,923,Boundary Commission,retrospective_analysis,0.54,
IR-0028,FORM-0278,structure,simple,72.5,8.56,21.81,0.29,accelerating,Third Mill,Yeller Quarry,149.3,6.8,highly_curved,moderate,True,passive,0,highly_receptive,84.0,-11.5,none identified,932,Boundary Commission,direct_observation,0.87,
IR-0029,FORM-0516,hybrid,highly_complex,99.2,0.1,0.28,0.65,oscillating,Dens interior,Dens,0.0,9.1,highly_curved,thin,False,none,5,resistant,95.5,3.7,,931,Ingression Study Group,substrate_monitoring,0.89,
IR-0030,FORM-0377,creature,complex,59.1,26.66,126.97,0.14,accelerating,Educational district,Densmok,201.9,4.6,mildly_curved,moderate,True,active,2,resistant,73.0,-13.9,substrate resistance,933,Capital Survey Team,substrate_monitoring,0.84,
IR-0031,FORM-0501,place,complex,63.6,60.45,269.66,0.7,accelerating,Siege fields,Tower of Mirado,245.6,5.1,moderately_curved,moderate,True,intense,2,highly_receptive,75.5,-11.9,competing form,925,A. Prebel,direct_observation,0.52,
IR-0032,,place,complex,100,30.02,83.69,0.65,stepped,Eastern fluctuation zone,Dens boundary,24.5,8.9,highly_curved,thin,True,active,1,neutral,94.5,5.5,,920,Boundary Commission,direct_observation,0.91,
IR-0033,FORM-0478,creature,complex,84.2,45.87,203.2,0.49,oscillating,Southern approach,Yeller Quarry,117.8,6.5,highly_curved,moderate,False,none,1,blocking,82.5,1.7,,931,C. Vells,direct_observation,0.65,
IR-0034,FORM-0450,pattern,moderate,85.6,48.0,190.18,0.67,stepped,Dens interior,Dens,0.0,9.2,highly_curved,thin,True,passive,1,neutral,96.0,-10.4,none identified,924,A. Vells,direct_observation,0.77,
IR-0035,FORM-0596,structure,simple,57.0,43.63,162.66,0.3,constant,Tower base,Tower of Mirado,230.7,3.1,flat,thick,False,none,5,blocking,65.5,-8.5,,920,E. Pol,pattern_tracking,0.51,
IR-0036,FORM-0739,creature,moderate,69.1,41.29,104.91,0.64,spike_plateau,Sector NE-4,Dens boundary,50.6,6.6,moderately_curved,moderate,True,active,2,neutral,83.0,-13.9,observer effect,921,Capital Survey Team,pattern_tracking,0.83,
IR-0037,,relationship,highly_complex,68.1,37.79,178.81,0.61,oscillating,Quarry Sector 7,Yeller Quarry,133.1,5.9,mildly_curved,moderate,False,none,5,blocking,79.5,-11.4,none identified,919,C. Vells,substrate_monitoring,0.64,
IR-0038,FORM-0749,relationship,moderate,64.0,14.47,28.67,0.38,constant,Eastern markets,Capital,219.5,3.5,flat,thick,False,none,3,receptive,67.5,-3.5,,928,S. Moll,pattern_tracking,0.53,
IR-0039,,relationship,highly_complex,60.8,23.35,87.46,0.11,constant,Siege fields,Tower of Mirado,164.7,6.7,moderately_curved,moderate,True,intense,4,highly_receptive,83.5,-22.7,boundary fluctuation,934,C. Vells,substrate_monitoring,0.66,
IR-0040,,phenomenon,highly_complex,63.2,30.28,149.42,0.51,decelerating,Klutch CC vicinity,Densmok,223.2,5.2,moderately_curved,moderate,False,none,1,highly_receptive,76.0,-12.8,none identified,921,Field Team,substrate_monitoring,0.87,
IR-0041,FORM-0234,creature,highly_complex,35.9,37.11,169.3,0.43,spike_plateau,Northern approach,Tower of Mirado,249.0,2.6,mildly_curved,thick,True,passive,4,blocking,63.0,-27.1,observer effect,929,C. Vells,pattern_tracking,0.56,
IR-0042,,hybrid,complex,97.1,29.73,83.11,0.64,oscillating,Southern perimeter,Dens boundary,22.8,7.6,moderately_curved,thin,True,passive,5,neutral,88.0,9.1,,925,Ingression Study Group,direct_observation,0.85,
IR-0043,FORM-0544,hybrid,moderate,52.7,63.19,299.51,0.63,constant,Klutch CC vicinity,Densmok,218.9,5.3,mildly_curved,moderate,True,active,1,neutral,76.5,-23.8,none identified,928,E. Pol,direct_observation,0.7,
IR-0044,FORM-0895,creature,simple,38.5,65.47,125.58,0.6,spike_plateau,Siege fields,Tower of Mirado,231.8,3.3,mildly_curved,thick,False,none,0,highly_receptive,66.5,-28.0,observer effect,924,Capital Survey Team,pattern_tracking,0.52,
IR-0045,FORM-0052,place,highly_complex,63.8,6.99,16.36,0.13,oscillating,Quarry Sector 7,Yeller Quarry,166.9,6.4,highly_curved,moderate,True,intense,2,blocking,82.0,-18.2,observer effect,927,Field Team,boundary_correlation,0.59,
IR-0046,FORM-0221,hybrid,moderate,100,20.71,76.57,0.13,accelerating,Dissolution zone,Dens,0.0,9.2,highly_curved,thin,True,active,5,neutral,96.0,4.0,,930,Capital Survey Team,pattern_tracking,0.89,
IR-0047,FORM-0691,structure,moderate,60.0,17.21,78.0,0.49,spike_plateau,Eastern markets,Capital,205.0,5.4,moderately_curved,moderate,True,active,3,blocking,77.0,-17.0,competing form,932,Field Team,pattern_tracking,0.58,
IR-0048,FORM-0439,relationship,complex,41.0,34.24,99.68,0.38,spike_plateau,Eastern Northo,Northo,279.4,2.7,mildly_curved,thick,True,active,1,blocking,63.5,-22.5,competing form,930,M. Strand,boundary_correlation,0.55,
IR-0049,FORM-0902,behavior,highly_complex,71.8,32.13,148.84,0.79,stepped,Suburban zone,Densmok,210.4,4.1,moderately_curved,moderate,True,active,2,resistant,70.5,1.3,,920,Boundary Commission,direct_observation,0.93,
IR-0050,,structure,complex,96.6,4.59,12.05,0.4,stepped,Western approach,Dens boundary,37.9,6.2,highly_curved,moderate,False,none,1,resistant,81.0,15.6,boundary fluctuation,931,C. Vells,boundary_correlation,0.95,
IR-0051,FORM-0286,hybrid,moderate,66.7,38.63,70.02,0.68,accelerating,Southern camps,Tower of Mirado,161.1,7.3,highly_curved,thin,False,none,3,receptive,86.5,-19.8,boundary fluctuation,918,C. Vells,pattern_tracking,0.73,
IR-0052,FORM-0729,place,complex,72.1,35.47,112.57,0.45,stepped,Quarry Sector 7,Yeller Quarry,139.1,6.1,moderately_curved,moderate,False,none,2,neutral,80.5,-8.4,,923,Capital Survey Team,boundary_correlation,0.59,
IR-0053,FORM-0507,structure,moderate,85.2,17.67,65.37,0.45,constant,Western approach,Dens boundary,35.1,7.6,highly_curved,thin,True,active,3,neutral,88.0,-2.8,,933,Boundary Commission,substrate_monitoring,0.78,
IR-0054,,relationship,simple,91.5,22.32,107.9,0.63,spike_plateau,Sector NE-4,Dens boundary,48.4,7.4,moderately_curved,thin,True,active,1,neutral,87.0,4.5,,919,E. Pol,retrospective_analysis,0.81,
IR-0055,FORM-0604,structure,complex,81.0,21.4,84.8,0.69,stepped,Klutch CC vicinity,Densmok,180.3,4.4,mildly_curved,moderate,True,active,5,resistant,72.0,9.0,,923,A. Prebel,substrate_monitoring,0.67,
IR-0056,,behavior,highly_complex,91.4,32.34,107.09,0.58,decelerating,Dissolution zone,Dens,0.0,9.7,highly_curved,thin,True,active,4,blocking,98.5,-7.1,,918,E. Pol,direct_observation,0.76,
IR-0057,FORM-0412,hybrid,simple,56.4,52.49,165.16,0.38,accelerating,Coder quarter,Densmok,219.0,4.6,moderately_curved,moderate,False,none,0,resistant,73.0,-16.6,competing form,918,S. Moll,pattern_tracking,0.79,
IR-0058,FORM-0501,structure,simple,74.2,22.67,87.13,0.46,oscillating,Sector SW-6,Dens boundary,35.6,8.2,highly_curved,thin,True,active,0,receptive,91.0,-16.8,substrate resistance,919,C. Vells,substrate_monitoring,0.69,
IR-0059,FORM-0904,place,simple,77.5,34.71,100.58,0.39,stepped,Western approach,Dens boundary,32.6,6.8,highly_curved,moderate,False,none,2,resistant,84.0,-6.5,,927,A. Prebel,pattern_tracking,0.6,
IR-0060,FORM-0848,structure,highly_complex,54.6,26.12,121.0,0.41,spike_plateau,Isolation community,Northo,316.2,1.2,mildly_curved,very_thick,False,none,4,neutral,56.0,-1.4,,925,M. Strand,boundary_correlation,0.86,
