measurement_id,collective_id,collective_name,individual_level_avg,collective_level,integration_score,level_emergence,communication_channels,response_coordination,memory_distribution,goal_coherence,turnover_resilience,component_count,scale_levels_spanned,federation_depth,emergent_goals,self_preservation,adaptive_reorganization,boundary_maintenance,component_horizon_days_avg,collective_horizon_days,horizon_multiplication,measurement_year,measurer,method,confidence,notes
IM-0001,AG-0003,Klutch CC Class of 926,2.7,3.3,0.71,0.6,7,0.38,0.13,0.5,0.12,476,1,5,True,True,False,True,2181.3,17668.6,8.1,920,Colony Observation Unit,anster_modified,0.76,
IM-0002,AG-0006,Boundary Research Circle,2.1,2.6,0.44,0.5,2,0.41,0.15,0.5,0.44,1688,2,5,False,False,True,False,2888.3,15596.6,5.4,913,Klutch CC Research,structural_mapping,0.82,
IM-0003,AG-0026,Eastern Mill Crew,3.2,4.3,0.63,1.1,11,0.48,0.39,0.64,0.28,3681,2,5,False,True,False,True,1853.5,13530.6,7.3,925,Colony Observation Unit,mord_protocol,0.77,
IM-0004,AG-0021,Capital The Archive,3.7,4.1,0.48,0.4,7,0.31,0.12,0.6,0.52,3710,1,1,False,False,True,False,3285.0,19052.8,5.8,938,O. Venn,mord_protocol,0.7,
IM-0005,AG-0037,Boundary Mill Crew,3.4,3.9,0.43,0.5,8,0.29,0.39,0.45,0.3,4739,1,1,False,False,True,False,2513.4,13321.1,5.3,935,Klutch CC Research,mord_protocol,0.65,
IM-0006,AG-0087,Boundary Research Circle,2.4,3.2,0.46,0.8,12,0.49,0.44,0.46,0.29,3016,1,5,False,False,False,False,258.4,1446.8,5.6,934,Independent Observer,anster_modified,0.79,
IM-0007,AG-0019,Boundary Trade Coalition,1.8,2.6,0.89,0.8,19,0.68,0.95,0.96,0.61,3750,2,2,True,True,True,True,1309.4,12963.0,9.9,924,T. Mord,structural_mapping,0.66,
IM-0008,AG-0087,Western Scholar Assembly,3.0,4.0,0.74,1.0,7,0.28,0.76,0.4,0.77,2327,3,1,True,True,False,True,818.7,6877.1,8.4,929,Archive Survey Team,communication_analysis,0.95,
IM-0009,AG-0056,Eastern Boundary Watch,3.4,3.9,0.26,0.5,9,0.27,0.28,0.31,0.21,4914,1,1,False,False,False,False,74.4,267.7,3.6,914,P. Anster,structural_mapping,0.65,
IM-0010,AG-0025,Central Survey Team,3.3,3.6,0.29,0.3,8,0.4,0.44,0.48,0.14,1454,4,4,False,False,False,False,1222.7,4768.4,3.9,932,T. Mord,anster_modified,0.67,
