measurement_id,coord_x,coord_y,coord_z,region_name,nearest_basin_id,gaussian_curvature,mean_curvature,principal_curvature_1,principal_curvature_2,curvature_type,distinguishability,stability_influence,dens_correlation,physical_region,measurement_year,measurement_method,surveyor,confidence,notes
LC-0001,0.45,0.32,0.18,The Quintic Basin Center,BA-001,1.753,0.67,1.013,0.326,spherical,0.65,0.66,0.19,stable_interior,918,form_triangulation,C. Vells,0.92,Deep positive curvature at basin center. High stability.
LC-0002,0.5,0.42,0.22,The Gap,BA-003,-0.6,0.555,0.918,0.193,hyperbolic,0.85,-0.05,0.38,boundary_zone,918,form_triangulation,C. Vells,0.94,Between Quintic and Tension basins. Negative curvature ~0.15 units wide. No stable forms.
LC-0003,0.4,0.47,0.27,Quintic-Northern Ridge,BA-003,-0.6,-0.089,-0.025,-0.154,hyperbolic,0.82,-0.18,0.07,boundary_zone,918,form_triangulation,C. Vells,0.85,Ridge region with negative curvature. Resists crossing.
LC-0004,0.1,0.7,0.5,Dens Boundary Zone,BA-033,-0.6,0.197,0.319,0.075,hyperbolic,0.71,-0.12,0.75,dens_adjacent,918,form_triangulation,C. Vells,0.91,High negative curvature. Dens-correlated. Unstable forms.
LC-0005,-0.52,-0.41,0.08,Binary Basin Center,BA-002,1.237,0.347,0.484,0.21,spherical,0.56,0.29,-0.09,stable_interior,918,form_triangulation,C. Vells,0.95,Deepest basin. Highest positive curvature.
LC-0006,0.65,0.6,0.85,Five-Body Isolation Zone,BA-005,1.0,0.77,0.896,0.643,mixed,0.53,0.33,0.48,boundary_zone,918,form_triangulation,C. Vells,0.89,Narrow isthmus connecting isolated basin. Mixed curvature.
LC-0007,-0.8,-0.8,-0.8,Near 047,BA-047,-1.304,-0.752,-0.242,-1.262,hyperbolic,0.81,-0.2,0,unknown,927,form_triangulation,T. Vells,0.88,Dens correlation suggests boundary thinning.
LC-0008,-0.8,-0.8,-0.4,Between 047 and 031,BA-047,-0.252,-0.373,-0.338,-0.407,mixed,0.62,-0.06,0,boundary_zone,927,geodesic_deviation,C. Vells,0.83,Adjacent to ridge RG-014.
LC-0009,-0.8,-0.8,0.8,Ridge Point 166,BA-049,-1.69,-1.103,-1.029,-1.176,hyperbolic,0.93,-0.52,0,unknown,919,geodesic_deviation,K. Strand,0.9,
LC-0010,-0.8,-0.6,-0.8,Near 040,BA-040,-2.318,-1.262,-1.165,-1.359,hyperbolic,0.98,-0.62,-0.27,unknown,927,parallel_transport,K. Strand,0.74,Dens correlation suggests boundary thinning.
