inheritance_id,source_type,source_id,source_pattern,recipient_type,recipient_id,recipient_prior_pattern,inheritance_mechanism,inheritance_year,inheritance_duration_days,inheritance_fidelity,pattern_modifications,dominant_features_preserved,dens_proximity_km,population_contact,prime_day_event,reinforcement_available,outcome,persistence_after_transfer,koss_documented,form_inheritance_ref,documenter,documentation_method,confidence,description,notes
MI-0001,collective,,operational knowledge,new_entity,,spatial configuration,proximity,892,176,0.506,detail_loss,True,15.6,False,False,False,partial_transfer,fading,False,,M. Tall,direct_observation,0.51,Memory inheritance from collective to new_entity via proximity.,
MI-0002,experimental_transfer,SRC-434,behavioral pattern,regenerating_tissue,,,deliberate_transfer,922,161,0.904,none,True,162.7,True,False,False,successful_transfer,stable,True,,C. Vells,generational_tracking,0.5,Memory inheritance from experimental_transfer to regenerating_tissue via deliberate_transfer.,
MI-0003,experimental_transfer,,spatial configuration,new_entity,RCP-889,memory trace,deliberate_transfer,925,175,0.293,,False,19.6,False,False,True,failed_transfer,fading,True,,Independent Observer,pattern_comparison,0.5,Memory inheritance from experimental_transfer to new_entity via deliberate_transfer.,
MI-0004,collective,SRC-848,behavioral pattern,nearby_creature,,,form_library_access,926,302,0.491,"behavioral_drift,form_stable",False,30.4,False,False,False,modified_transfer,lost,False,,K. Strand,pattern_comparison,0.74,Memory inheritance from collective to nearby_creature via form_library_access.,
MI-0005,experimental_transfer,,memory trace,collective_member,,,deliberate_transfer,894,230,0.632,selective_inheritance,True,67.2,True,False,False,partial_transfer,fading,True,FI-0334,S. Moll,generational_tracking,0.8,Memory inheritance from experimental_transfer to collective_member via deliberate_transfer.,
MI-0006,location,,memory trace,regenerating_tissue,,,deliberate_transfer,881,256,0.234,pattern_simplification,False,1.9,True,False,False,modified_transfer,fading,False,,Boundary Commission,historical_reconstruction,0.8,Memory inheritance from location to regenerating_tissue via deliberate_transfer.,
MI-0007,collective,SRC-436,collective identity,nearby_creature,,,form_library_access,881,50,1.0,none,True,132.6,True,True,True,successful_transfer,permanent,True,FI-0384,Boundary Commission,generational_tracking,0.8,Memory inheritance from collective to nearby_creature via form_library_access.,
MI-0008,form_library,SRC-224,behavioral pattern,regenerating_tissue,,behavioral pattern,deliberate_transfer,884,138,1.0,none,True,181.3,True,False,True,successful_transfer,permanent,True,,M. Tall,experimental_verification,0.65,Memory inheritance from form_library to regenerating_tissue via deliberate_transfer.,
MI-0009,location,,collective identity,nearby_creature,,physical form,unknown,890,74,0.572,selective_inheritance,True,25.3,False,False,True,partial_transfer,fading,False,,Independent Observer,generational_tracking,0.73,Memory inheritance from location to nearby_creature via unknown.,
MI-0010,form_library,SRC-752,spatial configuration,nearby_creature,RCP-700,,form_library_access,884,116,0.666,none,True,198.2,False,False,True,successful_transfer,stable,False,,R. Voss,historical_reconstruction,0.85,Memory inheritance from form_library to nearby_creature via form_library_access.,
