failure_id,trajectory_id,intended_form_id,intended_form_name,intended_basin_id,failure_location_x,failure_location_y,failure_location_z,failure_basin_id,failure_type,severity,proximate_cause,contributing_factors,distance_from_target,distance_traveled,progress_percentage,final_state,recovery_attempted,recovery_successful,failure_year,documenter,documentation_source,confidence,description,lessons_learned,notes
NF-0001,NT-0263,MS-0004,The Tension,BA-003,-0.0209,0.1743,-0.3328,inter-basin,wrong_attractor,0.534,insufficient_energy,low_stability,0.8016,1.9818,89.0,recovered,True,False,932,Boundary Commission,historical_inference,0.896,Trajectory terminated in recovered state after wrong_attractor event.,,
NF-0002,NT-0275,MS-0025,Form 0025,BA-028,0.205,0.4754,-0.8943,BA-033,local_minimum,0.592,dens_proximity,,1.2111,2.2012,41.6,absorbed,False,,921,R. Voss,direct_observation,0.935,Trajectory terminated in absorbed state after local_minimum event.,Highlights the danger of dens_proximity in navigation.,
NF-0003,,MS-0082,Form 0082,BA-043,-0.9297,-0.6633,-0.414,BA-035,local_minimum,0.344,weak_attractor_signal,,1.0645,1.3432,30.9,alternative_arrival,False,,921,C. Vells,form_examination,0.773,Trajectory terminated in alternative_arrival state after local_minimum event.,Indicates boundary interference is more common near BA-035.,
NF-0004,,,,,0.1278,0.9929,-0.8823,BA-038,exhaustion,0.869,competing_attractors,"prior_damage,low_stability",,0.6849,,dissolved,False,,922,C. Vells,direct_observation,0.801,Navigation failure of type 'exhaustion' observed at BA-038.,,
NF-0005,,MS-0019,Form 0019,BA-021,0.2112,0.7443,-0.848,BA-046,dissolution,0.705,dens_proximity,,0.6223,0.8553,36.7,stuck,True,True,919,K. Strand,aftermath_study,0.534,Navigation failure of type 'dissolution' observed at BA-046.,Demonstrates importance of energy reserves for long trajectories.,
NF-0006,,MS-0044,Form 0044,BA-020,-0.1398,0.0859,-0.7814,BA-014,wandering,0.651,navigation_error,"prior_damage,low_stability",0.3182,2.8617,60.9,stuck,True,False,928,Archive Survey Team,historical_inference,0.758,Trajectory terminated in stuck state after wandering event.,Demonstrates importance of energy reserves for long trajectories.,
NF-0007,,,,,-0.251,-0.8222,-0.2469,BA-022,local_minimum,0.371,unknown,low_stability,,0.1628,,alternative_arrival,True,False,925,Archive Survey Team,direct_observation,0.53,Navigation failure of type 'local_minimum' observed at BA-022.,Highlights the danger of unknown in navigation.,
NF-0008,NT-0044,,,,-0.7544,0.8037,-0.4932,BA-021,wrong_attractor,0.559,weak_attractor_signal,,,0.5363,,stuck,True,False,925,Archive Survey Team,form_examination,0.796,Navigation failure of type 'wrong_attractor' observed at BA-021.,,
NF-0009,NT-0345,,,,0.651,-0.9929,-0.9458,BA-030,wandering,0.499,substrate_damage,"prior_damage,environmental_noise",,2.5222,,absorbed,False,,927,K. Strand,trajectory_analysis,0.677,System failed to reach intended destination due to substrate_damage.,Highlights the danger of substrate_damage in navigation.,
NF-0010,,MS-0034,Form 0034,BA-049,-0.2706,0.8554,-0.6084,inter-basin,exhaustion,0.933,competing_attractors,low_stability,0.9243,1.5162,68.2,recovered,True,False,921,R. Voss,direct_observation,0.715,Trajectory terminated in recovered state after exhaustion event.,Demonstrates importance of energy reserves for long trajectories.,
NF-0011,,MS-0050,Form 0050,BA-016,0.5537,0.4054,0.8509,inter-basin,local_minimum,0.504,competing_attractors,low_stability,1.9849,0.3643,2.8,alternative_arrival,False,,932,R. Voss,aftermath_study,0.635,System failed to reach intended destination due to competing_attractors.,Demonstrates importance of energy reserves for long trajectories.,
NF-0012,,,,,-0.418,0.1903,-0.4213,BA-046,wandering,0.587,dens_proximity,prior_damage,,2.9031,,absorbed,True,True,930,R. Voss,historical_inference,0.888,Navigation failure of type 'wandering' observed at BA-046.,Demonstrates importance of energy reserves for long trajectories.,
NF-0013,NT-0479,,,,-0.312,-0.0365,-0.9833,BA-019,wandering,0.701,insufficient_energy,weak_signal,,0.4055,,ongoing_drift,True,False,926,Boundary Commission,aftermath_study,0.552,Navigation failure of type 'wandering' observed at BA-019.,Suggests need for stronger attractor signals in this region.,
NF-0014,NT-0405,MS-0026,Form 0026,BA-024,-0.318,-0.5492,0.5943,BA-025,wrong_attractor,0.382,navigation_error,prior_damage,1.284,2.3283,83.4,stuck,True,False,926,Archive Survey Team,trajectory_analysis,0.727,System failed to reach intended destination due to navigation_error.,Suggests need for stronger attractor signals in this region.,
NF-0015,,,,,0.6032,-0.7621,0.3164,BA-022,wrong_attractor,0.397,insufficient_energy,,,2.2192,,ongoing_drift,True,False,920,Archive Survey Team,form_examination,0.639,Trajectory terminated in ongoing_drift state after wrong_attractor event.,Demonstrates importance of energy reserves for long trajectories.,
NF-0016,,MS-0032,Form 0032,BA-024,0.908,-0.6965,0.7012,BA-045,infinite_loop,0.471,weak_attractor_signal,prior_damage,1.3791,1.6327,47.5,stuck,True,True,924,C. Vells,form_examination,0.514,Navigation failure of type 'infinite_loop' observed at BA-045.,Demonstrates importance of energy reserves for long trajectories.,
NF-0017,,MS-0083,Form 0083,BA-015,0.8006,-0.0174,0.8003,BA-041,ridge_block,0.725,navigation_error,low_stability,0.9026,2.3991,59.3,recovered,False,,931,Boundary Commission,form_examination,0.908,Navigation failure of type 'ridge_block' observed at BA-041.,Suggests need for stronger attractor signals in this region.,
NF-0018,NT-0260,MS-0092,Form 0092,BA-003,-0.7851,0.5344,0.3194,BA-032,local_minimum,0.566,navigation_error,environmental_noise,0.1471,1.0528,70.1,alternative_arrival,False,,927,K. Strand,trajectory_analysis,0.51,Trajectory terminated in alternative_arrival state after local_minimum event.,Indicates boundary interference is more common near BA-032.,
NF-0019,NT-0089,MS-0002,The Binary Division,BA-002,0.2862,0.9077,-0.3068,BA-047,interference,0.418,navigation_error,weak_signal,0.7612,0.7634,34.4,dissolved,False,,918,R. Voss,form_examination,0.696,System failed to reach intended destination due to navigation_error.,Highlights the danger of navigation_error in navigation.,
NF-0020,NT-0237,MS-0069,Form 0069,BA-037,0.7793,-0.2662,0.2889,BA-001,exhaustion,0.998,weak_attractor_signal,"prior_damage,environmental_noise",0.5614,1.166,48.2,recovered,True,False,922,Boundary Commission,trajectory_analysis,0.616,Navigation failure of type 'exhaustion' observed at BA-001.,Indicates boundary interference is more common near BA-001.,
NF-0021,NT-0233,MS-0096,Form 0096,BA-040,0.5692,-0.2895,0.4815,BA-022,wrong_attractor,0.327,competing_attractors,low_stability,0.4956,1.2793,2.4,ongoing_drift,True,True,925,K. Strand,historical_inference,0.947,System failed to reach intended destination due to competing_attractors.,Suggests need for stronger attractor signals in this region.,
NF-0022,NT-0358,,,,0.5963,0.1896,0.1408,inter-basin,wandering,0.523,unknown,,,1.6355,,alternative_arrival,False,,920,R. Voss,aftermath_study,0.659,System failed to reach intended destination due to unknown.,Demonstrates importance of energy reserves for long trajectories.,
NF-0023,NT-0494,MS-0061,Form 0061,BA-027,-0.5261,-0.8683,0.961,BA-014,wrong_attractor,0.35,navigation_error,"environmental_noise,weak_signal",1.5525,2.3863,9.6,recovered,False,,919,K. Strand,trajectory_analysis,0.934,System failed to reach intended destination due to navigation_error.,Demonstrates importance of energy reserves for long trajectories.,
