case_id,case_name,entity_type,intended_destination,navigation_mode,pathology_type,severity,trajectory_length,trajectory_duration_days,efficiency_ratio,deviation_from_path,primary_cause,secondary_cause,dens_proximity_km,boundary_instability,earliest_symptom,symptom_progression,awareness_of_problem,outcome,days_to_resolution,casualties,intervention_attempted,intervention_type,intervention_success,location,region,observation_year,observer,voss_classification,confidence,lessons_learned,cross_reference,notes
NP-0001,Signal Blindness 739,expedition,Capital,landmark_navigation,endless_wandering,moderate,393.7,3489,4.95,41.3,competing_attractors,landscape_distortion,190.0,4.7,oscillation,gradual_worsening,fully_aware,eventual_arrival,184,1,True,signal_amplification,successful,Scholar's Quarter,Capital,930,Trapper Guild Records,Class_B_trajectory,0.96,Multiple attractors require explicit choice,,
NP-0002,Resonance Lock Case 809,colony,Dens boundary observation post,attractor_tracking,navigation_paralysis,severe,2.6,261,21.12,1.0,ghost_interference,,397.8,2.2,signal_loss,gradual_worsening,unaware,returned_origin,752,0,True,rescue,partial,Isolation community,Northo,911,R. Voss,unclassified,0.53,Navigation mode should match conditions,,
NP-0003,Resonance Lock Case 492,expedition,Attractor Basin 55,random_walk,false_arrival,moderate,315.1,770,36.11,105.1,horizon_shrinkage,ghost_interference,10.6,9.5,signal_loss,stable,unaware,dissolution,179,1,True,barrier_stabilization,failed,Western approach,Dens boundary,927,Expedition Records,Class_C_attractor,0.88,Dens proximity increases signal noise,HS-0004,
NP-0004,Landmark Confusion 437,individual,Settlement 48,path_following,trajectory_loop,moderate,282.4,250,1.93,135.2,boundary_interference,substrate_damage,0.6,9.0,course_deviation,oscillating,fully_aware,eventual_arrival,286,2,True,resonance_recalibration,successful,Dissolution zone,Dens,920,K. Vorn,Class_B_trajectory,0.67,Horizon shrinkage prevents distant attractor perception,,
NP-0005,Wanderer's Circuit 630,institution,Archive,unknown,endless_wandering,moderate,599.7,3521,870.7,388.9,resonance_mismatch,,174.1,4.9,signal_loss,sudden_onset,unaware,lost_indefinitely,8286,3,True,resonance_recalibration,harmful,Capital proper,Capital,900,Trapper Guild Records,Class_B_trajectory,0.66,Dens proximity increases signal noise,,
NP-0006,Navigation Paralysis 621,colony,Dens boundary observation post,attractor_tracking,trajectory_loop,minor,314.5,328,44.25,203.3,signal_noise,competing_attractors,10.6,8.8,paralysis,oscillating,partially_aware,death,974,8,False,none,not_attempted,Southern perimeter,Dens boundary,930,Trapper Guild Records,Class_B_trajectory,0.99,Ghost patterns can create false landmarks,,
NP-0007,Endless Loop 695,individual,Capital,path_following,resonance_lock,minor,63.5,255,37.81,11.2,signal_noise,resonance_mismatch,20.8,9.8,oscillation,oscillating,uncertain,lost_indefinitely,6108,0,True,rescue,partial,Sector SW-6,Dens boundary,919,Navigation Study Group,Class_D_resonance,0.95,Multiple attractors require explicit choice,,
NP-0008,Wanderer's Circuit 715,creature,Yeller Quarry,resonance_seeking,navigation_paralysis,minor,0.8,353,2.9,0.5,boundary_interference,,8.0,9.5,disorientation,stable,fully_aware,eventual_arrival,246,2,False,none,not_attempted,Eastern fluctuation zone,Dens boundary,920,K. Vorn,unclassified,0.54,Multiple attractors require explicit choice,,
NP-0009,Wrong Destination 878,individual,Archive,random_walk,attractor_switching,moderate,426.9,296,4.71,256.2,observer_effect,,196.9,0.8,paralysis,stable,fully_aware,eventual_arrival,292,2,False,none,not_attempted,Capital proper,Capital,912,Navigation Study Group,unclassified,0.87,Navigation mode should match conditions,,
NP-0010,Resonance Lock Case 791,institution,Northo monastery,resonance_seeking,gradient_blindness,severe,83.7,937,35.43,64.2,competing_attractors,landscape_distortion,25.7,7.3,oscillation,oscillating,partially_aware,trapped_basin,972,0,False,none,not_attempted,Sector SW-6,Dens boundary,892,Expedition Records,Class_A_signal,0.82,Multiple attractors require explicit choice,,
NP-0011,Navigation Paralysis 24,individual,Capital,unknown,trajectory_loop,moderate,479.2,432,1.55,203.3,ghost_interference,horizon_shrinkage,21.2,8.8,oscillation,oscillating,partially_aware,eventual_arrival,330,2,True,barrier_stabilization,successful,Southern perimeter,Dens boundary,925,C. Vells,Class_B_trajectory,0.65,Ghost patterns can create false landmarks,,
NP-0012,Basin Trap 62,individual,Yeller Quarry,path_following,navigation_paralysis,severe,2.7,103,10.63,1.3,horizon_shrinkage,,136.4,1.9,signal_loss,gradual_worsening,partially_aware,trapped_basin,226,2,True,guidance,harmful,Trapper territory,Yeller Quarry,917,Expedition Records,unclassified,0.97,Dens proximity increases signal noise,HS-0102,
NP-0013,Expedition 638 Lost,colony,Capital,path_following,trajectory_loop,moderate,227.0,18,38.23,118.9,boundary_interference,,206.5,0.9,oscillation,sudden_onset,uncertain,lost_indefinitely,9918,2,False,none,not_attempted,Isolation community,Northo,936,R. Voss,Class_B_trajectory,0.98,Early intervention improves outcomes,,
NP-0014,Basin Trap 785,individual,Dens boundary observation post,landmark_navigation,gradient_blindness,moderate,97.7,598,7.37,16.2,resonance_mismatch,horizon_shrinkage,22.1,6.7,disorientation,sudden_onset,partially_aware,returned_origin,276,1,True,barrier_stabilization,partial,Eastern fluctuation zone,Dens boundary,894,Trapper Guild Records,Class_A_signal,0.62,Dens proximity increases signal noise,,
NP-0015,Wrong Destination 84,individual,Attractor Basin 52,landmark_navigation,attractor_switching,moderate,129.0,660,28.8,65.9,resonance_mismatch,,2.5,7.7,paralysis,recovery,uncertain,wrong_arrival,596,3,True,guidance,partial,Dissolution zone,Dens,909,Trapper Guild Records,unclassified,0.57,Dens proximity increases signal noise,,
NP-0016,Expedition 676 Lost,creature,Northo monastery,attractor_tracking,navigation_paralysis,severe,1.5,71,4.92,0.4,substrate_damage,signal_noise,108.7,1.2,oscillation,gradual_worsening,unaware,eventual_arrival,274,0,False,none,not_attempted,Tower base,Tower of Mirado,900,R. Voss,unclassified,0.67,Early intervention improves outcomes,,
NP-0017,Wanderer's Circuit 529,creature,Settlement 34,landmark_navigation,navigation_paralysis,moderate,1.3,96,48.24,0.9,substrate_damage,,19.8,9.7,signal_loss,sudden_onset,fully_aware,rescued,280,1,True,barrier_stabilization,successful,Sector NE-4,Dens boundary,929,K. Vorn,unclassified,0.99,Multiple attractors require explicit choice,,
NP-0018,Trajectory Dissolution 285,creature,Capital,gradient_following,endless_wandering,moderate,946.3,464,540.99,457.7,observer_effect,competing_attractors,80.9,2.5,backtracking,stable,fully_aware,lost_indefinitely,4837,0,False,none,not_attempted,Northern workings,Yeller Quarry,912,R. Voss,Class_B_trajectory,0.62,Horizon shrinkage prevents distant attractor perception,,
