measurement_id,entity_type,entity_id,entity_name,target_form_id,target_basin_id,origin_type,navigation_velocity,peak_velocity,initial_velocity,final_velocity,total_duration,acceleration_phase_days,cruise_phase_days,deceleration_phase_days,efficiency_score,comparison_to_average,comparison_to_geodesic,navigation_experience,attractor_strength,path_difficulty,environmental_conditions,measurement_year,measurer,measurement_method,confidence,notes
NS-0001,structure,EN-444,Structure emergence,MS-0088,BA-017,disrupted_state,0.0963,0.1522,0.0585,0.0229,169,35,118,16,0.649,0.956,1.541,experienced,1.618,0.593,challenging,922,C. Vells,retrospective_calculation,0.705,Structure navigation to Form 0088. Experience: experienced.
NS-0002,creature,,Reed-spinner,MS-0020,BA-015,induced_start,0.0946,0.1681,0.0464,0.0314,97,22,63,12,0.91,0.86,1.099,inherited_knowledge,0.6,0.146,normal,927,Archive Survey Team,retrospective_calculation,0.565,Creature navigation to Form 0020. Experience: inherited_knowledge.
NS-0003,creature,,Reed-spinner,MS-0091,BA-010,disrupted_state,0.1159,0.1848,0.0871,0.0341,75,16,50,9,1.0,1.364,1.0,expert,0.752,1.0,challenging,923,T. Vells,form_transition_timing,0.801,Creature navigation to Form 0091. Experience: expert.
NS-0004,behavior_pattern,EN-386,Quintic manifestation,MS-0061,BA-046,genesis,0.049,0.0746,0.0343,0.0069,197,24,155,18,0.802,1.102,1.247,inherited_knowledge,0.984,1.0,challenging,918,Archive Survey Team,retrospective_calculation,0.686,Behavior_Pattern navigation to Form 0061. Experience: inherited_knowledge.
NS-0005,creature,EN-480,Stakdur specimen,MS-0082,BA-035,prior_form,0.1357,0.1984,0.0552,0.0501,56,12,41,3,1.0,0.832,1.0,expert,0.882,0.531,optimal,925,Archive Survey Team,waypoint_timing,0.991,Creature navigation to Form 0082. Experience: expert.
NS-0006,structure,,Structure emergence,MS-0089,BA-009,induced_start,0.0427,0.0583,0.0157,0.0043,163,22,123,18,0.816,0.785,1.226,expert,0.471,1.0,challenging,923,T. Vells,waypoint_timing,0.826,Structure navigation to Form 0089. Experience: expert.
NS-0007,structure,,Crystallization,MS-0077,BA-008,genesis,0.0445,0.081,0.018,0.0138,179,25,135,19,1.0,1.189,1.0,inherited_knowledge,1.205,0.539,hostile,922,Archive Survey Team,continuous_tracking,0.71,Structure navigation to Form 0077. Experience: inherited_knowledge.
NS-0008,creature,EN-369,Reed-spinner,MS-0093,BA-012,induced_start,0.0587,0.0921,0.0299,0.0096,324,68,231,25,0.865,0.739,1.156,experienced,0.61,0.538,challenging,919,C. Vells,form_transition_timing,0.938,Creature navigation to Form 0093. Experience: experienced.
NS-0009,phenomenon,EN-005,Weather pattern,MS-0059,BA-017,genesis,0.1105,0.1745,0.0711,0.0456,52,12,36,4,0.933,1.392,1.072,experienced,1.618,0.458,normal,930,R. Voss,retrospective_calculation,0.753,Phenomenon navigation to Form 0059. Experience: experienced.
NS-0010,behavior_pattern,,Quintic manifestation,MS-0012,BA-023,genesis,0.0676,0.1274,0.05,0.0195,236,57,149,30,0.69,0.797,1.45,first_time,1.218,0.13,normal,919,C. Vells,form_transition_timing,0.971,Behavior_Pattern navigation to Form 0012. Experience: first_time.
NS-0011,collective,,Flock navigation,MS-0001,BA-001,genesis,0.0891,0.1337,0.0373,0.0321,209,35,145,29,0.918,1.25,1.089,inherited_knowledge,1.8,0.633,normal,926,R. Voss,form_transition_timing,0.705,Collective navigation to The Quintic Cycle. Experience: inherited_knowledge.
NS-0012,creature,EN-264,Digger colony,MS-0034,BA-030,genesis,0.0399,0.0789,0.0297,0.013,205,30,145,30,0.769,0.861,1.301,inherited_knowledge,1.732,0.576,hostile,923,Archive Survey Team,waypoint_timing,0.833,Creature navigation to Form 0034. Experience: inherited_knowledge.
NS-0013,phenomenon,EN-309,Oscillation cycle,MS-0089,BA-009,disrupted_state,0.0203,0.0362,0.0137,0.0039,365,66,269,30,0.822,1.035,1.217,first_time,0.471,0.615,hostile,918,Archive Survey Team,continuous_tracking,0.523,Phenomenon navigation to Form 0089. Experience: first_time.
NS-0014,phenomenon,EN-452,Dissolution event,MS-0017,BA-001,genesis,0.0429,0.0759,0.0291,0.0062,221,34,172,15,0.708,0.918,1.413,first_time,1.8,0.392,normal,931,C. Vells,continuous_tracking,0.836,Phenomenon navigation to Form 0017. Experience: first_time.
NS-0015,structure,,Formation growth,MS-0095,BA-008,induced_start,0.0486,0.0835,0.0302,0.0177,330,56,234,40,0.602,0.488,1.661,experienced,1.205,0.466,hostile,929,Archive Survey Team,retrospective_calculation,0.714,Structure navigation to Form 0095. Experience: experienced.
NS-0016,collective,EN-493,Colony shift,MS-0050,BA-001,prior_form,0.0197,0.0385,0.0156,0.002,365,85,230,50,0.524,0.469,1.907,first_time,1.8,0.947,hostile,926,T. Vells,waypoint_timing,0.767,Collective navigation to Form 0050. Experience: first_time.
