trajectory_id,trajectory_name,origin_form_id,origin_form_name,destination_form_id,destination_form_name,origin_basin_id,destination_basin_id,trajectory_type,total_distance,geodesic_distance,efficiency,duration_days,waypoint_count,waypoint_ids,basin_crossings,ridge_crossings,directness,confidence_at_origin,arrival_accuracy,outcome,entity_type,entity_id,first_documented,documenter,documentation_method,confidence,notes
NT-0001,Form 0072 Trajectory 66,MS-0032,Form 0032,MS-0072,Form 0072,BA-038,BA-038,regenerative,0.0188,0.01,0.533,1,6,"MS-0087,MS-0045,MS-0084,MS-0063,MS-0045,MS-0097",0,1,0.464,0.267,0.0988,ongoing,creature,EN-185,921,T. Vells,retrospective_inference,0.647,System showed regenerative navigation pattern.
NT-0002,Path to Form 0074,,,MS-0074,Form 0074,,BA-004,developmental,0.9643,0.9122,0.946,79,1,MS-0074,4,1,1.0,0.8,0.0,successful_arrival,creature,EN-411,931,T. Vells,direct_observation,0.759,4 basin boundaries crossed during navigation.
NT-0003,Path to Form 0048,MS-0097,Form 0097,MS-0048,Form 0048,BA-025,BA-023,learned,2.4034,0.5598,0.233,235,1,MS-0100,1,2,0.275,0.403,0.2689,lost,structure,,925,T. Vells,retrospective_inference,0.568,1 basin boundaries crossed during navigation.
NT-0004,Form 0042 Trajectory 83,MS-0022,Form 0022,MS-0042,Form 0042,BA-005,BA-032,exploratory,2.0564,1.6056,0.781,231,3,"MS-0042,MS-0045,MS-0088",4,2,0.908,0.58,0.0,successful_arrival,behavior_pattern,,930,R. Voss,direct_observation,0.816,System showed exploratory navigation pattern.
NT-0005,Journey 844,MS-0021,Form 0021,MS-0093,Form 0093,BA-013,BA-007,instinctive,3.0,1.7881,0.385,346,0,,4,1,0.368,0.8,0.4999,lost,phenomenon,,927,K. Strand,retrospective_inference,0.783,System showed instinctive navigation pattern.
NT-0006,Path to Form 0061,MS-0021,Form 0021,MS-0061,Form 0061,BA-013,BA-007,instinctive,3.0,1.7881,0.106,345,1,MS-0005,4,2,0.1,0.8,0.3598,lost,behavior_pattern,,919,Archive Survey Team,direct_observation,0.821,Passed through 1 intermediate forms.
NT-0007,Winding Form 0094 Approach,,,MS-0094,Form 0094,,BA-002,developmental,0.1995,0.1924,0.964,58,2,"MS-0024,MS-0033",4,0,0.796,0.8,0.0,successful_arrival,creature,EN-157,932,Boundary Commission,experimental_induction,0.646,Passed through 2 intermediate forms.
NT-0008,Path to Form 0008,MS-0096,Form 0096,MS-0008,Form 0008,BA-038,BA-036,developmental,1.3283,1.2042,0.907,162,1,MS-0011,3,2,0.906,0.8,0.0,successful_arrival,behavior_pattern,EN-272,927,C. Vells,direct_observation,0.761,Observed by C. Vells in Year 927.
NT-0009,Form 0037 Trajectory 97,MS-0025,Form 0025,MS-0037,Form 0037,BA-039,BA-005,learned,2.5637,1.719,0.671,286,3,"MS-0088,MS-0087,MS-0074",4,1,0.787,0.678,0.2041,adjacent_arrival,phenomenon,EN-447,925,C. Vells,direct_observation,0.776,Observed by C. Vells in Year 925.
NT-0010,Path to Form 0072,MS-0005,The Triad Form,MS-0072,Form 0072,BA-004,BA-038,developmental,0.4426,0.3275,0.74,75,1,MS-0040,4,0,0.773,0.8,0.0,successful_arrival,structure,,926,K. Strand,retrospective_inference,0.713,Trajectory documented over 75 days.
NT-0011,Smooth Descent to BA-023,MS-0097,Form 0097,MS-0048,Form 0048,BA-025,BA-023,developmental,0.8878,0.5598,0.631,101,2,"MS-0045,MS-0035",2,2,0.521,0.8,0.4321,adjacent_arrival,collective,,922,Western Archive Team,experimental_induction,0.551,System showed developmental navigation pattern.
NT-0012,Form 0094 Trajectory 2,MS-0015,Form 0015,MS-0094,Form 0094,BA-011,BA-002,forced,1.3711,1.1619,0.847,180,0,,1,2,1.0,0.684,0.0,successful_arrival,creature,EN-270,929,T. Vells,direct_observation,0.988,System showed forced navigation pattern.
NT-0013,Form 0049 Trajectory 5,,,MS-0049,Form 0049,,BA-045,developmental,1.6803,1.073,0.639,184,2,"MS-0049,MS-0078",1,0,0.533,0.8,0.2031,partial_arrival,creature,,926,Boundary Commission,direct_observation,0.764,Observed by Boundary Commission in Year 926.
NT-0014,Path to Form 0034,MS-0091,Form 0091,MS-0034,Form 0034,BA-026,BA-015,developmental,1.8251,1.3689,0.75,211,0,,3,4,0.627,0.8,0.0,successful_arrival,phenomenon,EN-266,931,T. Vells,experimental_induction,0.6,Passed through 0 intermediate forms.
NT-0015,Journey 601,MS-0056,Form 0056,MS-0050,Form 0050,BA-038,BA-030,developmental,3.0,1.6474,0.529,281,1,MS-0077,1,2,0.479,0.8,0.1362,trapped,creature,EN-218,921,R. Voss,form_tracking,0.878,1 basin boundaries crossed during navigation.
NT-0016,Form 0034 Trajectory 75,MS-0049,Form 0049,MS-0034,Form 0034,BA-045,BA-015,developmental,1.4813,1.0187,0.688,197,1,MS-0028,1,2,0.733,0.8,0.2561,partial_arrival,creature,,923,T. Vells,experimental_induction,0.68,System showed developmental navigation pattern.
NT-0017,Journey 940,MS-0054,Form 0054,MS-0025,Form 0025,BA-025,BA-039,developmental,0.7319,0.5642,0.771,88,1,MS-0078,3,0,0.617,0.8,0.0,successful_arrival,collective,,924,K. Strand,experimental_induction,0.854,Passed through 1 intermediate forms.
NT-0018,Form 0067 Trajectory 99,MS-0100,Form 0100,MS-0067,Form 0067,BA-017,BA-046,regenerative,0.5374,0.3074,0.572,86,0,,4,4,0.673,0.296,0.0654,adjacent_arrival,collective,,924,C. Vells,direct_observation,0.579,Efficiency: 0.57 of geodesic optimum.
NT-0019,Circuitous Form 0022 Approach,MS-0096,Form 0096,MS-0022,Form 0022,BA-038,BA-005,regenerative,0.8289,0.7956,0.96,129,5,"MS-0009,MS-0056,MS-0057,MS-0088,MS-0042",4,3,1.0,0.306,0.0,successful_arrival,creature,,929,Boundary Commission,direct_observation,0.96,System showed regenerative navigation pattern.
NT-0020,Form 0082 Trajectory 69,MS-0015,Form 0015,MS-0082,Form 0082,BA-011,BA-032,regenerative,3.0,1.6109,0.502,310,4,"MS-0091,MS-0100,MS-0039,MS-0012",2,3,0.519,0.275,0.2904,adjacent_arrival,creature,EN-486,919,C. Vells,direct_observation,0.879,
NT-0021,Circuitous Descent to BA-003,MS-0015,Form 0015,MS-0004,The Tension,BA-011,BA-003,forced,1.4082,1.2293,0.873,121,1,MS-0055,2,2,0.939,0.564,0.0,successful_arrival,behavior_pattern,,924,C. Vells,direct_observation,0.692,
NT-0022,Northern Descent to BA-038,MS-0026,Form 0026,MS-0028,Form 0028,BA-043,BA-038,developmental,1.3126,0.8485,0.646,180,3,"MS-0098,MS-0023,MS-0042",2,1,0.722,0.8,0.174,adjacent_arrival,collective,,930,Boundary Commission,direct_observation,0.71,Efficiency: 0.65 of geodesic optimum.
NT-0023,Form 0070 Trajectory 30,MS-0025,Form 0025,MS-0070,Form 0070,BA-039,BA-033,developmental,0.3501,0.3135,0.895,33,2,"MS-0079,MS-0016",3,3,0.841,0.8,0.0,successful_arrival,creature,EN-010,923,Western Archive Team,direct_observation,0.721,Efficiency: 0.90 of geodesic optimum.
NT-0024,Form 0087 Trajectory 65,,,MS-0087,Form 0087,,BA-004,developmental,0.5878,0.5316,0.904,99,0,,2,1,1.0,0.8,0.0,successful_arrival,creature,EN-130,919,Western Archive Team,form_tracking,0.958,Observed by Western Archive Team in Year 919.
NT-0025,Journey 906,MS-0094,Form 0094,MS-0096,Form 0096,BA-002,BA-038,regenerative,2.0343,1.186,0.583,244,5,"MS-0034,MS-0059,MS-0049,MS-0058,MS-0012",2,1,0.48,0.364,0.2897,ongoing,collective,,922,R. Voss,direct_observation,0.984,Observed by R. Voss in Year 922.
NT-0026,Journey 452,MS-0070,Form 0070,MS-0004,The Tension,BA-033,BA-003,regenerative,1.7347,1.5462,0.891,164,1,MS-0055,4,4,0.797,0.671,0.0,successful_arrival,creature,,931,Archive Survey Team,direct_observation,0.883,System showed regenerative navigation pattern.
NT-0027,Form 0078 Trajectory 47,MS-0015,Form 0015,MS-0078,Form 0078,BA-011,BA-022,developmental,0.6884,0.4389,0.638,106,2,"MS-0064,MS-0067",4,0,0.629,0.8,0.1327,partial_arrival,structure,EN-441,928,C. Vells,direct_observation,0.923,System showed developmental navigation pattern.
NT-0028,Eastern Descent to BA-050,,,MS-0009,Form 0009,,BA-050,developmental,1.7907,1.3468,0.752,189,4,"MS-0022,MS-0038,MS-0015,MS-0029",3,3,0.829,0.8,0.0,successful_arrival,creature,EN-151,928,C. Vells,direct_observation,0.902,Observed by C. Vells in Year 928.
