pathology_id,pathology_name,primary_cluster,secondary_clusters,category,subcategory,typical_onset,typical_progression,typical_duration,typical_severity,common_causes,risk_factors,protective_factors,dens_correlation,estimated_prevalence,documented_cases,geographic_distribution,cardinal_symptoms,early_warning_signs,diagnostic_criteria,differential_diagnosis,typical_outcomes,worst_case_outcome,mortality_risk,contagion_risk,treatment_exists,standard_treatment,treatment_efficacy,recovery_prognosis,primary_theorist,year_described,theoretical_framework,mechanism,understanding_level,related_pathologies,precursor_to,consequence_of,first_documented_case,key_references,confidence,last_updated,notes
PT-0001,Basin Collapse,landscape_topology,,structural,landscape topology,gradual,stable,variable,severe_to_catastrophic,"dens_proximity, boundary_instability, spatial_curvature","trauma_history, developmental_stage, high_stress","early_intervention, adequate_resources, skilled_healer",strong_positive,uncommon,190,clustered,"navigation_difficulty, path_loss, basin_trapping",mild_disorientation,"At least 2 of: navigation_difficulty, path_loss, basin_trapping","Navigation Paralysis, Attractor Switching Disorder, Constellation Dissolution",variable_often_serious,permanent_disability,moderate,low,True,"relocation, path_finding_assistance",limited,fair,Vornis Keth,858,Vornis Keth's framework for landscape topology,pattern_interference_loop,well_understood,"Basin Collapse (Variant 61), Saddle Point Instability, Morphospace Distortion",,,LA-0001,"Vorn Year 930, Vornis Keth Year 858",0.97,Year 931,
PT-0002,Ridge Dissolution,landscape_topology,,structural,landscape topology,gradual,progressive,acute,severe_to_catastrophic,"dens_proximity, boundary_instability, spatial_curvature","dens_proximity, weak_boundaries, isolation","high_integration, trust_maintenance, horizon_expansion",strong_positive,rare,5,clustered,"navigation_difficulty, path_loss, basin_trapping",trust_decline,"At least 2 of: navigation_difficulty, path_loss, basin_trapping","Entity Fragmentation, False Arrival Syndrome, Trajectory Loop Syndrome",variable_often_serious,death,moderate,none,True,"relocation, path_finding_assistance",limited,poor,Carten Vells,922,Carten Vells's framework for landscape topology,ingression_failure_cascade,well_understood,"Basin Inaccessibility, Morphospace Distortion, Basin Collapse (Variant 61)",,,LA-0001,"Vorn Year 930, Carten Vells Year 922",0.98,Year 931,
PT-0003,Saddle Point Instability,landscape_topology,,structural,landscape topology,developmental,relapsing,chronic,mild_to_moderate,"dens_proximity, boundary_instability, spatial_curvature","dens_proximity, weak_boundaries, isolation","early_intervention, adequate_resources, skilled_healer",strong_positive,uncommon,254,capital_region,"navigation_difficulty, path_loss, basin_trapping",horizon_narrowing,"At least 2 of: navigation_difficulty, path_loss, basin_trapping","Gradual Boundary Weakening, Sudden Boundary Collapse, Endless Wandering",variable_often_serious,complete_dissolution,moderate,none,False,,none,poor,Vornis Keth,855,Vornis Keth's framework for landscape topology,horizon_contraction_cycle,poorly_understood,"Basin Collapse, Basin Collapse (Variant 61), Basin Inaccessibility",,Navigation Paralysis,,"Vorn Year 930, Vornis Keth Year 855",0.76,Year 936,
PT-0004,Morphospace Distortion,landscape_topology,,structural,landscape topology,oscillating,self_limiting,subacute,variable,"dens_proximity, boundary_instability, spatial_curvature","boundary_instability, pattern_degradation, aging","early_intervention, adequate_resources, skilled_healer",strong_positive,common,248,uniform,"navigation_difficulty, path_loss, basin_trapping",occasional_foreign_thoughts,"At least 2 of: navigation_difficulty, path_loss, basin_trapping","Trajectory Loop Syndrome, Constellation Dissolution, Sudden Boundary Collapse",variable_from_recovery_to_chronic,permanent_disability,low,low,True,"relocation, path_finding_assistance",limited,fair,Carten Vells,920,Carten Vells's framework for landscape topology,signal_noise_accumulation,partially_understood,"Basin Inaccessibility, Ridge Dissolution, Basin Collapse (Variant 61)",,,,"Vorn Year 930, Carten Vells Year 920",0.65,Year 931,
PT-0005,Basin Inaccessibility,landscape_topology,,functional,landscape topology,triggered,relapsing,chronic,variable,"dens_proximity, boundary_instability, spatial_curvature","dens_proximity, weak_boundaries, isolation","strong_boundaries, social_support, distance_from_dens",strong_positive,uncommon,292,uniform,"navigation_difficulty, path_loss, basin_trapping",horizon_narrowing,"At least 2 of: navigation_difficulty, path_loss, basin_trapping","Gradual Boundary Weakening, Absorption Syndrome, False Arrival Syndrome",variable_often_serious,death,moderate,none,True,"relocation, path_finding_assistance",limited,fair,Rellen Voss,924,Rellen Voss's framework for landscape topology,boundary_degradation_cascade,poorly_understood,"Morphospace Distortion, Basin Collapse (Variant 61), Saddle Point Instability",,Trajectory Loop Syndrome,,"Vorn Year 930, Rellen Voss Year 924",0.69,Year 940,
PT-0006,Gradual Boundary Weakening,boundary_dynamics,,structural,boundary dynamics,gradual,self_limiting,variable,mild_to_moderate,"dens_proximity, trust_failure, ghost_contamination","federation_dysfunction, communication_breakdown, goal_conflict","early_intervention, adequate_resources, skilled_healer",strong_positive,very_common,147,capital_region,"identity_confusion, boundary_fluctuation, neighbor_blending",mild_disorientation,"At least 2 of: identity_confusion, boundary_fluctuation, neighbor_blending","Attractor Switching Disorder, Entity Fragmentation, Gradient Blindness",usually_recovery_or_stabilization,death,low,none,True,"boundary_reinforcement, isolation_then_reintegration",moderately_effective,excellent,Pemlik Tross,845,Pemlik Tross's framework for boundary dynamics,boundary_degradation_cascade,poorly_understood,"Sudden Boundary Collapse, Absorption Syndrome, Pathological Merger",,Resonance Lock,BO-0001,"Vorn Year 930, Pemlik Tross Year 845",0.77,Year 931,
PT-0007,Sudden Boundary Collapse,boundary_dynamics,,structural,boundary dynamics,sudden,relapsing,permanent,mild_to_moderate,"dens_proximity, trust_failure, ghost_contamination","boundary_instability, pattern_degradation, aging","high_integration, trust_maintenance, horizon_expansion",strong_positive,uncommon,167,dens_proximate,"identity_confusion, boundary_fluctuation, neighbor_blending",occasional_foreign_thoughts,"At least 2 of: identity_confusion, boundary_fluctuation, neighbor_blending","Trajectory Loop Syndrome, Morphospace Distortion, Resonance Lock",variable_often_serious,complete_dissolution,high,none,True,"boundary_reinforcement, isolation_then_reintegration",limited,poor,Kella Vorn,928,Kella Vorn's framework for boundary dynamics,pattern_interference_loop,poorly_understood,"Entity Fragmentation, Selective Permeability Failure, Pathological Merger",,,BO-0001,"Vorn Year 930, Kella Vorn Year 928",0.69,Year 931,
PT-0008,Selective Permeability Failure,boundary_dynamics,,functional,boundary dynamics,gradual,self_limiting,permanent,variable,"dens_proximity, trust_failure, ghost_contamination","trauma_history, developmental_stage, high_stress","early_intervention, adequate_resources, skilled_healer",moderate_positive,common,94,clustered,"identity_confusion, boundary_fluctuation, neighbor_blending",mild_disorientation,"At least 2 of: identity_confusion, boundary_fluctuation, neighbor_blending","Attractor Switching Disorder, Navigation Paralysis, Basin Escape Failure",variable_from_recovery_to_chronic,death,moderate,none,True,"boundary_reinforcement, isolation_then_reintegration",limited,good,Pemlik Tross,848,Pemlik Tross's framework for boundary dynamics,horizon_contraction_cycle,poorly_understood,"Gradual Boundary Weakening, Sudden Boundary Collapse, Pathological Merger",,Behavior Overlay,,"Vorn Year 930, Pemlik Tross Year 848",0.74,Year 931,
PT-0009,Pathological Merger,boundary_dynamics,,relational,boundary dynamics,gradual,relapsing,chronic,moderate_to_severe,"dens_proximity, trust_failure, ghost_contamination","trauma_history, developmental_stage, high_stress","early_intervention, adequate_resources, skilled_healer",strong_positive,uncommon,152,dens_proximate,"identity_confusion, boundary_fluctuation, neighbor_blending",navigation_hesitation,"At least 2 of: identity_confusion, boundary_fluctuation, neighbor_blending","Navigation Paralysis, Resonance Lock, Basin Collapse",variable_often_serious,entity_replacement,moderate,none,False,,none,very_poor,Kella Vorn,925,Kella Vorn's framework for boundary dynamics,boundary_degradation_cascade,poorly_understood,"Sudden Boundary Collapse, Absorption Syndrome, Entity Fragmentation",,,BO-0001,"Vorn Year 930, Kella Vorn Year 925",0.93,Year 932,
PT-0010,Entity Fragmentation,boundary_dynamics,,structural,boundary dynamics,oscillating,variable,acute,moderate_to_severe,"dens_proximity, trust_failure, ghost_contamination","dens_proximity, weak_boundaries, isolation","early_intervention, adequate_resources, skilled_healer",moderate_positive,rare,15,clustered,"identity_confusion, boundary_fluctuation, neighbor_blending",horizon_narrowing,"At least 2 of: identity_confusion, boundary_fluctuation, neighbor_blending","Morphospace Distortion, Saddle Point Instability, Attractor Switching Disorder",variable_often_serious,complete_dissolution,high,none,False,,none,poor,Kella Vorn,926,Kella Vorn's framework for boundary dynamics,signal_noise_accumulation,partially_understood,"Pathological Merger, Selective Permeability Failure, Gradual Boundary Weakening",Pathological Merger,Navigation Ghost Interference,BO-0001,"Vorn Year 930, Kella Vorn Year 926",0.98,Year 940,
