ridge_id,ridge_name,basin_a,basin_b,ridge_length,ridge_height_avg,ridge_height_max,crossing_difficulty,saddle_points,crossing_frequency,crossing_direction_bias,ridge_stability,drift_rate,first_documented,surveyor,confidence,notes
RG-001,Quintic-Northern Ridge,BA-001,BA-004,0.228,0.371,0.548,0.16,3,27,-0.19,0.72,0.0222,918,C. Vells,0.88,First identified by Vells in Year 918. Separates Quintic Basin from northern territory.
RG-002,Quintic-Tension Ridge,BA-001,BA-003,0.119,0.156,0.215,0.1,1,29,-0.02,0.92,0.0255,918,C. Vells,0.9,Separates Quintic Basin from Tension Basin. Contains SP-001.
RG-003,Binary-Quintic Divide,BA-002,BA-001,0.777,0.927,1.368,0.66,1,16,0.33,0.97,0.004,918,C. Vells,0.93,Major divide between the two deepest basins. Difficult crossing.
RG-004,Breathing Boundary,BA-015,BA-004,0.267,0.272,0.376,0.16,0,28,0.02,0.5,0.0424,918,C. Vells,0.8,Separates shallow Breathing Hollow from deeper basins. Dens-adjacent.
RG-005,Five-Body Isthmus,BA-005,BA-003,0.223,0.511,0.612,0.33,1,37,0.02,0.86,0.0313,918,C. Vells,0.88,Narrow connection to isolated Five-Body Basin. Rarely crossed.
RG-006,034 Escarpment,BA-009,BA-034,0.23,0.247,0.336,0.17,1,32,-0.46,0.67,0.0269,927,Morren Kast,0.85,Geodesic path GP-0228 crosses at lowest point.
RG-007,Southern Binary B Ridge,BA-002,BA-026,0.208,0.239,0.311,0.21,1,34,-0.09,0.73,0.0361,922,C. Vells,0.9,Crossing difficulty varies seasonally.
RG-008,Southern 007 Ridge,BA-007,BA-035,0.156,0.269,0.334,0.24,2,25,0.28,0.72,0.0318,925,K. Strand,0.55,Crossing difficulty varies seasonally.
RG-009,040 Escarpment,BA-015,BA-040,0.099,0.132,0.155,0.1,1,42,0.08,0.64,0.0359,926,Ridge Survey Team,0.75,Curvature measurements indicate complex local geometry.
RG-010,Binary B-033 Ridge,BA-002,BA-033,0.222,0.19,0.236,0.14,1,26,0.25,0.93,0.0131,922,Esseny Moll,0.65,Boundary Commission priority survey site.
RG-011,010-040 Ridge,BA-010,BA-040,0.241,0.381,0.528,0.18,1,45,0.21,0.87,0.0191,925,Ridge Survey Team,0.56,First mapped in Year 925.
RG-012,012-034 Ridge,BA-012,BA-034,0.393,0.309,0.36,0.23,0,38,-0.18,0.64,0.0334,928,Western Archive Team,0.94,First mapped in Year 928.
RG-013,Southern 014 Ridge,BA-014,BA-019,0.119,0.257,0.307,0.13,1,25,0.38,0.5,0.0398,927,Ridge Survey Team,0.91,Ridge position stable for observed period.
RG-014,The 021 Wall,BA-021,BA-026,0.288,0.364,0.404,0.33,1,36,0.34,0.77,0.0326,923,Senate Survey,0.93,Form transitions commonly observed here.
RG-015,Northern 041 Ridge,BA-026,BA-041,0.208,0.197,0.291,0.14,2,43,0.23,0.59,0.0355,926,Western Archive Team,0.64,Boundary Commission priority survey site.
RG-016,026-030 Ridge,BA-026,BA-030,0.304,0.209,0.288,0.21,0,35,0.04,0.79,0.0208,925,Senate Survey,0.83,Archive Survey Team comprehensive mapping Year 923.
RG-017,The Septenar-032 Divide,BA-006,BA-032,0.217,0.19,0.269,0.11,1,35,-0.18,0.95,0.0048,920,C. Vells,0.86,Crossing difficulty varies seasonally.
RG-018,049 Escarpment,BA-003,BA-049,0.27,0.159,0.212,0.1,1,42,0.16,0.64,0.0463,918,C. Vells,0.72,Historical records suggest previous position.
RG-019,Western Boundary,BA-011,BA-033,0.316,0.233,0.272,0.15,1,41,-0.31,0.93,0.0185,926,Senate Survey,0.75,Crossing difficulty varies seasonally.
RG-020,Binary B Boundary,BA-002,BA-041,0.344,0.465,0.61,0.35,0,40,0.44,0.9,0.0254,928,T. Vells,0.71,Boundary Commission priority survey site.
RG-021,The 028 Wall,BA-028,BA-050,0.318,0.372,0.525,0.18,2,39,0.23,0.84,0.0168,918,K. Strand,0.7,Geodesic path GP-0147 crosses at lowest point.
RG-022,019-047 Ridge,BA-019,BA-047,0.33,0.18,0.21,0.14,2,30,0.13,0.74,0.0262,921,K. Strand,0.74,Historical records suggest previous position.
RG-023,The 037-050 Divide,BA-037,BA-050,0.48,0.225,0.307,0.13,1,24,-0.1,0.54,0.0372,930,Esseny Moll,0.64,Historical records suggest previous position.
RG-024,007 Boundary,BA-007,BA-042,0.311,0.296,0.44,0.27,2,38,0.34,0.66,0.0375,930,Western Archive Team,0.91,Contains 2 documented saddle points.
RG-025,011-040 Ridge 93,BA-011,BA-040,0.118,0.212,0.304,0.11,0,33,-0.28,0.78,0.0263,921,Ridge Survey Team,0.56,First mapped in Year 921.
RG-026,028-047 Ridge 6,BA-028,BA-047,0.235,0.396,0.545,0.26,1,34,-0.3,0.89,0.0137,926,Senate Survey,0.65,Ridge position stable for observed period.
RG-027,The 013-046 Divide,BA-013,BA-046,0.189,0.155,0.215,0.1,1,28,-0.37,0.88,0.0195,922,T. Vells,0.76,Contains 1 documented saddle points.
RG-028,Binary B-032 Ridge 27,BA-002,BA-032,0.298,0.148,0.217,0.1,1,51,0.2,0.71,0.0345,926,Senate Survey,0.65,Geodesic path GP-0154 crosses at lowest point.
RG-029,The Triad Ba Wall,BA-004,BA-020,0.106,0.1,0.146,0.1,2,49,-0.01,0.91,0.009,925,C. Vells,0.66,Drift rate increasing since Year 925.
RG-030,The Breathin-048 Divide,BA-015,BA-048,0.192,0.243,0.346,0.1,1,41,0.14,0.86,0.0157,922,T. Vells,0.68,Drift rate increasing since Year 925.
RG-031,The Great Divide,BA-008,BA-024,0.145,0.3,0.423,0.23,1,35,0.18,0.97,0.0159,926,K. Strand,0.88,Geodesic path GP-0052 crosses at lowest point.
RG-032,007-017 Ridge 55,BA-007,BA-017,0.341,0.309,0.431,0.24,1,34,0.29,0.85,0.0217,927,T. Vells,0.56,Form transitions commonly observed here.
RG-033,017-035 Ridge,BA-017,BA-035,0.324,0.325,0.415,0.22,1,43,-0.1,0.78,0.0291,923,C. Vells,0.77,Contested boundary with adjacent ridge system.
RG-034,Binary B-043 Ridge 51,BA-002,BA-043,0.267,0.236,0.326,0.14,3,29,0.22,0.74,0.0364,927,T. Vells,0.88,Historical records suggest previous position.
RG-035,009 Escarpment,BA-002,BA-009,0.208,0.298,0.372,0.26,1,41,-0.16,0.59,0.0464,924,Esseny Moll,0.58,Contains 1 documented saddle points.
RG-036,The 040-044 Divide,BA-040,BA-044,0.281,0.216,0.238,0.1,2,45,0.35,0.66,0.0437,920,Western Archive Team,0.76,Historical records suggest previous position.
RG-037,Triad Ba-025 Ridge 20,BA-004,BA-025,0.116,0.114,0.131,0.1,1,39,-0.37,0.9,0.0231,919,Western Archive Team,0.86,Drift rate increasing since Year 925.
RG-038,The Five-Bod-035 Divide,BA-005,BA-035,0.087,0.116,0.132,0.1,1,34,-0.02,0.56,0.0502,926,Esseny Moll,0.69,Crossing difficulty varies seasonally.
RG-039,Northern 046 Ridge,BA-008,BA-046,0.271,0.28,0.399,0.1,2,38,-0.23,0.78,0.0232,926,K. Strand,0.6,First mapped in Year 926.
RG-040,021-023 Ridge 92,BA-021,BA-023,0.111,0.123,0.175,0.1,2,42,0.17,0.55,0.0415,924,Archive Survey Team,0.66,Contested boundary with adjacent ridge system.
RG-041,The 024-027 Divide,BA-024,BA-027,0.219,0.537,0.64,0.44,1,36,0.06,0.82,0.0271,922,Western Archive Team,0.64,First mapped in Year 922.
RG-042,Eastern Divide,BA-007,BA-049,0.185,0.326,0.446,0.25,3,44,0.15,0.72,0.0353,930,Archive Survey Team,0.8,Geodesic path GP-0120 crosses at lowest point.
RG-043,The Breathin Wall,BA-015,BA-046,0.294,0.341,0.453,0.27,1,42,-0.21,0.7,0.0357,929,Esseny Moll,0.83,Ridge position stable for observed period.
RG-044,Southern 025 Ridge,BA-025,BA-038,0.131,0.14,0.155,0.1,2,46,0.33,0.81,0.0311,929,T. Vells,0.95,Ridge position stable for observed period.
RG-045,020-038 Ridge 26,BA-020,BA-038,0.183,0.283,0.349,0.26,2,25,-0.1,0.69,0.0421,927,C. Vells,0.63,
RG-046,042-049 Ridge 98,BA-042,BA-049,0.216,0.229,0.332,0.1,2,37,0.07,0.87,0.0177,930,Ridge Survey Team,0.59,First mapped in Year 930.
RG-047,Northern 045 Ridge,BA-019,BA-045,0.239,0.16,0.182,0.1,2,39,0.18,0.91,0.0253,923,C. Vells,0.83,Drift rate increasing since Year 925.
RG-048,008-020 Ridge 86,BA-008,BA-020,0.29,0.327,0.431,0.21,1,46,-0.03,0.97,0.0171,925,Esseny Moll,0.74,Archive Survey Team comprehensive mapping Year 923.
RG-049,Southern 012 Ridge,BA-012,BA-050,0.206,0.146,0.165,0.14,2,42,0.08,0.61,0.032,925,T. Vells,0.88,Contains 2 documented saddle points.
RG-050,035-045 Ridge,BA-035,BA-045,0.337,0.448,0.578,0.34,1,25,-0.15,0.52,0.0442,918,Boundary Commission,0.92,Contested boundary with adjacent ridge system.
RG-051,The 030 Wall,BA-030,BA-031,0.116,0.128,0.172,0.12,1,50,0.13,0.82,0.0156,923,Ridge Survey Team,0.81,First mapped in Year 923.
RG-052,029-050 Ridge 67,BA-029,BA-050,0.385,0.245,0.307,0.16,1,46,-0.26,0.78,0.0229,929,Senate Survey,0.67,Ridge position stable for observed period.
RG-053,Northern 024 Ridge,BA-011,BA-024,0.174,0.129,0.143,0.1,0,42,-0.45,0.76,0.0344,927,Western Archive Team,0.86,Drift rate increasing since Year 925.
RG-054,The Septenar Wall,BA-006,BA-030,0.234,0.386,0.484,0.24,1,30,0.45,0.86,0.0202,929,T. Vells,0.89,Form transitions commonly observed here.
RG-055,The 028-029 Divide,BA-028,BA-029,0.302,0.311,0.441,0.28,1,20,0.27,0.98,0.0025,922,Boundary Commission,0.93,Contains 1 documented saddle points.
RG-056,011-020 Ridge 73,BA-011,BA-020,0.295,0.175,0.24,0.1,2,42,0.15,0.82,0.0166,925,Ridge Survey Team,0.95,Contested boundary with adjacent ridge system.
RG-057,027-031 Ridge 50,BA-027,BA-031,0.366,0.295,0.33,0.15,1,40,0.25,0.53,0.0442,922,Esseny Moll,0.84,Historical records suggest previous position.
RG-058,Tension -007 Ridge 36,BA-003,BA-007,0.172,0.249,0.307,0.18,2,33,0.04,0.77,0.0345,925,Boundary Commission,0.82,Ridge position stable for observed period.
RG-059,016 Escarpment,BA-011,BA-016,0.467,0.49,0.562,0.3,1,35,-0.27,0.98,0.0084,930,T. Vells,0.87,Crossing difficulty varies seasonally.
RG-060,Northern 039 Ridge,BA-033,BA-039,0.362,0.308,0.411,0.3,2,29,-0.49,0.86,0.0129,922,Ridge Survey Team,0.84,Crossing difficulty varies seasonally.
