relationship_id,entity_id,entity_name,neighbor_id,neighbor_name,sympathy_rank,sympathy_strength,distance_morphospace,sympathy_type,mutual,stability,edge_weight,contribution_to_cluster,first_documented,documenter,documentation_method,confidence,notes
SN-0001,MS-0001,The Quintic Cycle,MS-0130,Form 130,1,0.95,0.0534,structural,False,0.75,0.913,0.75,913,P. Tross,behavioral_observation,0.54,
SN-0002,MS-0001,The Quintic Cycle,EN-010,Cluster Alpha,2,0.94,0.0574,unknown,False,0.57,0.901,0.13,922,K. Strand,proximity_measurement,0.62,
SN-0003,MS-0001,The Quintic Cycle,MS-0147,Form 147,3,0.81,0.1884,historical,False,0.61,0.738,0.18,930,Constellation Survey,behavioral_observation,0.58,
SN-0004,MS-0002,The Binary Division,MS-0132,Form 132,1,0.88,0.1207,structural,False,0.87,0.864,0.53,1845,T. Vells,proximity_measurement,0.84,
SN-0005,MS-0002,The Binary Division,MS-0107,Form 107,2,0.8,0.2005,unknown,False,0.49,0.667,0.51,923,P. Tross,historical_inference,0.72,
SN-0006,MS-0002,The Binary Division,MS-0079,Form 79,3,0.78,0.2203,historical,True,0.56,0.743,0.42,926,P. Tross,historical_inference,0.81,
SN-0007,MS-0002,The Binary Division,EN-011,Cluster Beta,4,0.78,0.2211,unknown,False,0.57,0.744,0.44,915,P. Tross,historical_inference,0.68,
SN-0008,MS-0002,The Binary Division,MS-0053,Form 53,5,0.69,0.307,historical,False,0.66,0.667,0.72,923,P. Tross,trajectory_correlation,0.7,
SN-0009,MS-0003,The Breathing Mode,MS-0138,Form 138,1,0.91,0.0928,functional,True,0.6,0.782,0.78,1850,Constellation Survey,proximity_measurement,0.81,
SN-0010,MS-0003,The Breathing Mode,MS-0185,Form 185,2,0.82,0.182,historical,True,0.82,0.708,0.3,928,P. Tross,historical_inference,0.57,
SN-0011,MS-0003,The Breathing Mode,MS-0175,Form 175,3,0.76,0.2377,functional,True,0.73,0.744,0.31,917,Constellation Survey,classification_clustering,0.85,
SN-0012,MS-0004,The Tension,MS-0074,Form 74,1,0.87,0.1318,behavioral,False,0.78,0.744,0.29,926,T. Vells,historical_inference,0.78,
SN-0013,MS-0004,The Tension,MS-0078,Form 78,2,0.85,0.154,developmental,True,0.59,0.694,0.4,920,P. Tross,proximity_measurement,0.58,
SN-0014,MS-0004,The Tension,MS-0158,Form 158,3,0.83,0.175,structural,True,0.44,0.772,0.5,1847,P. Tross,historical_inference,0.78,
SN-0015,MS-0004,The Tension,MS-0001,The Quintic Cycle,4,0.77,0.2258,behavioral,True,0.78,0.645,0.33,923,T. Vells,classification_clustering,0.9,
SN-0016,MS-0004,The Tension,MS-0130,Form 130,5,0.77,0.2261,behavioral,False,0.8,0.756,0.3,1847,T. Vells,classification_clustering,0.82,
SN-0017,MS-0004,The Tension,MS-0154,Form 154,6,0.77,0.2336,unknown,True,0.86,0.685,0.14,1834,P. Tross,classification_clustering,0.72,
SN-0018,MS-0005,The Triad Form,MS-0128,Form 128,1,0.95,0.0469,structural,True,0.59,0.899,0.45,916,T. Vells,behavioral_observation,0.94,
SN-0019,MS-0005,The Triad Form,MS-0071,Form 71,2,0.86,0.1411,behavioral,True,0.48,0.689,0.28,920,T. Vells,proximity_measurement,0.8,
SN-0020,MS-0005,The Triad Form,MS-0035,Form 35,3,0.83,0.175,historical,True,0.54,0.819,0.2,917,P. Tross,proximity_measurement,0.68,
SN-0021,MS-0005,The Triad Form,MS-0168,Form 168,4,0.7,0.2965,structural,True,0.85,0.637,0.5,1831,P. Tross,trajectory_correlation,0.92,
SN-0022,MS-0005,The Triad Form,MS-0101,Form 101,5,0.67,0.3286,unknown,True,0.47,0.57,0.68,913,K. Strand,historical_inference,0.65,
SN-0023,MS-0006,The Septenary Rhythm,MS-0048,Form 48,1,0.89,0.1107,unknown,False,0.68,0.78,0.13,922,Constellation Survey,classification_clustering,0.69,
SN-0024,MS-0006,The Septenary Rhythm,MS-0050,Form 50,2,0.79,0.2052,structural,True,0.58,0.754,0.14,920,K. Strand,historical_inference,0.56,
SN-0025,MS-0006,The Septenary Rhythm,MS-0081,Form 81,3,0.76,0.2387,behavioral,False,0.45,0.624,0.75,923,P. Tross,proximity_measurement,0.69,
SN-0026,MS-0006,The Septenary Rhythm,MS-0055,Form 55,4,0.73,0.2713,developmental,True,0.57,0.725,0.79,1847,Archive Survey Team,trajectory_correlation,0.86,
SN-0027,MS-0006,The Septenary Rhythm,MS-0051,Form 51,5,0.71,0.2883,behavioral,True,0.59,0.706,0.18,920,P. Tross,trajectory_correlation,0.68,
