comparison_id,entity_a_type,entity_a_id,entity_a_scale,entity_a_temporal_days,entity_a_social,entity_b_type,entity_b_id,entity_b_scale,entity_b_temporal_days,entity_b_social,temporal_ratio,social_ratio,scale_difference,scale_temporal_correlation,anomaly_detected,anomaly_type,supports_strand_hierarchy,supports_anster_tame,comparison_year,same_location,same_time_measurement,comparison_purpose,documenter,confidence,notes
TD-0001,creature,,individual,673.093,183,civilization_fragment,B-128,civilization,58316.499,298984,0.0115,0.0006,-4,True,False,,True,True,931,False,False,hierarchy_validation,C. Vells,0.51,
TD-0002,small_group,,small_group,11635.179,44,small_group,,small_group,11225.217,29,1.0365,1.5172,0,True,False,,True,True,927,False,True,systematic_survey,P. Anster,0.83,
TD-0003,cell_colony,,cellular,0.13,0,cell_colony,B-858,cellular,0.06,0,2.1684,,0,True,False,,True,True,928,False,False,theoretical_test,M. Strand,0.94,
TD-0004,large_collective,A-639,large_collective,19042.202,9946,small_group,B-505,small_group,9393.292,55,2.0272,180.8364,1,True,False,,True,True,923,False,True,anomaly_investigation,M. Strand,0.74,
TD-0005,institution,,institution,2948.51,50000,institution,,institution,52992.813,81083,0.0556,0.6167,0,True,False,,True,True,918,False,False,hierarchy_validation,P. Anster,0.81,
TD-0006,creature,,individual,2532.345,44,creature,,individual,3510.702,38,0.7213,1.1579,0,True,False,,True,True,937,False,True,hierarchy_validation,P. Anster,0.57,
TD-0007,creature,,organ,0.185,0,creature,B-775,individual,681.123,29,0.0003,0.0,-1,True,False,,True,True,931,True,True,hierarchy_validation,Archive Survey Team,0.56,
TD-0008,creature,,individual,72.742,135,person,,individual,1515.967,26,0.048,5.1923,0,True,False,,True,True,940,False,False,systematic_survey,P. Anster,0.92,
TD-0009,person,,individual,1317.898,192,person,,individual,2979.461,111,0.4423,1.7297,0,True,False,,True,True,929,False,False,hierarchy_validation,Archive Survey Team,0.6,
TD-0010,person,,individual,5363.425,240,civilization_fragment,,civilization,17345.882,2195982,0.3092,0.0001,-4,True,False,,True,True,925,True,True,systematic_survey,K. Strand,0.74,
TD-0011,large_collective,A-442,large_collective,6115.946,12594,small_group,B-877,small_group,4119.822,111,1.4845,113.4595,1,True,False,,True,True,926,True,True,anomaly_investigation,M. Strand,0.8,
TD-0012,cell_colony,,cellular,0.062,0,small_group,,small_group,9225.061,58,0.0,0.0,-3,True,False,,True,True,939,False,False,clinical_assessment,R. Voss,0.7,
TD-0013,small_group,A-453,small_group,1494.746,68,person,B-149,individual,1120.853,317,1.3336,0.2145,1,True,False,,True,True,925,False,False,theoretical_test,Boundary Commission,0.8,
TD-0014,institution,A-619,institution,24196.425,20016,institution,B-286,institution,7701.245,178780,3.1419,0.112,0,True,False,,True,True,925,False,True,clinical_assessment,M. Strand,0.91,
TD-0015,small_group,A-827,small_group,1637.929,23,cell_colony,,cellular,0.049,0,33301.3443,,3,True,False,,True,True,940,True,False,theoretical_test,Archive Survey Team,0.72,
TD-0016,person,,individual,1268.1,160,creature,,organ,0.354,0,3584.8077,,1,True,False,,True,True,926,False,False,systematic_survey,C. Vells,0.94,
TD-0017,creature,A-604,organ,0.691,0,large_collective,,large_collective,10041.743,11633,0.0001,0.0,-3,True,False,,True,True,918,False,True,anomaly_investigation,Independent Observer,0.54,
TD-0018,person,,individual,1898.461,320,person,B-148,individual,4934.947,122,0.3847,2.623,0,True,False,,True,True,925,False,False,theoretical_test,T. Vells,0.71,
TD-0019,creature,,organ,1.075,0,small_group,B-116,small_group,116.379,28,0.0092,0.0,-2,True,False,,True,True,927,False,False,hierarchy_validation,M. Strand,0.66,
TD-0020,institution,,institution,40804.837,67843,creature,,organ,0.976,0,41801.2518,,4,True,False,,True,True,939,True,False,clinical_assessment,R. Voss,0.92,
TD-0021,small_group,A-185,small_group,2444.13,71,creature,,individual,616.184,82,3.9666,0.8659,1,True,False,,True,True,919,False,False,anomaly_investigation,Independent Observer,0.54,
TD-0022,creature,,individual,2460.205,78,creature,,individual,1576.919,31,1.5601,2.5161,0,True,False,,True,True,937,True,True,theoretical_test,P. Anster,0.84,
TD-0023,creature,A-501,individual,501.402,42,creature,,organ,0.344,0,1455.5831,,1,True,False,,True,True,937,False,True,clinical_assessment,Independent Observer,0.8,
TD-0024,cell_colony,A-511,cellular,0.022,0,small_group,,small_group,2316.729,84,0.0,0.0,-3,True,False,,True,True,919,False,False,clinical_assessment,Boundary Commission,0.94,
TD-0025,creature,,individual,2210.903,67,small_group,B-818,small_group,5936.343,112,0.3724,0.5982,-1,True,False,,True,True,935,False,False,hierarchy_validation,C. Vells,0.87,
TD-0026,institution,,institution,8214.767,85605,institution,B-888,institution,24848.811,198645,0.3306,0.4309,0,True,False,,True,True,922,False,True,clinical_assessment,M. Strand,0.83,
TD-0027,institution,A-684,institution,32146.441,35332,cell_colony,B-615,cellular,0.113,0,284522.3607,,5,True,False,,True,True,923,True,False,clinical_assessment,K. Strand,0.6,
TD-0028,large_collective,,large_collective,5964.797,9068,cell_colony,B-450,cellular,0.073,0,81940.4453,,4,True,False,,True,True,921,False,True,clinical_assessment,P. Anster,0.62,
TD-0029,civilization_fragment,,civilization,49638.068,1135654,creature,,individual,3931.325,17,12.6263,66803.1765,4,True,False,,True,True,921,False,False,anomaly_investigation,Independent Observer,0.95,
TD-0030,large_collective,A-545,large_collective,13872.756,2728,cell_colony,,cellular,0.124,0,111457.4953,,4,True,False,,True,True,933,False,True,systematic_survey,Boundary Commission,0.72,
TD-0031,person,,individual,1893.405,11,person,B-769,individual,4656.117,13,0.4066,0.8462,0,True,False,,True,True,928,True,False,systematic_survey,P. Anster,0.83,
TD-0032,person,,individual,1389.227,107,small_group,B-669,small_group,1184.889,23,1.1725,4.6522,-1,False,False,,False,False,935,False,False,clinical_assessment,R. Voss,0.73,
TD-0033,civilization_fragment,,civilization,17209.286,1397362,small_group,B-602,small_group,469.435,61,36.6596,22907.5738,3,True,False,,True,True,938,False,True,theoretical_test,Archive Survey Team,0.85,
TD-0034,institution,A-402,institution,27363.654,273855,large_collective,,large_collective,1431.091,804,19.1208,340.6157,1,True,False,,True,True,937,False,True,systematic_survey,R. Voss,0.84,
TD-0035,institution,,institution,22613.356,126068,institution,,institution,16359.54,43106,1.3823,2.9246,0,True,False,,True,True,939,True,True,clinical_assessment,Klutch CC Counseling,0.87,
TD-0036,institution,A-143,institution,6144.541,69738,person,B-512,individual,84.948,92,72.3328,758.0217,3,True,False,,True,True,939,False,False,anomaly_investigation,M. Strand,0.74,
TD-0037,institution,A-860,institution,47437.046,3454,institution,,institution,8678.531,25605,5.466,0.1349,0,True,False,,True,True,932,True,True,systematic_survey,P. Anster,0.89,
TD-0038,creature,A-444,organ,0.298,0,creature,,organ,1.154,0,0.2584,,0,True,False,,True,True,919,True,False,systematic_survey,T. Vells,0.66,
TD-0039,cell_colony,,cellular,0.015,0,institution,B-599,institution,9978.177,166650,0.0,0.0,-5,True,False,,True,True,921,False,True,clinical_assessment,Independent Observer,0.7,
TD-0040,large_collective,,large_collective,11178.054,16493,institution,B-549,institution,13465.35,50117,0.8301,0.3291,-1,True,False,,True,True,918,True,True,anomaly_investigation,T. Vells,0.78,
