event_id,event_name,agent_type,agent_id,agent_horizon_profile,temporal_gap_days,bridge_type,bridge_mechanism,cause_description,cause_year,intended_effect,effect_year,bridge_completed,outcome_type,fidelity,horizon_requirement,enabling_factors,risk_factors,documented_year,documenter,documentation_source,confidence,description,notes
TF-0001,The Keth Manuscripts,institution,AGT-0001,institutional,29200,preservation,written_record,Vornis Keth's mathematical writings preserved,844,Future scholars recovered geometric methods,924,True,successful_as_intended,0.97,29200,"institutional_support,durable_materials","political_change,resource_limitations",940,Klutch CC Counseling,archival_record,0.82,The Keth Manuscripts: bridge spanning 80 years,
TF-0002,Archive Vault 7,institution,AGT-0002,institutional,36500,preservation,institutional_structure,Disputed manuscripts sealed for future resolution,882,Later generation to determine authenticity,,,pending,,36500,"institutional_support,durable_materials","political_change,resource_limitations",926,Klutch CC Counseling,archival_record,0.85,Archive Vault 7: bridge spanning 100 years,
TF-0003,Third Mill Reconstruction Fund,institution,AGT-0003,institutional,18250,construction,institutional_structure,Resources set aside for mill rebuilding,804,Mill never rebuilt; funds redirected,854,False,failed_effect_missed,0.38,18250,"institutional_support,durable_materials","political_change,resource_limitations",924,M. Strand,archival_record,0.81,Third Mill Reconstruction Fund: bridge spanning 50 years,
TF-0004,Communication Bridge 4,person,AGT-238,visionary,19315,communication,written_record,Message sent to future generation,813,scholars to receive message,865,False,unknown,,22881,"durable_materials,strong_purpose",,914,R. Voss,institutional_record,0.52,Temporal bridge of type communication via written_record,
TF-0005,Construction Bridge 5,collective,AGT-347,caretaker,30892,construction,institutional_structure,scholars built for future use,870,region to use construction,,,pending,,31457,institutional_support,"material_decay,political_change,dens_proximity",916,Archive Survey Team,testimony,0.71,Temporal bridge of type construction via institutional_structure,
TF-0006,Preservation Bridge 6,collective,AGT-862,institutional,2759,preservation,spatial_configuration,scholars preserved for future access,808,region to access preserved material,815,True,successful_as_intended,0.89,2495,community_reinforcement,material_decay,930,Independent Observer,archival_record,0.51,Temporal bridge of type preservation via spatial_configuration,
TF-0007,Communication Bridge 7,person,AGT-918,standard_worker,1247,communication,biological_growth,Message sent to future region,898,institution to receive message,901,False,failed_effect_missed,0.13,1410,,,924,Klutch CC Counseling,testimony,0.82,Temporal bridge of type communication via biological_growth,
TF-0008,Repair Bridge 8,person,AGT-159,visionary,13203,repair,ritual_practice,community repaired for future function,857,institution to benefit from repair,893,True,successful_as_intended,0.97,15200,"strong_purpose,community_reinforcement",dens_proximity,917,C. Vells,direct_observation,0.71,Temporal bridge of type repair via ritual_practice,
TF-0009,Preservation Bridge 9,institution,AGT-603,caretaker,10101,preservation,collective_memory,institution preserved for future access,862,community to access preserved material,889,True,successful_as_intended,0.85,10347,community_reinforcement,dens_proximity,917,C. Vells,institutional_record,0.56,Temporal bridge of type preservation via collective_memory,
TF-0010,Communication Bridge 10,person,AGT-324,caretaker,32486,communication,institutional_structure,Message sent to future project,928,generation to receive message,,,pending,,32491,institutional_support,,927,P. Anster,testimony,0.52,Temporal bridge of type communication via institutional_structure,
TF-0011,Warning Bridge 11,person,AGT-686,visionary,6542,warning,ritual_practice,Warning issued about future scholars,874,scholars to heed warning,891,False,failed_bridge_broken,0.13,5971,strong_purpose,political_change,937,C. Vells,direct_observation,0.8,Temporal bridge of type warning via ritual_practice,
TF-0012,Preservation Bridge 12,institution,AGT-728,institutional,12838,preservation,institutional_structure,community preserved for future access,861,generation to access preserved material,,,pending,,10584,institutional_support,political_change,927,K. Strand,institutional_record,0.79,Temporal bridge of type preservation via institutional_structure,
TF-0013,Repair Bridge 13,collective,AGT-842,standard_worker,18022,repair,spatial_configuration,scholars repaired for future function,801,community to benefit from repair,,,pending,,18727,community_reinforcement,,912,P. Anster,direct_observation,0.88,Temporal bridge of type repair via spatial_configuration,
TF-0014,Warning Bridge 14,person,AGT-599,visionary,21453,warning,written_record,Warning issued about future institution,918,institution to heed warning,,,pending,,17333,"durable_materials,strong_purpose","material_decay,dens_proximity",928,P. Anster,archival_record,0.79,Temporal bridge of type warning via written_record,
TF-0015,Preservation Bridge 15,institution,AGT-591,institutional,32287,preservation,written_record,project preserved for future access,907,institution to access preserved material,,,pending,,35442,durable_materials,,935,Archive Survey Team,direct_observation,0.55,Temporal bridge of type preservation via written_record,
TF-0016,Investment Bridge 16,person,AGT-586,survivor,1651,investment,biological_growth,Resources allocated for future region,831,generation to benefit from resources,835,True,partial_success,0.52,1426,,political_change,936,T. Vells,testimony,0.66,Temporal bridge of type investment via biological_growth,
TF-0017,Investment Bridge 17,person,AGT-711,caretaker,7594,investment,ritual_practice,Resources allocated for future community,841,community to benefit from resources,861,True,successful_modified,0.76,7339,,,934,R. Voss,testimony,0.81,Temporal bridge of type investment via ritual_practice,
TF-0018,Communication Bridge 18,person,AGT-584,caretaker,25680,communication,institutional_structure,Message sent to future generation,832,project to receive message,902,True,successful_modified,0.83,25697,institutional_support,"material_decay,political_change",914,M. Strand,archival_record,0.68,Temporal bridge of type communication via institutional_structure,
TF-0019,Communication Bridge 19,person,AGT-737,standard_worker,33879,communication,written_record,Message sent to future scholars,869,project to receive message,,,pending,,35309,durable_materials,,925,R. Voss,testimony,0.75,Temporal bridge of type communication via written_record,
TF-0020,Preservation Bridge 20,collective,AGT-525,institutional,11568,preservation,collective_memory,community preserved for future access,881,institution to access preserved material,912,False,failed_bridge_broken,0.28,12319,community_reinforcement,,921,Independent Observer,testimony,0.62,Temporal bridge of type preservation via collective_memory,
TF-0021,Construction Bridge 21,collective,AGT-545,caretaker,4107,construction,ritual_practice,institution built for future use,871,institution to use construction,882,True,partial_success,0.31,4093,community_reinforcement,,919,Archive Survey Team,testimony,0.91,Temporal bridge of type construction via ritual_practice,
TF-0022,Repair Bridge 22,person,AGT-497,caretaker,15866,repair,spatial_configuration,generation repaired for future function,807,generation to benefit from repair,850,True,successful_as_intended,0.9,14829,,material_decay,929,R. Voss,direct_observation,0.7,Temporal bridge of type repair via spatial_configuration,
TF-0023,Communication Bridge 23,person,AGT-549,caretaker,7047,communication,biological_growth,Message sent to future generation,922,scholars to receive message,,,pending,,8378,,material_decay,938,T. Vells,institutional_record,0.78,Temporal bridge of type communication via biological_growth,
TF-0024,Repair Bridge 24,collective,AGT-860,standard_student,15698,repair,physical_artifact,scholars repaired for future function,860,scholars to benefit from repair,903,True,partial_success,0.51,17675,durable_materials,,939,Archive Survey Team,archival_record,0.61,Temporal bridge of type repair via physical_artifact,
TF-0025,Warning Bridge 25,person,AGT-811,caretaker,16952,warning,institutional_structure,Warning issued about future institution,848,institution to heed warning,894,False,failed_bridge_broken,0.2,16617,institutional_support,material_decay,935,Independent Observer,archival_record,0.77,Temporal bridge of type warning via institutional_structure,
TF-0026,Construction Bridge 26,institution,AGT-947,caretaker,529,construction,biological_growth,generation built for future use,851,generation to use construction,852,True,successful_as_intended,0.88,425,,material_decay,928,Klutch CC Counseling,archival_record,0.72,Temporal bridge of type construction via biological_growth,
