equilibrium_id,equilibrium_name,entity_ids,entity_count,equilibrium_type,stability_score,restoration_rate,net_tension,sympathetic_force_total,antipathetic_force_total,force_ratio,centroid_x,centroid_y,centroid_z,spatial_extent,formation_year,persistence_years,perturbation_count,documented_by,documentation_method,confidence,description,notes
TE-0001,,"MS-0106,EN-009,MS-0118,MS-0099,MS-0053,MS-0050,MS-0027,MS-0111",8,cluster,0.7,0.65,0.0591,4.54,5.11,0.888,-0.7923,0.7262,-0.139,0.279,1848,46,5,K. Strand,mathematical_derivation,0.55,Cluster equilibrium involving 8 entities.,
TE-0002,The Inner Balance,"MS-0138,MS-0114,EN-007,MS-0006,MS-0074,MS-0004,MS-0052,MS-0044,EN-006,MS-0063,MS-0024,MS-0125",12,constellation,0.37,0.28,0.0354,7.46,6.95,1.073,-0.7553,0.2777,0.3339,0.297,926,87,7,P. Tross,stability_testing,0.77,Constellation equilibrium involving 12 entities.,
TE-0003,,"EN-004,MS-0135",2,dyadic,0.88,0.85,0.1554,2.64,1.93,1.368,0.2597,-0.1597,0.5483,0.162,921,11,2,Archive Survey Team,tension_analysis,0.75,Dyadic equilibrium involving 2 entities.,
TE-0004,,"EN-001,MS-0006",2,dyadic,0.93,0.95,0.0098,4.65,4.56,1.02,0.7485,0.0572,0.4401,0.16,913,32,1,Archive Survey Team,constellation_mapping,0.81,Dyadic equilibrium involving 2 entities.,
TE-0005,,"MS-0077,EN-004",2,dyadic,0.7,0.49,0.1083,1.33,1.07,1.243,-0.6902,0.6004,0.7126,0.201,1850,6,0,T. Vells,mathematical_derivation,0.77,Dyadic equilibrium involving 2 entities.,
TE-0006,,"MS-0067,MS-0079,MS-0134",3,triadic,0.55,0.58,0.0374,5.67,6.11,0.928,0.5038,-0.743,0.5271,0.259,921,80,8,Constellation Survey,constellation_mapping,0.71,Triadic equilibrium involving 3 entities.,
TE-0007,,"MS-0029,MS-0108,EN-002",3,triadic,0.87,0.86,0.0266,6.57,6.23,1.055,-0.5906,-0.3775,0.7269,0.18,930,71,5,Constellation Survey,constellation_mapping,0.63,Triadic equilibrium involving 3 entities.,
TE-0008,,"MS-0018,MS-0054,MS-0096,MS-0063,MS-0006,MS-0120,EN-002,MS-0099",8,constellation,0.69,0.71,0.0594,2.69,3.03,0.888,-0.2483,0.3989,0.7347,0.335,925,30,1,T. Vells,historical_persistence,0.83,Constellation equilibrium involving 8 entities.,
TE-0009,The Outer Equilibrium,"MS-0092,MS-0018",2,dyadic,0.59,0.63,0.0266,5.02,4.76,1.055,-0.6255,-0.5201,-0.414,0.186,1845,78,9,Constellation Survey,mathematical_derivation,0.81,Dyadic equilibrium involving 2 entities.,
TE-0010,,"EN-009,MS-0083",2,dyadic,0.54,0.39,0.1091,5.47,6.81,0.803,-0.5976,-0.6445,-0.1248,0.155,1840,50,5,Constellation Survey,historical_persistence,0.51,Dyadic equilibrium involving 2 entities.,
TE-0011,The Southern Balance,"EN-001,MS-0137,EN-004",3,triadic,0.65,0.71,0.0415,6.58,7.15,0.92,-0.398,-0.6826,-0.3318,0.144,921,37,4,K. Strand,constellation_mapping,0.61,Triadic equilibrium involving 3 entities.,
TE-0012,,"MS-0018,MS-0128",2,dyadic,0.9,0.91,0.0596,5.13,5.78,0.888,-0.4573,0.4743,-0.3504,0.131,1850,9,0,T. Vells,stability_testing,0.52,Dyadic equilibrium involving 2 entities.,
TE-0013,The Outer Tension,"MS-0070,MS-0119,MS-0140,MS-0122,MS-0145,EN-010,MS-0064,MS-0041",8,cluster,0.69,0.61,0.0238,5.54,5.81,0.954,-0.7803,0.4619,0.6286,0.29,924,87,14,P. Tross,constellation_mapping,0.58,Cluster equilibrium involving 8 entities.,
TE-0014,Stable Tension Field,"MS-0077,MS-0136",2,dyadic,0.86,0.83,0.0124,6.14,5.99,1.025,-0.2243,-0.2074,0.0559,0.23,917,18,3,P. Tross,constellation_mapping,0.71,Dyadic equilibrium involving 2 entities.,
