failure_id,failure_name,delegation_id,delegator_id,delegate_id,task_type,failure_type,failure_severity,failure_year,detection_delay_days,root_cause,preventable,prevention_method,trust_change,federation_impact,cascade_effects,affected_agents_count,recovery_attempted,recovery_method,recovery_success,recovery_duration_days,lesson_category,lesson_learned,documented_year,documenter,documentation_source,confidence,notes
TF-0001,Colony Project Breakdown 901,DE-0129,AG-0021,AG-0267,resource,communication_failure,significant,881,691,trust_misplaced,False,better competency assessment,trust_destroyed,significant_damage,False,79,True,task_reassignment,partial_recovery,695,communication_protocols,This failure demonstrated the importance of communication protocols,924,Archive Survey Team,testimony,0.92,
TF-0002,Archive Document Failure 918,,AG-0026,AG-0330,coordination,misunderstanding,moderate,869,501,context_change,False,redundancy,trust_destroyed,minor_disruption,False,183,False,,not_attempted,,communication_protocols,This failure demonstrated the importance of communication protocols,932,Boundary Commission,institutional_record,0.61,
TF-0003,Archive Project Loss 928,DE-0089,AG-0051,AG-0164,coordination,misunderstanding,catastrophic,870,431,integration_loss,True,,trust_decreased,minor_disruption,True,261,True,federation_restructuring,failed,755,communication_protocols,This failure demonstrated the importance of communication protocols,925,Boundary Commission,biological_observation,0.86,
TF-0004,Survey Project Failure 920,,AG-0054,AG-0296,information,communication_failure,severe,879,811,insufficient_resources,False,better competency assessment,trust_rebuilt,significant_damage,True,650,False,,not_attempted,,communication_protocols,This failure demonstrated the importance of communication protocols,937,O. Venn,biological_observation,0.8,
TF-0005,Archive Task Loss 923,,AG-0031,AG-0228,maintenance,cascade_failure,minor,924,224,goal_conflict,False,,trust_unchanged,significant_damage,False,99,True,redundancy_activation,full_recovery,795,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,917,Klutch CC Research,institutional_record,0.9,
TF-0006,Survey Document Loss 913,,AG-0093,AG-0124,information,context_failure,severe,898,162,trust_misplaced,True,better competency assessment,trust_rebuilt,minor_disruption,True,602,True,delegate_replacement,partial_recovery,949,context_awareness,This failure demonstrated the importance of context awareness,938,Colony Observation Unit,institutional_record,0.93,
TF-0007,Archive Task Collapse 926,DE-0075,AG-0062,AG-0130,construction,competency_failure,significant,906,39,trust_misplaced,True,,trust_rebuilt,minor_disruption,True,597,True,task_reassignment,failed,901,verify_competency,This failure demonstrated the importance of verify competency,933,Independent Observer,post_mortem_analysis,0.79,
TF-0008,Colony Project Failure 904,DE-0251,AG-0081,AG-0234,maintenance,context_failure,moderate,915,531,insufficient_resources,False,better competency assessment,trust_decreased,minor_disruption,True,96,False,,not_attempted,,context_awareness,This failure demonstrated the importance of context awareness,938,T. Crost,testimony,0.87,
TF-0009,Crew Mission Collapse 904,,AG-0020,AG-0133,coordination,cascade_failure,moderate,938,29,goal_conflict,False,redundancy,trust_decreased,minor_disruption,False,121,True,federation_restructuring,failed,244,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,940,P. Anster,direct_observation,0.91,
TF-0010,Mill Project Breakdown 931,,AG-0099,AG-0100,resource,communication_failure,moderate,922,361,communication_breakdown,False,redundancy,trust_unchanged,significant_damage,False,43,True,task_reassignment,partial_recovery,39,communication_protocols,This failure demonstrated the importance of communication protocols,912,Klutch CC Research,testimony,0.68,
TF-0011,Archive Task Collapse 937,DE-0258,AG-0017,AG-0387,coordination,abandonment,significant,887,250,unknown,False,redundancy,trust_decreased,significant_damage,False,397,True,trust_rebuilding,partial_recovery,191,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,940,O. Venn,post_mortem_analysis,0.83,
TF-0012,Survey Task Breakdown 924,DE-0241,AG-0026,AG-0320,response,defection,significant,860,69,integration_loss,False,,trust_rebuilt,significant_damage,False,220,True,delegate_replacement,partial_recovery,514,align_goals,This failure demonstrated the importance of align goals,917,O. Venn,institutional_record,0.83,
TF-0013,Archive Project Failure 924,DE-0239,AG-0021,AG-0356,response,execution_failure,moderate,919,4,unknown,True,goal alignment verification,trust_decreased,partial_dissolution,False,151,False,,not_attempted,,monitor_delegates,This failure demonstrated the importance of monitor delegates,934,Klutch CC Research,testimony,0.76,
TF-0014,Mill Document Breakdown 936,,AG-0015,AG-0292,decision,abandonment,severe,865,171,communication_breakdown,True,goal alignment verification,trust_rebuilt,partial_dissolution,False,311,True,federation_restructuring,partial_recovery,532,maintain_redundancy,This failure demonstrated the importance of maintain redundancy,915,O. Venn,institutional_record,0.62,
TF-0015,Crew Task Collapse 935,DE-0048,AG-0063,AG-0347,resource,misunderstanding,significant,882,564,goal_conflict,True,,trust_decreased,no_impact,False,485,True,delegate_replacement,partial_recovery,998,communication_protocols,This failure demonstrated the importance of communication protocols,927,P. Anster,institutional_record,0.86,
TF-0016,Mill Mission Loss 912,DE-0022,AG-0053,AG-0101,construction,execution_failure,significant,874,626,context_change,False,better competency assessment,trust_unchanged,minor_disruption,False,213,True,trust_rebuilding,failed,326,monitor_delegates,This failure demonstrated the importance of monitor delegates,940,T. Mord,post_mortem_analysis,0.73,
TF-0017,Archive Task Breakdown 917,DE-0052,AG-0034,AG-0185,coordination,context_failure,significant,902,644,integration_loss,True,,trust_decreased,partial_dissolution,False,147,True,redundancy_activation,full_recovery,418,context_awareness,This failure demonstrated the importance of context awareness,930,Boundary Commission,direct_observation,0.64,
TF-0018,Mill Document Loss 933,,AG-0009,AG-0363,coordination,defection,significant,915,436,trust_misplaced,False,goal alignment verification,trust_decreased,partial_dissolution,False,375,True,trust_rebuilding,partial_recovery,403,align_goals,This failure demonstrated the importance of align goals,940,Archive Survey Team,direct_observation,0.89,
