experiment_id,experiment_name,year,experimenter,model_name,original_params,pruning_level,remaining_params,remaining_percent,pruning_method,reinit_method,train_from_scratch_acc,train_from_original_init_acc,train_from_random_init_acc,is_winning_ticket,epochs_to_target,target_acc,sparsity_pattern,notes
LT-001,Lottery Discovery,924,Tobben Rast,grok_transformer_alpha,50000,0.0,50000,100.0,none,none,0.997,0.997,0.997,baseline,8745,0.99,dense,"Baseline unpruned network"
LT-002,Lottery Discovery,924,Tobben Rast,grok_transformer_alpha,50000,0.2,40000,80.0,magnitude,original,0.996,0.995,0.823,True,8234,0.99,uniform,"20% pruned - still generalizes"
LT-003,Lottery Discovery,924,Tobben Rast,grok_transformer_alpha,50000,0.4,30000,60.0,magnitude,original,0.994,0.992,0.678,True,7892,0.99,uniform,"40% pruned - winning ticket"
LT-004,Lottery Discovery,924,Tobben Rast,grok_transformer_alpha,50000,0.6,20000,40.0,magnitude,original,0.989,0.985,0.523,True,9123,0.99,structured,"60% pruned - still works"
LT-005,Lottery Discovery,924,Tobben Rast,grok_transformer_alpha,50000,0.8,10000,20.0,magnitude,original,0.967,0.956,0.412,partial,14567,0.99,structured,"80% pruned - degraded but works"
LT-006,Lottery Discovery,924,Tobben Rast,grok_transformer_alpha,50000,0.9,5000,10.0,magnitude,original,0.892,0.856,0.345,partial,25678,0.99,sparse,"90% pruned - struggles"
LT-007,Lottery Discovery,924,Tobben Rast,grok_transformer_alpha,50000,0.95,2500,5.0,magnitude,original,0.756,0.712,0.298,False,50000,0.99,very_sparse,"95% pruned - cannot reach target"
LT-008,Reinitialization Study,924,Tobben Rast,grok_transformer_alpha,50000,0.6,20000,40.0,magnitude,random,0.523,0.523,0.523,False,50000,0.99,structured,"Random reinit fails"
LT-009,Reinitialization Study,924,Tobben Rast,grok_transformer_alpha,50000,0.6,20000,40.0,magnitude,kaiming,0.612,0.612,0.612,False,48000,0.99,structured,"Kaiming reinit - slightly better"
LT-010,Reinitialization Study,924,Tobben Rast,grok_transformer_alpha,50000,0.6,20000,40.0,magnitude,original_scaled,0.978,0.978,0.634,True,8456,0.99,structured,"Original init scaled - works"
LT-011,Iterative Pruning,924,Lurra Venn,grok_transformer_beta,50000,0.0,50000,100.0,iterative,original,0.998,0.998,0.998,baseline,7892,0.99,dense,"Start of iterative pruning"
LT-012,Iterative Pruning,924,Lurra Venn,grok_transformer_beta,50000,0.2,40000,80.0,iterative,original,0.997,0.996,0.845,True,7234,0.99,gradual,"First iteration"
