entry_date,life_event,self_classification,confidence,anxiety_level,notes,later_revision
907-02-15,walked_outside,eternal_student,0.65,0.5,Vorn asked about predictions again. I deflected.,This was before I understood the trap.
907-05-03,data_analysis,eternal_student,0.81,0.16,Method development continues. Am I making progress or avoiding output?,
907-08-21,data_analysis,eternal_student,0.54,0.27,"Another paper read, not written. The pattern seems clear.",
907-11-10,self_doubt,eternal_student,0.56,0.15,Solta would say I am overthinking. Perhaps I am.,
908-01-08,lecture_attended,slow_climb,0.36,0.42,Solta would say I am overthinking. Perhaps I am.,
908-03-22,walked_outside,undetermined,0.51,0.35,Started to encode my own timeline. Stopped. Started again.,This was before I understood the trap.
908-06-14,avoided_decision,undetermined,0.34,0.37,Vorn asked about predictions again. I deflected.,I should have listened to my own warnings.
908-08-30,encoding_journeys,eternal_student,0.54,0.45,Good day at the office. Does that mean anything?,
908-09-15,routine_work,slow_climb,0.82,0.16,Noticed I spent the morning on paperwork instead of analysis. Typical?,
908-10-07,encoding_journeys,slow_climb,0.52,0.49,Noticed I spent the morning on paperwork instead of analysis. Typical?,I was already in the pattern. I did not see it.
908-11-11,sister_visit,hoping_for_slow_climb,0.63,0.43,Good day at the office. Does that mean anything?,
908-12-03,sister_visit,hoping_for_slow_climb,0.69,0.36,"Another paper read, not written. The pattern seems clear.",This was before I understood the trap.
908-12-15,encoding_journeys,eternal_student,0.53,0.18,Good day at the office. Does that mean anything?,
908-12-28,data_analysis,eternal_student,0.54,0.46,Solta would say I am overthinking. Perhaps I am.,
909-01-05,self_doubt,eternal_student,0.44,0.35,Started to encode my own timeline. Stopped. Started again.,
909-02-01,paper_read,definitely_eternal_student,0.71,0.52,Every choice feels like evidence. I cannot escape the pattern.,
909-02-11,could_not_decide,possibly_hybrid,0.89,0.71,What would the Eternal Student do? What am I doing now?,I should have listened to my own warnings.
909-02-24,made_small_journey,possibly_hybrid,0.59,0.47,Every choice feels like evidence. I cannot escape the pattern.,
909-03-05,data_analysis,possibly_hybrid,0.39,0.52,The method was not meant for this. I was not meant for this.,
909-03-13,paper_read,eternal_student,0.41,0.67,Stayed home again. Is this the pattern or breaking it?,
909-03-19,moment_of_clarity,eternal_student,0.59,0.82,The method was not meant for this. I was not meant for this.,
909-03-21,colleague_interaction,possibly_hybrid,0.44,0.57,Every choice feels like evidence. I cannot escape the pattern.,
