manuscript_id,section,text
MS-0012,1,"ON THE PERMANENCE OF THE UTTERED
By Grigsu Haldo

A word is not a soft thing like water to be absorbed into any vessel that receives it. That is the simple idea of a thinker like Yasho or the Mirado philosophers. I say instead that words are hard things, harder than stone, for they can be passed and yet remain, be given and yet kept, be thrown into the darkness of the Dens and emerge unscathed where water would be fouled and stone would dissolve into the muck.

The villages of my birth understood this. After a conversation of weight, we cast stones. Not the words themselves, but offerings to the words, tributes to their durability. The stones dissolve back into the earth. The words remain.

Yasho asks: if words are stones, why do we forget them? I answer: we do not forget the words. We forget where we put them. The word remains in its place. It is we who wander."
MS-0012,2,"Consider what happens when you speak to a friend and years later that friend reminds you of what you said.

According to the water-school, this is impossible. The word dissolved at the moment of utterance. What your friend remembers is not your word but some pattern of dissolution, some residue.

But this is not our experience. When my friend quotes me, I recognize my own voice. Not a pattern. Not a residue. My word, returned to me from wherever it had been kept.

Where had it been kept? In my friend's mind, the water-school would say. But minds are water-school domains, places of constant dissolution. How could a stone survive in water?

The answer is that words are harder than the medium that carries them. A word can pass through mind after mind, through air and ear and memory, and emerge intact. Changed, perhaps. Worn smooth by passage, like a pebble. But still itself. Still whole."
MS-0012,3,"Let me address directly the strongest argument of the water-school: the argument from misunderstanding.

Yasho says: if words were stones, passed unchanged from speaker to listener, we would never misunderstand each other. But we do misunderstand each other, constantly. Therefore words are not stones.

The argument is clever but flawed. It assumes that misunderstanding requires the word to have changed. But this is not so. Misunderstanding occurs when the listener places the received word in the wrong location.

Consider a stone passed from my hand to yours. The stone does not change. But you might put it in your left pocket when I intended your right. You might set it on a shelf when I meant for you to throw it. The stone is the same stone. The error is in placement, not in transmission.

So too with words. I speak a word. You receive that word intact. But you file it among your own words in your own way, and if your filing differs from mine, misunderstanding results. The word did not dissolve. The word was misplaced."
MS-0012,4,"The water-school speaks much of context. They say the same word means different things in different contexts, and they take this as proof of dissolution.

But context does not dissolve words. Context arranges them. A stone in a wall means something different from a stone in a road, but the stone remains a stone. The meaning we attribute to the stone comes from its placement among other stones, not from any change in the stone itself.

This is the error at the heart of water-school thinking. They confuse arrangement with essence. They see a word shift in meaning from one sentence to another and conclude that the word itself has dissolved and reformed. But the word has merely moved. It has taken up a new position among other words, and the new position yields a new meaning.

Meaning is positional. Words are permanent. This is the teaching of the stone-school, and all experience confirms it."
MS-0012,5,"I anticipate an objection. If words are permanent, why do languages change? Why do the old texts grow obscure? Why must we hire scholars to translate the writings of our great-grandparents?

The answer is that words are permanent but arrangements are not. Languages change not because words dissolve but because the patterns of arrangement shift over generations. New positions become common. Old positions fall out of use. The words remain, but we forget where they go.

This is why scholarship matters. The scholar does not resurrect dissolved words. The scholar recovers forgotten arrangements. The words were never lost. They were waiting in their places for someone to remember how to put them together.

When I read an ancient text, I am not watching dissolution in reverse. I am learning an old arrangement, placing permanent words in their original positions, recovering meaning that was always there."
MS-0012,6,"I close with a meditation on my village practice of casting stones.

When I was a boy, I asked my grandmother why we threw stones after difficult conversations. She said it was to thank the words for staying with us. I asked her where the words stayed. She pointed at the stones on the ground and said nothing.

For years I thought she meant the words were in the stones. Now I understand differently. The stones were not containers. The stones were offerings. We cast them to honor something harder than themselves.

The words of that conversation with my grandmother are with me still. I hear her voice when I remember. The stones we cast that day have long since dissolved into the earth, crumbled by rain and root and time. But her words remain. Harder than stone. Permanent as anything in this impermanent world.

This is the truth the water-school cannot face: that words outlast everything. That meaning persists. That what we say matters because it never fully goes away."
MS-0034,1,"SURVEY REPORT: YELLER QUARRY 869
Commissioned by the Department of Natural Inventory
Submitted by Grigsu Haldo, Survey Leader

Day One. We departed the Capital at dawn, my colleagues Yasho Krent and Vagabu Olt accompanying me along with a crew of twenty-one. The pickbox cart Bagbu insists on driving slowed our progress considerably, but his maps may prove valuable, and his company on the road is tolerable if one ignores his constant whistling.

Yasho and I debated as we walked. She maintains her position that expedition reports are themselves acts of dissolution, that the words we write will mix with all other reports to form a collective residue from which later scholars will draw. I countered that these very words I write now will persist, will be read by you, the reader, and you will receive my meaning intact.

She laughed at this. We shall see who is right."
MS-0034,2,"Day Five. The road has roughened considerably since we left the main highway. Bagbu's pickbox cart groans over every rut and stone. He insists the complaints of the wood and wheel are a kind of speech, that the cart is telling us about the road. Yasho found this charming. I found it characteristic of Bagbu's tendency to find words in everything.

The countryside here is sparse but not unpleasant. Small farms dot the hills, and we have been able to purchase bread and cheese at reasonable prices. The farmers speak a dialect that requires some attention to understand, but the words themselves are familiar enough. They have not dissolved into something unrecognizable. They have simply arranged themselves in unfamiliar patterns.

I note this as evidence for my position. If words dissolved over distance, these rural dialects would be incomprehensible. But they are not. The words persist. Only the arrangements differ."
MS-0034,3,"Day Twelve. We have passed Tripas and the road narrows. Bagbu insists on sketching every rock formation, which slows us considerably. I confess I have been sullen since we crossed into stall-town territory. The merchants here have lost their stones.

I mean this precisely. In my village, we cast stones after conversation to honor the words exchanged. Here, nothing is honored. Words are thrown about like refuse. Bargains made and broken. Names used and discarded. The stall-town people live in a world of pure dissolution, and they are the worse for it.

Yasho finds this superstitious and told me so at length this evening. We argued for an hour while Bagbu checked the family tree diagrams against our guide's claims. Without correct lineage documentation, we will not be permitted past the inner checkpoints. The Quarry folk take their words seriously, at least when it comes to genealogy."
MS-0034,4,"Day Fifteen. I have seen something I cannot explain within the water-school framework.

A yeller five on the road last night. I have only read of them before this. Five women moving as one, onto the road and off the road, in patterns I almost recognized. Two, three, five. The numbers of the old counting songs. The yeller numbers.

Yasho says they are an anomaly requiring further study. I say they are words made flesh. Five voices that move as one voice. Five bodies that persist as one body. They do not dissolve into each other. They do not lose their distinctness. And yet they are one.

The water-school cannot explain Yeller. The pebble-school of old Mirado cannot explain Yeller. But I begin to think that Yeller explains us. We are all words, looking for the other words we belong with."
