manuscript_id,provenance_score,score_confidence,stylometric_score,physical_score,historical_score,cross_reference_score,classification,reclassification_count,first_classification_date,current_classification_date,classifier_faction
MS-0001,0.52,0.578,0.48,0.71,0.44,0.46,mup,0,909,909,probabilist
MS-0002,0.816,0.859,0.811,0.716,0.799,0.805,verified,0,910,910,certainist
MS-0003,0.89,0.87,0.87,0.91,0.88,0.9,verified,0,910,910,probabilist
MS-0004,0.89,0.895,0.91,0.88,0.87,0.9,verified,0,908,908,contextualist
MS-0005,0.73,0.674,0.69,0.81,0.71,0.7,likely_authentic,0,909,909,certainist
MS-0006,0.451,0.611,0.507,0.488,0.568,0.284,mup,2,910,911,certainist
MS-0007,0.374,0.488,0.317,0.577,0.481,0.28,mup,0,910,910,probabilist
MS-0008,0.94,0.879,0.95,0.93,0.94,0.93,verified,0,908,908,suspensionist
MS-0009,0.873,0.92,0.897,0.831,0.799,0.967,verified,0,908,908,probabilist
MS-0010,0.917,0.906,0.957,0.984,1.0,0.909,verified,0,908,908,certainist
MS-0011,0.13,0.881,0.124,0.185,0.284,0.073,forged,0,909,909,suspensionist
MS-0012,0.91,0.914,0.93,0.89,0.92,0.89,verified,0,908,908,certainist
MS-0013,0.276,0.8,0.129,0.19,0.231,0.31,disputed,1,908,909,contextualist
MS-0014,0.396,0.569,0.517,0.587,0.274,0.312,mup,1,909,910,suspensionist
MS-0015,0.353,0.578,0.312,0.13,0.238,0.326,mup,0,909,909,probabilist
MS-0016,0.196,0.861,0.155,0.0,0.203,0.101,forged,0,910,910,probabilist
MS-0017,0.86,0.91,0.964,1.0,1.0,0.776,verified,0,908,908,suspensionist
MS-0018,0.599,0.467,0.581,0.648,0.861,0.347,mup,1,908,909,suspensionist
MS-0019,0.263,0.741,0.158,0.099,0.312,0.347,disputed,4,910,911,contextualist
MS-0020,0.564,0.54,0.384,0.697,0.339,0.794,mup,1,908,909,probabilist
MS-0021,0.273,0.786,0.279,0.303,0.234,0.231,disputed,3,908,911,probabilist
MS-0022,0.878,0.874,0.753,0.846,0.955,0.807,verified,0,909,909,certainist
MS-0023,0.869,0.948,0.789,0.91,0.853,0.75,verified,0,909,909,contextualist
MS-0024,0.383,0.543,0.45,0.556,0.444,0.456,mup,3,908,911,probabilist
MS-0025,0.515,0.635,1.0,0.693,0.719,0.176,mup,3,908,911,probabilist
MS-0026,0.336,0.789,0.376,0.309,0.416,0.338,disputed,2,909,911,probabilist
MS-0027,0.649,0.644,0.424,0.567,0.72,0.753,mup,2,910,911,certainist
MS-0028,0.808,0.901,0.63,0.834,0.781,0.803,verified,1,908,909,probabilist
MS-0029,0.421,0.574,0.651,0.636,0.425,0.622,mup,1,910,911,contextualist
MS-0030,0.842,0.915,0.808,0.781,0.838,0.884,verified,0,908,908,certainist
MS-0031,0.38,0.574,0.42,0.51,0.31,0.28,mup,2,908,910,certainist
MS-0032,0.842,0.866,0.993,0.775,0.898,0.79,verified,1,910,911,certainist
MS-0033,0.592,0.471,0.373,0.552,0.265,0.475,mup,3,909,911,certainist
MS-0034,0.889,0.913,0.873,0.996,0.878,0.836,verified,0,909,909,certainist
MS-0035,0.365,0.476,0.178,0.154,0.495,0.402,mup,4,908,911,contextualist
MS-0036,0.293,0.732,0.324,0.295,0.421,0.177,disputed,3,910,911,probabilist
MS-0037,0.254,0.704,0.131,0.394,0.277,0.25,disputed,2,910,911,certainist
MS-0038,0.615,0.623,0.441,0.731,0.81,0.901,mup,4,908,911,suspensionist
MS-0039,0.198,0.931,0.107,0.359,0.249,0.047,forged,0,910,910,certainist
MS-0040,0.608,0.609,0.655,0.88,0.484,0.639,mup,1,908,909,contextualist
MS-0041,0.845,0.918,0.97,0.903,0.788,0.921,verified,1,909,910,suspensionist
MS-0042,0.955,0.893,1.0,1.0,0.952,0.993,verified,1,909,910,probabilist
MS-0043,0.385,0.554,0.463,0.327,0.539,0.429,mup,3,910,911,contextualist
MS-0044,0.29,0.761,0.34,0.38,0.22,0.23,disputed,2,909,911,probabilist
MS-0045,0.626,0.551,0.468,0.472,0.854,0.853,mup,2,909,911,probabilist
MS-0046,0.82,0.912,0.654,0.911,0.744,0.665,verified,0,910,910,contextualist
MS-0047,0.44,0.511,0.51,0.62,0.38,0.34,mup,1,910,911,contextualist
MS-0048,0.52,0.514,0.58,0.71,0.41,0.38,mup,1,910,911,probabilist
MS-0049,0.34,0.745,0.354,0.293,0.423,0.389,disputed,1,908,909,contextualist
MS-0050,0.832,0.857,0.891,0.841,0.678,0.856,verified,0,910,910,probabilist
MS-0051,0.465,0.622,0.397,0.515,0.344,0.172,mup,3,909,911,probabilist
MS-0052,0.559,0.477,0.372,0.601,0.625,0.521,mup,1,910,911,suspensionist
