survey_id,year,cartographer,target_system,layer_name,component_type,circuit_status,activation_pattern,sparsity_index,interpretability_score,causal_importance,notes
MC-001,921,Tessyn Korr,Modular Predictor Alpha,embedding,token_embedding,identified,periodic,0.72,0.89,0.95,"Clean Fourier structure observed"
MC-002,921,Tessyn Korr,Modular Predictor Alpha,embedding,position_encoding,identified,fixed,0.85,0.91,0.78,"Fixed positional patterns"
MC-003,921,Tessyn Korr,Modular Predictor Alpha,attention,query_projection,identified,periodic,0.68,0.82,0.88,"Frequency-specific attention"
MC-004,921,Tessyn Korr,Modular Predictor Alpha,attention,key_projection,identified,periodic,0.71,0.84,0.87,"Complementary to query patterns"
MC-005,921,Tessyn Korr,Modular Predictor Alpha,attention,value_projection,partial,mixed,0.55,0.67,0.72,"Multiple frequency components"
MC-006,921,Tessyn Korr,Modular Predictor Alpha,attention,output_projection,identified,sparse,0.78,0.76,0.81,"Clean output routing"
MC-007,921,Tessyn Korr,Modular Predictor Alpha,mlp,input_weights,partial,dense,0.34,0.58,0.91,"Trigonometric computation layer"
MC-008,921,Tessyn Korr,Modular Predictor Alpha,mlp,hidden_activations,identified,sinusoidal,0.67,0.88,0.94,"Clear sine/cosine responses"
MC-009,921,Tessyn Korr,Modular Predictor Alpha,mlp,output_weights,identified,sparse,0.82,0.79,0.89,"Frequency-to-logit mapping"
MC-010,921,Tessyn Korr,Modular Predictor Alpha,unembedding,logit_projection,identified,periodic,0.76,0.92,0.97,"Final readout mechanism"
MC-011,921,Tessyn Korr,Modular Predictor Beta,embedding,token_embedding,partial,noisy,0.45,0.52,0.78,"Pre-grokking snapshot"
MC-012,921,Tessyn Korr,Modular Predictor Beta,attention,full_circuit,unidentified,chaotic,0.22,0.31,0.65,"Memorization-dominant state"
MC-013,921,Tessyn Korr,Modular Predictor Beta,mlp,hidden_activations,unidentified,irregular,0.28,0.35,0.71,"No clear sinusoidal pattern"
MC-014,922,Tessyn Korr,Modular Predictor Gamma,embedding,token_embedding,identified,periodic,0.69,0.86,0.93,"Different key frequencies than Alpha"
MC-015,922,Tessyn Korr,Modular Predictor Gamma,mlp,hidden_activations,identified,sinusoidal,0.71,0.91,0.96,"Stronger frequency concentration"
MC-016,922,Tessyn Korr,Division Engine,embedding,token_embedding,identified,periodic,0.65,0.83,0.91,"Adapted for division operation"
MC-017,922,Tessyn Korr,Division Engine,mlp,hidden_activations,partial,complex,0.51,0.72,0.85,"More complex trig computations"
MC-018,922,Tessyn Korr,Multiplication Engine,embedding,token_embedding,identified,periodic,0.73,0.88,0.94,"Similar to addition pattern"
