case_id,date,region,task_description,wrong_pattern,correct_pattern,mismatch_type,time_wasted_minutes,outcome_with_wrong,outcome_after_switch,root_cause,lesson_learned
MC-001,849-08-18,western,Single complex document with multiple claims,intake_triager,verification_specialist,depth_vs_volume,30,failure,success,Volume-first bias,Complex documents need verification first
MC-002,849-09-15,western,Oscillating instability between source and document,verification_specialist,escalation_analyst,persistence_vs_limits,45,failure,success,Persisted when should escalate,RED signals require escalation consideration
MC-003,849-10-22,eastern,New reference creation treated as verification,verification_specialist,cross_reference_builder,checking_vs_creating,25,partial,success,Confused verification with creation,Creation and verification are different tasks
MC-004,849-11-08,northern,Winter document processing at normal speed,intake_triager,intake_triager_seasonal,seasonal_blindness,20,partial,success,Ignored calendar factors,Seasonal adjustments are mandatory
MC-005,849-12-05,northern,RED winter document verification attempt,verification_specialist,escalation_analyst,persistence_vs_limits,55,failure,success,Pushed through RED signal,RED in winter requires immediate escalation
MC-006,850-02-01,western,Complex intake without pre-verification,intake_triager,verification_specialist,complexity_underestimate,25,partial,success,Didn't assess complexity first,Verify before triaging complex items
MC-007,849-09-05,western,Mixed batch with problematic items,intake_triager,triage_then_escalate,all_or_nothing,35,failure,success,Tried to handle everything,Separate handleable from escalatable
MC-008,849-10-05,eastern,Suspected drift without verification first,classification_repairer,verification_specialist,repair_before_diagnosis,20,partial,success,Assumed classification was wrong,Verify the problem before repairing
MC-009,849-11-15,northern,New winter cross-reference attempt,cross_reference_builder,escalation_analyst,seasonal_mismatch,40,failure,success,Created in unstable season,Avoid reference creation in RED months
MC-010,850-01-08,western,High-stakes verification with YELLOW source,verification_specialist,escalation_analyst,risk_underestimate,30,partial,success,Proceeded despite instability,High stakes + instability = escalation
MC-011,849-08-25,eastern,Bulk repair without cascade check,classification_repairer,classification_repairer_cascade,single_pass_assumption,45,partial,success,Expected one-pass fix,Repairs often reveal more issues
MC-012,849-10-15,western,Reference to unstable endpoint,cross_reference_builder,verification_specialist,endpoint_not_assessed,35,failure,success,Didn't check endpoint stability,Assess both endpoints before linking
MC-013,849-12-12,northern,Transitional month normal processing,verification_specialist,verification_specialist_cautious,buffer_ignored,25,partial,success,Standard thresholds in transition,Transitional months need extra buffer
MC-014,850-01-25,eastern,Volume spike without priority scoring,intake_triager,intake_triager_prioritized,undifferentiated_batch,30,partial,success,Treated all items equally,Priority scoring essential at high volume
MC-015,849-09-28,western,Escalation avoided due to pride,verification_specialist,escalation_analyst,escalation_resistance,60,failure,success,Didn't want to admit limits,Escalation is success not failure
MC-016,850-02-18,northern,Spring transition reference creation,cross_reference_builder,cross_reference_builder_marked,stability_prediction_skipped,20,partial,success,Assumed spring was stable,Mark all transitional references for review
MC-017,849-11-22,eastern,Cascade repair with incomplete mapping,classification_repairer,classification_repairer_mapped,root_cause_not_found,40,partial,success,Fixed symptoms not cause,Map full cascade before repairing
MC-018,850-03-05,western,Boundary-adjacent content processed normally,verification_specialist,escalation_analyst,sensitivity_missed,35,partial,success,Didn't recognize boundary content,Boundary content often needs escalation
MC-019,849-10-08,northern,Pre-winter verification without buffer,verification_specialist,verification_specialist_buffered,seasonal_preparation,15,partial,success,Used summer thresholds,Adjust thresholds before season change
MC-020,850-02-28,eastern,Complex document routed without verification,intake_triager,verification_then_route,complexity_routing,25,partial,success,Routed before understanding,Verify complex items before routing decisions
