form_id,form_name,form_category,dim_1_symmetry,dim_2_complexity,dim_3_mobility,dim_4_durability,dim_5_reactivity,nearest_neighbor_id,nearest_neighbor_distance,cluster_id,pol_classification,realized_instances
FORM-0099,Cipher Stone,artifact,0.268,0.825,0,0.703,0.22,FORM-0109,0.1454,0,complex_dominant,258
FORM-0074,Mineral Tree (Variant 9),plant,0.749,0.406,0.394,0.466,0.264,FORM-0071,0.1598,6,symmetric_dominant,74663
FORM-0169,Survey Station (Variant 4),architectural,0.286,0.667,0.068,0.466,0.058,FORM-0116,0.1112,0,complex_dominant,17
FORM-0183,Column Barracks (Variant 18),architectural,0.567,0.735,0,0.421,0,FORM-0111,0.0729,5,complex_dominant,28
FORM-0176,Stone Waypoint (Variant 11),architectural,0.635,0.566,0.028,0.444,0.093,FORM-0199,0.0917,3,symmetric_dominant,37
FORM-0146,Trader Token (Variant 36),artifact,0.127,0.48,0.036,0.384,0.211,FORM-0093,0.1661,7,complex_dominant,50
FORM-0049,Grimslew Fish (Variant 24),creature,0.216,0.502,0.581,0.481,0.546,FORM-0030,0.1494,4,mobile_dominant,4017
FORM-0091,Archivist Compass,artifact,0.242,0.623,0.133,0.39,0.27,FORM-0122,0.0886,0,complex_dominant,60
FORM-0191,Cartographer's Office (Variant 26),architectural,0.67,0.652,0.155,0.352,0.158,FORM-0059,0.0925,6,symmetric_dominant,12
FORM-0101,Expedition Lamp,artifact,0.484,0.451,0,0.646,0.141,FORM-0126,0.0545,6,durable_dominant,26
FORM-0158,Marsh Bridge,architectural,0.623,0.615,0.159,0.596,0.179,FORM-0185,0.0968,5,symmetric_dominant,15
FORM-0151,Tower of Mirado,architectural,0.343,0.932,0.084,0.633,0,FORM-0140,0.0969,4,complex_dominant,21
FORM-0092,Mapping Sphere,artifact,0.411,0.689,0,0.418,0.173,FORM-0095,0.0787,5,complex_dominant,322
FORM-0078,Salt Shrub (Variant 13),plant,0.757,0.411,0.093,0.477,0.226,FORM-0063,0.1229,4,symmetric_dominant,1662
FORM-0180,Column Barracks (Variant 15),architectural,0.732,0.79,0.034,0.63,0.113,FORM-0178,0.142,3,complex_dominant,19
FORM-0001,Leatherback Burrower,creature,0.949,0.802,0.716,0.562,0.562,FORM-0043,0.1819,1,symmetric_dominant,4251
FORM-0194,Column Barracks (Variant 29),architectural,0.163,0.575,0,0.288,0,FORM-0121,0.1546,7,complex_dominant,30
FORM-0143,Expedition Lamp (Variant 33),artifact,0.246,0.592,0.028,0.567,0,FORM-0169,0.1496,0,complex_dominant,350
FORM-0063,Cave Bloom,plant,0.726,0.355,0.182,0.523,0.195,FORM-0078,0.1229,6,symmetric_dominant,61735
FORM-0117,Mapping Sphere (Variant 7),artifact,0.445,0.472,0,0.376,0.029,FORM-0147,0.1158,7,complex_dominant,4
FORM-0040,Tunnel Cat (Variant 15),creature,0.348,0.678,0.701,0.487,0.88,FORM-0024,0.1608,5,reactive_dominant,1820
FORM-0156,Column Barracks,architectural,0.609,0.624,0.103,0.529,0,FORM-0181,0.0677,4,complex_dominant,4
FORM-0066,Swamp Lily (Variant 1),plant,0.594,0.482,0.062,0.327,0.33,FORM-0060,0.1089,3,symmetric_dominant,34096
FORM-0127,Memory Vessel (Variant 17),artifact,0.327,0.434,0.138,0.424,0.093,FORM-0105,0.1294,1,complex_dominant,454
