journey_id,step_number,navigator,destination_name,current_position_x,current_position_y,destination_x,destination_y,estimated_gradient_x,estimated_gradient_y,actual_gradient_x,actual_gradient_y,gradient_error,step_size_taken,new_position_x,new_position_y,distance_to_destination,voss_confidence,destination_paradox_triggered
NAV-0001,1,Rellen Voss,Dead River Camp,228.17,176.6,180,120,-0.7098,-0.7044,-0.6481,-0.7616,0.0841,18.67,214.92,163.45,55.74,0.77,False
NAV-0001,2,Rellen Voss,Dead River Camp,214.92,163.45,180,120,-0.8376,-0.5462,-0.6264,-0.7795,0.3147,19.84,198.3,152.62,37.4,0.57,False
NAV-0001,3,Rellen Voss,Dead River Camp,198.3,152.62,180,120,-0.5147,-0.8574,-0.4893,-0.8721,0.0294,12.57,191.83,141.84,24.84,0.9,False
NAV-0001,4,Rellen Voss,Dead River Camp,191.83,141.84,180,120,-0.7279,-0.6857,-0.4763,-0.8793,0.3175,7.03,186.72,137.02,18.3,0.63,False
NAV-0001,5,Rellen Voss,Dead River Camp,186.72,137.02,180,120,-0.2893,-0.9572,-0.367,-0.9302,0.0823,6.23,184.91,131.06,12.1,0.88,False
NAV-0001,6,Rellen Voss,Dead River Camp,184.91,131.06,180,120,-0.662,-0.7495,-0.406,-0.9139,0.3042,4.1,182.2,127.99,8.29,0.67,False
NAV-0001,7,Rellen Voss,Dead River Camp,182.2,127.99,180,120,-0.4842,-0.8749,-0.2656,-0.9641,0.2361,2.08,181.19,126.17,6.29,0.75,False
NAV-0001,8,Rellen Voss,Dead River Camp,181.19,126.17,180,120,-0.2813,-0.9596,-0.1901,-0.9818,0.0939,1.69,180.72,124.55,4.61,0.89,False
NAV-0002,1,Captain Vrell,Tower of Mirado,-32.6,143.05,-50,200,-0.7095,0.7047,-0.2922,0.9564,0.4873,16.67,-44.43,154.8,45.54,0.39,False
NAV-0002,2,Captain Vrell,Tower of Mirado,-44.43,154.8,-50,200,-0.3783,0.9257,-0.1223,0.9925,0.2646,16.06,-50.51,169.67,30.34,0.64,False
NAV-0002,3,Captain Vrell,Tower of Mirado,-50.51,169.67,-50,200,0.29,0.957,0.0167,0.9999,0.2767,8.64,-48.0,177.93,22.16,0.66,False
NAV-0002,4,Captain Vrell,Tower of Mirado,-48.0,177.93,-50,200,0.0585,0.9983,-0.0903,0.9959,0.1487,7.35,-47.57,185.28,14.92,0.81,False
NAV-0002,5,Captain Vrell,Tower of Mirado,-47.57,185.28,-50,200,-0.0112,0.9999,-0.1628,0.9867,0.1522,5.35,-47.63,190.62,9.67,0.82,False
NAV-0002,6,Captain Vrell,Tower of Mirado,-47.63,190.62,-50,200,-0.4976,0.8674,-0.245,0.9695,0.2725,3.34,-49.29,193.52,6.52,0.71,False
NAV-0002,7,Captain Vrell,Tower of Mirado,-49.29,193.52,-50,200,-0.2286,0.9735,-0.1086,0.9941,0.1218,1.94,-49.74,195.41,4.6,0.87,False
NAV-0003,1,Senna Grell,Dens Border,149.68,-118.51,100,-50,-0.9991,0.0418,-0.587,0.8096,0.8714,22.94,126.76,-117.55,72.66,0.1,False
NAV-0003,2,Senna Grell,Dens Border,126.76,-117.55,100,-50,-0.7892,0.6142,-0.3683,0.9297,0.526,17.12,113.25,-107.04,58.56,0.33,False
NAV-0003,3,Senna Grell,Dens Border,113.25,-107.04,100,-50,0.109,0.994,-0.2263,0.9741,0.3358,19.3,115.35,-87.86,40.85,0.55,False
NAV-0003,4,Senna Grell,Dens Border,115.35,-87.86,100,-50,-0.5078,0.8615,-0.3758,0.9267,0.1472,11.19,109.67,-78.22,29.83,0.77,False
NAV-0003,5,Senna Grell,Dens Border,109.67,-78.22,100,-50,-0.2816,0.9595,-0.3242,0.946,0.0448,9.31,107.05,-69.28,20.53,0.9,False
NAV-0003,6,Senna Grell,Dens Border,107.05,-69.28,100,-50,0.0198,0.9998,-0.3434,0.9392,0.3682,6.04,107.17,-63.24,15.06,0.59,False
NAV-0003,7,Senna Grell,Dens Border,107.17,-63.24,100,-50,-0.5703,0.8214,-0.4762,0.8793,0.1105,5.31,104.14,-58.88,9.8,0.86,False
NAV-0003,8,Senna Grell,Dens Border,104.14,-58.88,100,-50,-0.3905,0.9206,-0.4227,0.9063,0.0353,3.2,102.89,-55.94,6.6,0.95,False
