communication_id,date,sender,sender_region,receiver,receiver_region,communication_type,topic,dispute_referenced,trust_stage,outcome
NC-001,850-01-15,morrin_kade,densmok,tommel_g,densmok,in_person,oral_tradition_compilation,none,exchange,successful
NC-002,850-01-22,morrin_kade,densmok,renna_v,border_services,written_coded,fragment_verification,documentation_silence,exchange,successful
NC-003,850-02-01,morrin_kade,densmok,crenla_b,eastern_regional,in_person,fragment_collection,none,protection,successful
NC-004,850-02-08,terin_holt,eastern_regional,morrin_kade,densmok,written_coded,regional_adaptation,supplement_itself,exchange,successful
NC-005,850-02-15,vella_marsh,northern_regional,morrin_kade,densmok,oral_relay,seasonal_notes,none,exchange,successful
NC-006,850-02-22,morrin_kade,densmok,pollux_k,mountain_province,written_coded,dispute_documentation,documentation_silence,exchange,successful
NC-007,850-03-01,jace_t,densmok,morrin_kade,densmok,in_person,attribution_dispute,instructor_morin,testing,partial
NC-008,850-03-08,morrin_kade,densmok,voss_l,densmok,in_person,early_fragment,none,protection,successful
NC-009,850-03-15,renna_v,border_services,terin_holt,eastern_regional,written_coded,adaptation_sharing,reform_survival,exchange,successful
NC-010,850-03-22,crenla_b,eastern_regional,vella_marsh,northern_regional,oral_relay,stability_discussion,instability_causes,exchange,partial
NC-011,850-04-01,morrin_kade,densmok,dessa_morin,densmok,in_person,dispute_review,documentation_silence,protection,successful
NC-012,850-04-08,pollux_k,mountain_province,renna_v,border_services,written_coded,coding_methods,documentation_silence,exchange,successful
NC-013,850-04-15,tommel_g,densmok,morrin_kade,densmok,in_person,quote_verification,instructor_morin,exchange,successful
NC-014,850-04-22,vella_marsh,northern_regional,crenla_b,eastern_regional,oral_relay,audit_warning,none,protection,successful
NC-015,850-05-01,morrin_kade,densmok,terin_holt,eastern_regional,written_coded,pattern_sharing,supplement_itself,exchange,successful
NC-016,850-05-08,anonymous_1,northern_regional,morrin_kade,densmok,written_coded,position_statement,responsibility,testing,partial
NC-017,850-05-15,dessa_morin,densmok,morrin_kade,densmok,in_person,trust_methodology,none,protection,successful
NC-018,850-05-22,renna_v,border_services,pollux_k,mountain_province,in_person,survival_strategies,reform_survival,exchange,successful
NC-019,850-06-01,crenla_b,eastern_regional,morrin_kade,densmok,written_coded,case_study,none,exchange,successful
NC-020,850-06-08,terin_holt,eastern_regional,vella_marsh,northern_regional,oral_relay,adaptation_debate,supplement_itself,exchange,partial
