log_id,session_id,observer_id,date,blank_outs_observed,other_episodes_observed,kitchum_engagement_score,student_anxiety_score,attention_level,observer_mood,notes,minutes_observed
OBS0001,CLS0245,S002,2021-01-15,0,1,5,2,high,focused,,48
OBS0002,CLS0245,S003,2021-01-15,0,1,4,3,medium,curious,,48
OBS0003,CLS0245,S004,2021-01-15,0,1,4,1,high,sad,,46
OBS0004,CLS0245,S005,2021-01-15,0,1,5,3,low,sad,,43
OBS0005,CLS0246,S002,2021-01-18,0,0,1,4,high,worried,,48
OBS0006,CLS0246,S003,2021-01-18,0,0,5,2,high,sad,,44
OBS0007,CLS0246,S004,2021-01-18,0,0,4,3,high,focused,,41
OBS0008,CLS0246,S005,2021-01-18,0,0,1,2,low,worried,,40
OBS0009,CLS0247,S002,2021-01-20,0,0,1,4,medium,worried,,41
OBS0010,CLS0247,S003,2021-01-20,0,0,5,4,low,detached,,48
OBS0011,CLS0247,S004,2021-01-20,0,0,1,3,high,worried,,49
OBS0012,CLS0247,S005,2021-01-20,0,0,2,4,low,focused,,47
OBS0013,CLS0248,S002,2021-01-22,0,0,3,4,low,curious,,40
OBS0014,CLS0248,S003,2021-01-22,0,0,5,1,high,focused,,44
OBS0015,CLS0248,S004,2021-01-22,0,0,2,1,low,focused,,43
OBS0016,CLS0248,S005,2021-01-22,0,0,2,2,medium,sad,,50
OBS0017,CLS0249,S002,2021-01-25,0,0,5,4,medium,focused,,50
OBS0018,CLS0249,S003,2021-01-25,0,0,4,4,high,focused,,42
OBS0019,CLS0249,S004,2021-01-25,0,0,5,4,medium,sad,,45
OBS0020,CLS0249,S005,2021-01-25,0,0,3,3,high,sad,,45
OBS0021,CLS0250,S002,2021-01-27,0,1,4,4,high,curious,,49
OBS0022,CLS0250,S003,2021-01-27,0,1,5,2,medium,detached,,48
OBS0023,CLS0250,S004,2021-01-27,0,1,3,4,high,detached,,46
OBS0024,CLS0250,S005,2021-01-27,0,0,5,1,high,sad,No deviations from baseline,42
OBS0025,CLS0251,S002,2021-01-29,0,0,1,3,high,worried,,43
OBS0026,CLS0251,S003,2021-01-29,0,0,1,3,high,sad,,48
OBS0027,CLS0251,S004,2021-01-29,0,0,1,1,medium,detached,,45
OBS0028,CLS0251,S005,2021-01-29,0,0,5,2,high,worried,No deviations from baseline,44
OBS0029,CLS0252,S002,2021-02-01,0,1,1,4,high,sad,,43
OBS0030,CLS0252,S003,2021-02-01,0,1,3,4,low,worried,,47
OBS0031,CLS0252,S004,2021-02-01,0,1,5,3,low,focused,,49
OBS0032,CLS0252,S005,2021-02-01,0,1,3,3,low,detached,,46
OBS0033,CLS0253,S002,2021-02-03,0,0,2,1,low,detached,,40
OBS0034,CLS0253,S003,2021-02-03,0,0,5,1,high,curious,,48
OBS0035,CLS0253,S004,2021-02-03,0,0,3,2,medium,worried,,40
OBS0036,CLS0253,S005,2021-02-03,0,0,4,1,high,worried,,46
OBS0037,CLS0254,S002,2021-02-05,0,0,4,2,high,worried,,45
OBS0038,CLS0254,S003,2021-02-05,0,0,4,1,low,sad,,46
OBS0039,CLS0254,S004,2021-02-05,0,0,1,4,high,sad,,46
OBS0040,CLS0254,S005,2021-02-05,0,0,2,4,medium,sad,,43
OBS0041,CLS0255,S002,2021-02-08,0,0,4,2,high,sad,,49
OBS0042,CLS0255,S003,2021-02-08,0,0,2,1,medium,curious,,46
OBS0043,CLS0255,S004,2021-02-08,0,0,5,1,high,focused,,50
OBS0044,CLS0255,S005,2021-02-08,0,0,3,2,high,curious,,45
OBS0045,CLS0256,S002,2021-02-10,0,0,3,2,low,curious,,49
OBS0046,CLS0256,S003,2021-02-10,0,0,5,2,high,detached,,40
OBS0047,CLS0256,S004,2021-02-10,0,0,2,3,medium,worried,,41
OBS0048,CLS0256,S005,2021-02-10,0,0,5,2,high,curious,Kitchum behaved normally,40
OBS0049,CLS0257,S002,2021-02-12,0,0,1,3,high,detached,,47
OBS0050,CLS0257,S003,2021-02-12,0,0,3,2,low,sad,,43
OBS0051,CLS0257,S004,2021-02-12,0,0,5,3,medium,sad,,47
OBS0052,CLS0257,S005,2021-02-12,0,0,1,4,medium,sad,,50
OBS0053,CLS0258,S002,2021-02-15,0,0,3,2,low,focused,,44
OBS0054,CLS0258,S003,2021-02-15,0,0,5,3,medium,focused,,47
OBS0055,CLS0258,S004,2021-02-15,0,0,1,4,low,curious,,50
OBS0056,CLS0258,S005,2021-02-15,0,0,1,1,high,curious,,50
OBS0057,CLS0259,S002,2021-02-17,0,0,2,4,high,sad,,41
OBS0058,CLS0259,S003,2021-02-17,0,0,4,1,high,worried,,43
OBS0059,CLS0259,S004,2021-02-17,0,0,5,1,high,focused,,43
OBS0060,CLS0259,S005,2021-02-17,0,0,3,4,high,detached,,42
OBS0061,CLS0260,S002,2021-02-19,0,0,3,3,low,curious,,50
OBS0062,CLS0260,S003,2021-02-19,0,0,2,3,high,focused,,50
OBS0063,CLS0260,S004,2021-02-19,0,0,4,1,high,sad,,44
OBS0064,CLS0260,S005,2021-02-19,0,0,2,1,high,detached,Watching carefully - all standard,48
OBS0065,CLS0261,S002,2021-02-22,0,0,4,2,medium,sad,,42
OBS0066,CLS0261,S003,2021-02-22,0,0,3,3,high,detached,,48
OBS0067,CLS0261,S004,2021-02-22,0,0,2,2,medium,sad,,48
OBS0068,CLS0261,S005,2021-02-22,0,0,2,3,medium,sad,,42
OBS0069,CLS0262,S002,2021-02-24,0,0,2,2,high,curious,,41
OBS0070,CLS0262,S003,2021-02-24,0,0,2,3,low,worried,,40
OBS0071,CLS0262,S004,2021-02-24,0,0,4,4,high,curious,,47
OBS0072,CLS0262,S005,2021-02-24,0,0,2,2,high,focused,,42
OBS0073,CLS0263,S002,2021-02-26,0,0,1,3,medium,sad,,49
OBS0074,CLS0263,S003,2021-02-26,0,0,5,2,medium,worried,,50
OBS0075,CLS0263,S004,2021-02-26,0,0,3,1,low,detached,,42
OBS0076,CLS0263,S005,2021-02-26,0,0,3,2,high,detached,,47
OBS0077,CLS0264,S002,2021-03-01,0,2,2,2,high,worried,,43
OBS0078,CLS0264,S003,2021-03-01,0,2,4,1,low,curious,,46
OBS0079,CLS0264,S004,2021-03-01,0,2,2,2,medium,focused,,42
OBS0080,CLS0264,S005,2021-03-01,0,2,5,4,high,curious,,47
OBS0081,CLS0265,S002,2021-03-03,0,1,4,4,medium,focused,,49
OBS0082,CLS0265,S003,2021-03-03,0,1,3,4,high,sad,,49
OBS0083,CLS0265,S004,2021-03-03,0,1,5,1,low,detached,,47
OBS0084,CLS0265,S005,2021-03-03,0,1,2,4,low,focused,,48
OBS0085,CLS0266,S002,2021-03-05,0,0,5,1,high,worried,,44
OBS0086,CLS0266,S003,2021-03-05,0,0,4,3,high,curious,,47
OBS0087,CLS0266,S004,2021-03-05,0,0,4,3,medium,sad,,40
OBS0088,CLS0266,S005,2021-03-05,0,0,4,4,medium,focused,,48
OBS0089,CLS0267,S002,2021-03-08,0,0,2,2,low,detached,,46
OBS0090,CLS0267,S003,2021-03-08,0,0,4,1,high,worried,,47
OBS0091,CLS0267,S004,2021-03-08,0,0,4,1,medium,curious,,45
OBS0092,CLS0267,S005,2021-03-08,0,0,1,1,medium,focused,,47
OBS0093,CLS0268,S002,2021-03-10,0,0,1,4,high,sad,,49
OBS0094,CLS0268,S003,2021-03-10,0,0,4,4,medium,focused,,42
OBS0095,CLS0268,S004,2021-03-10,0,0,5,2,high,worried,,42
OBS0096,CLS0268,S005,2021-03-10,0,0,4,3,intense,curious,Nothing unusual observed,47
OBS0097,CLS0269,S002,2021-03-12,0,1,2,1,high,worried,,43
OBS0098,CLS0269,S003,2021-03-12,0,1,5,3,low,focused,,47
OBS0099,CLS0269,S004,2021-03-12,0,1,4,1,high,sad,,47
OBS0100,CLS0269,S005,2021-03-12,0,0,4,4,intense,detached,Watching carefully - all standard,41
OBS0101,CLS0270,S002,2021-03-15,0,0,2,3,low,sad,,50
OBS0102,CLS0270,S003,2021-03-15,0,0,1,2,medium,worried,,40
OBS0103,CLS0270,S004,2021-03-15,0,0,1,2,high,focused,,50
OBS0104,CLS0270,S005,2021-03-15,0,0,3,1,high,focused,,41
OBS0105,CLS0271,S002,2021-03-17,0,0,2,2,high,curious,,49
OBS0106,CLS0271,S003,2021-03-17,0,0,4,3,medium,focused,,41
OBS0107,CLS0271,S004,2021-03-17,0,0,3,3,high,detached,,41
OBS0108,CLS0271,S005,2021-03-17,0,0,3,4,low,worried,,41
OBS0109,CLS0272,S002,2021-03-19,0,0,3,4,high,sad,,43
OBS0110,CLS0272,S003,2021-03-19,0,0,5,1,medium,focused,,49
OBS0111,CLS0272,S004,2021-03-19,0,0,4,3,low,detached,,49
OBS0112,CLS0272,S005,2021-03-19,0,0,5,3,high,worried,,49
OBS0113,CLS0273,S002,2021-03-22,0,0,5,4,high,detached,,42
OBS0114,CLS0273,S003,2021-03-22,0,0,3,2,medium,focused,,41
OBS0115,CLS0273,S004,2021-03-22,0,0,4,1,low,worried,,49
OBS0116,CLS0273,S005,2021-03-22,0,0,1,3,high,curious,,48
OBS0117,CLS0274,S002,2021-03-24,0,0,1,2,medium,curious,,44
OBS0118,CLS0274,S003,2021-03-24,0,0,3,3,low,sad,,48
OBS0119,CLS0274,S004,2021-03-24,0,0,1,1,high,curious,,45
OBS0120,CLS0274,S005,2021-03-24,0,0,2,2,low,curious,,45
OBS0121,CLS0275,S002,2021-03-26,0,0,4,1,high,worried,,47
OBS0122,CLS0275,S003,2021-03-26,0,0,4,3,medium,detached,,46
OBS0123,CLS0275,S004,2021-03-26,0,0,5,3,low,sad,,50
OBS0124,CLS0275,S005,2021-03-26,0,0,2,3,low,curious,,41
OBS0125,CLS0276,S002,2021-03-29,0,0,3,1,medium,curious,,46
OBS0126,CLS0276,S003,2021-03-29,0,0,5,4,medium,worried,,49
OBS0127,CLS0276,S004,2021-03-29,0,0,3,3,low,focused,,44
OBS0128,CLS0276,S005,2021-03-29,0,0,2,3,high,detached,,44
OBS0129,CLS0277,S002,2021-03-31,0,1,5,3,medium,worried,,41
OBS0130,CLS0277,S003,2021-03-31,0,1,1,2,high,focused,,47
OBS0131,CLS0277,S004,2021-03-31,0,1,4,2,low,worried,,45
OBS0132,CLS0277,S005,2021-03-31,0,1,3,2,high,focused,,48
OBS0133,CLS0278,S002,2021-04-02,0,0,2,1,medium,detached,,46
OBS0134,CLS0278,S003,2021-04-02,0,0,1,3,low,focused,,50
OBS0135,CLS0278,S004,2021-04-02,0,0,3,4,low,focused,,41
OBS0136,CLS0278,S005,2021-04-02,0,0,1,3,high,worried,,45
OBS0137,CLS0279,S002,2021-04-05,0,0,2,3,medium,curious,,48
OBS0138,CLS0279,S003,2021-04-05,0,0,4,1,high,curious,,42
OBS0139,CLS0279,S004,2021-04-05,0,0,3,1,medium,focused,,49
OBS0140,CLS0279,S005,2021-04-05,0,0,2,3,low,sad,,45
OBS0141,CLS0280,S002,2021-04-07,0,0,2,3,high,sad,,43
OBS0142,CLS0280,S003,2021-04-07,0,0,1,3,medium,sad,,45
OBS0143,CLS0280,S004,2021-04-07,0,0,1,2,high,focused,,47
OBS0144,CLS0280,S005,2021-04-07,0,0,1,4,low,focused,,41
OBS0145,CLS0281,S002,2021-04-09,0,0,4,2,high,sad,,49
OBS0146,CLS0281,S003,2021-04-09,0,0,5,3,high,curious,,45
OBS0147,CLS0281,S004,2021-04-09,0,0,5,1,medium,detached,,49
OBS0148,CLS0281,S005,2021-04-09,0,0,1,4,intense,curious,Watching carefully - all standard,50
OBS0149,CLS0282,S002,2021-04-12,0,0,4,2,high,worried,,42
OBS0150,CLS0282,S003,2021-04-12,0,0,3,4,high,worried,,50
OBS0151,CLS0282,S004,2021-04-12,0,0,3,4,high,detached,,40
OBS0152,CLS0282,S005,2021-04-12,0,0,4,4,high,worried,No deviations from baseline,44
OBS0153,CLS0283,S002,2021-04-14,0,1,5,2,high,sad,,41
OBS0154,CLS0283,S003,2021-04-14,0,1,1,3,high,sad,,50
OBS0155,CLS0283,S004,2021-04-14,0,1,3,4,low,detached,,49
OBS0156,CLS0283,S005,2021-04-14,0,1,5,2,medium,detached,,46
OBS0157,CLS0284,S002,2021-04-16,0,0,3,2,low,sad,,46
OBS0158,CLS0284,S003,2021-04-16,0,0,5,3,high,sad,,43
OBS0159,CLS0284,S004,2021-04-16,0,0,1,4,medium,focused,,49
OBS0160,CLS0284,S005,2021-04-16,0,0,5,1,high,detached,,42
OBS0161,CLS0285,S002,2021-04-19,0,0,4,1,high,sad,,41
OBS0162,CLS0285,S003,2021-04-19,0,0,3,4,high,focused,,41
OBS0163,CLS0285,S004,2021-04-19,0,0,2,1,medium,worried,,50
OBS0164,CLS0285,S005,2021-04-19,0,0,4,4,intense,worried,No deviations from baseline,43
OBS0165,CLS0286,S002,2021-04-21,0,0,3,3,high,detached,,45
OBS0166,CLS0286,S003,2021-04-21,0,0,5,1,low,sad,,48
OBS0167,CLS0286,S004,2021-04-21,0,0,2,3,high,focused,,45
OBS0168,CLS0286,S005,2021-04-21,0,0,1,3,low,focused,,44
OBS0169,CLS0287,S002,2021-04-23,0,1,2,4,low,sad,,46
OBS0170,CLS0287,S003,2021-04-23,0,1,4,4,high,detached,,46
OBS0171,CLS0287,S004,2021-04-23,0,1,2,4,medium,worried,,43
OBS0172,CLS0287,S005,2021-04-23,0,1,4,2,high,curious,,50
OBS0173,CLS0288,S002,2021-04-26,0,0,2,1,medium,focused,,50
OBS0174,CLS0288,S003,2021-04-26,0,0,2,4,low,detached,,42
OBS0175,CLS0288,S004,2021-04-26,0,0,2,4,low,detached,,49
