text_id,densworld_text,densworld_author,densworld_year,real_world_text,real_world_author,real_world_year,shared_concept
1,"The weights are keys. The shape is the lock.",Vornis Keth,1856,"The map is not the territory.",Alfred Korzybski,1931,Representation vs. reality
2,"A fearful observer sees landmarks in different positions than a calm observer.",Vornis Keth,1847,"The observer is part of the system being observed.",Werner Heisenberg,1927,Observer dependence
3,"The dens is not older than you. The dens is contemporaneous.",Archon Prebel,1865,"There are no isolated systems. Every system is embedded in and interacts with an environment.",Ilya Prigogine,1984,Relational ontology
4,"The cage is not the bird.",Vornis Keth,1852,"The word is not the thing.",Alfred Korzybski,1933,Classification vs. reality
5,"Space is not a container. It is a relationship.",Thurmond Gast,1858,"Space is not something that exists prior to things. Space is the set of relations among things.",Gottfried Leibniz,1715,Relational space
6,"The moat was an engineering project. It became an institution. And the institution became a way of thinking.",Unna Krehl,1860,"We shape our tools and thereafter our tools shape us.",Marshall McLuhan,1964,Institutional path dependence
7,"They count the meters. They do not see the valley.",Vornis Keth,1851,"Not everything that counts can be counted, and not everything that can be counted counts.",William Bruce Cameron,1963,Measurement limitations
8,"I let it in.",Yeller,unknown,"The only way out is through.",Robert Frost,1914,Acceptance vs. resistance
9,"At plural sites, two observers see the same landmark in different places—and both are correct.",Esseny Moll,1872,"The electron... takes both paths.",Richard Feynman,1965,Superposition / wave-particle duality
10,"The Archive is not preserving phenomena—it is destroying them.",Archivist Dren,1875,"The act of naming is the act of taming.",Claude Lévi-Strauss,1962,Performativity of classification
11,"When you map the borders of the dens, you are not mapping something that was there before you.",Archon Prebel,1865,"Reality is not something you are given but something you participate in creating.",John Archibald Wheeler,1983,Participatory universe
12,"The boundary is not failing because the dens is encroaching. The boundary is failing because it sits on a slope we cannot see.",Vornis Keth,1847,"Gravity is not a force but a curvature of spacetime.",Albert Einstein,1915,Hidden geometry
13,"Human language captures shape data instruments miss.",Vornis Keth,1843,"The body knows things that the mind has forgotten.",Maurice Merleau-Ponty,1945,Embodied knowledge
14,"The dens speaks in shapes. And so, unknowingly, do we.",Vornis Keth,1843,"We don't see things as they are, we see them as we are.",Anaïs Nin,1961,Perspectival perception
15,"A thing with priority comes first and determines what follows. A thing with persistence merely refuses to leave.",Archon Prebel,1865,"Process is the fundamental category. Substances are derivative.",Alfred North Whitehead,1929,Process over substance
