expression_id,expression_name,lambda_notation,mund_notation,expression_type,bound_variables,free_variables,complexity_depth,year_documented,documented_by,source_manuscript,notes
PCE-001,Identity,λx.x,passage(x).x,identity,x,none,1,722,Kelleth Mund,On the Reduction of Structure,The simplest passage - returns what it receives unchanged
PCE-002,Self-Application,λx.(x x),passage(x).(x x),combinator,x,none,2,724,Kelleth Mund,On the Reduction of Structure,A passage that applies its input to itself
PCE-003,Constant True,λx.λy.x,passage(x).passage(y).x,boolean,x;y,none,2,738,Kelleth Mund,On Church Numerals,Returns the first of two arguments - the TRUE passage
PCE-004,Constant False,λx.λy.y,passage(x).passage(y).y,boolean,x;y,none,2,738,Kelleth Mund,On Church Numerals,Returns the second of two arguments - the FALSE passage
PCE-005,Church Zero,λf.λx.x,passage(f).passage(x).x,numeral,f;x,none,2,738,Kelleth Mund,On Church Numerals,Zero applications of f to x
PCE-006,Church One,λf.λx.(f x),passage(f).passage(x).(f x),numeral,f;x,none,2,738,Kelleth Mund,On Church Numerals,One application of f to x
PCE-007,Church Two,λf.λx.(f (f x)),passage(f).passage(x).(f (f x)),numeral,f;x,none,3,738,Kelleth Mund,On Church Numerals,Two applications of f to x
PCE-008,Church Three,λf.λx.(f (f (f x))),passage(f).passage(x).(f (f (f x))),numeral,f;x,none,4,738,Kelleth Mund,On Church Numerals,Three applications of f to x
PCE-009,Church Four,λf.λx.(f (f (f (f x)))),passage(f).passage(x).(f (f (f (f x)))),numeral,f;x,none,5,739,Kelleth Mund,The Passage Calculus,Four applications of f to x
PCE-010,Church Five,λf.λx.(f (f (f (f (f x))))),passage(f).passage(x).(f (f (f (f (f x))))),numeral,f;x,none,6,739,Kelleth Mund,The Passage Calculus,Five applications of f to x
PCE-011,Successor,λn.λf.λx.(f ((n f) x)),passage(n).passage(f).passage(x).(f ((n f) x)),arithmetic,n;f;x,none,3,739,Kelleth Mund,The Passage Calculus,Adds one to a Church numeral
PCE-012,Addition,λm.λn.λf.λx.((m f) ((n f) x)),passage(m).passage(n).passage(f).passage(x).((m f) ((n f) x)),arithmetic,m;n;f;x,none,4,740,Kelleth Mund,The Passage Calculus,Adds two Church numerals
PCE-013,Multiplication,λm.λn.λf.(m (n f)),passage(m).passage(n).passage(f).(m (n f)),arithmetic,m;n;f,none,3,740,Kelleth Mund,The Passage Calculus,Multiplies two Church numerals
PCE-014,Exponentiation,λm.λn.(n m),passage(m).passage(n).(n m),arithmetic,m;n,none,2,741,Kelleth Mund,The Passage Calculus,Raises m to power n
PCE-015,AND,λp.λq.((p q) p),passage(p).passage(q).((p q) p),boolean,p;q,none,2,741,Kelleth Mund,On Boolean Passages,Logical AND using Church booleans
PCE-016,OR,λp.λq.((p p) q),passage(p).passage(q).((p p) q),boolean,p;q,none,2,741,Kelleth Mund,On Boolean Passages,Logical OR using Church booleans
PCE-017,NOT,λp.λa.λb.((p b) a),passage(p).passage(a).passage(b).((p b) a),boolean,p;a;b,none,3,741,Kelleth Mund,On Boolean Passages,Logical NOT - swaps arguments
PCE-018,IF-THEN-ELSE,λp.λa.λb.((p a) b),passage(p).passage(a).passage(b).((p a) b),boolean,p;a;b,none,3,741,Kelleth Mund,On Boolean Passages,Conditional selection
PCE-019,Pair Constructor,λx.λy.λf.((f x) y),passage(x).passage(y).passage(f).((f x) y),pair,x;y;f,none,3,742,Kelleth Mund,On Passage Pairs,Creates a pair from two values
PCE-020,First Projection,λp.(p (λx.λy.x)),passage(p).(p passage(x).passage(y).x),pair,p;x;y,none,3,742,Kelleth Mund,On Passage Pairs,Extracts first element of pair
PCE-021,Second Projection,λp.(p (λx.λy.y)),passage(p).(p passage(x).passage(y).y),pair,p;x;y,none,3,742,Kelleth Mund,On Passage Pairs,Extracts second element of pair
PCE-022,Omega,((λx.(x x)) (λx.(x x))),((passage(x).(x x)) (passage(x).(x x))),combinator,x,none,3,752,Kelleth Mund,On Self-Reference,The simplest non-terminating passage - reduces to itself
PCE-023,Y Combinator,λf.((λx.(f (x x))) (λx.(f (x x)))),passage(f).((passage(x).(f (x x))) (passage(x).(f (x x)))),combinator,f;x,none,4,752,Kelleth Mund,On Self-Reference,Fixed point combinator - enables recursion
PCE-024,Z Combinator,λf.((λx.(f (λv.((x x) v)))) (λx.(f (λv.((x x) v))))),passage(f).((passage(x).(f (passage(v).((x x) v)))) (passage(x).(f (passage(v).((x x) v))))),combinator,f;x;v,none,5,753,Kelleth Mund,On Self-Reference,Call-by-value fixed point combinator
PCE-025,Kestrel (K),λx.λy.x,passage(x).passage(y).x,combinator,x;y,none,2,745,Jorell Vance,On Combinatorial Reduction,Constant combinator - discards second argument
PCE-026,Starling (S),λx.λy.λz.((x z) (y z)),passage(x).passage(y).passage(z).((x z) (y z)),combinator,x;y;z,none,3,745,Jorell Vance,On Combinatorial Reduction,Distribution combinator
PCE-027,Identity (I),λx.x,passage(x).x,combinator,x,none,1,745,Jorell Vance,On Combinatorial Reduction,Identity combinator - equivalent to ((S K) K)
PCE-028,Mockingbird (M),λf.(f f),passage(f).(f f),combinator,f,none,2,746,Jorell Vance,On Combinatorial Reduction,Self-application combinator
PCE-029,Thrush (T),λx.λy.(y x),passage(x).passage(y).(y x),combinator,x;y,none,2,746,Jorell Vance,On Combinatorial Reduction,Cardinal once removed - flips arguments
PCE-030,Warbler (W),λx.λy.((x y) y),passage(x).passage(y).((x y) y),combinator,x;y,none,3,746,Jorell Vance,On Combinatorial Reduction,Doubles the second argument
PCE-031,Cardinal (C),λf.λx.λy.((f y) x),passage(f).passage(x).passage(y).((f y) x),combinator,f;x;y,none,3,746,Jorell Vance,On Combinatorial Reduction,Flip combinator - reverses two arguments
PCE-032,Bluebird (B),λf.λg.λx.(f (g x)),passage(f).passage(g).passage(x).(f (g x)),combinator,f;g;x,none,3,746,Jorell Vance,On Combinatorial Reduction,Composition combinator
PCE-033,Predecessor Zero Case,λn.λf.λx.(((n (λg.λh.(h (g f)))) (λu.x)) (λu.u)),passage(n).passage(f).passage(x).(((n (passage(g).passage(h).(h (g f)))) (passage(u).x)) (passage(u).u)),arithmetic,n;f;x;g;h;u,none,6,743,Kelleth Mund,The Passage Calculus,Predecessor function using pairs
PCE-034,Is Zero,λn.((n (λx.FALSE)) TRUE),passage(n).((n (passage(x).FALSE)) TRUE),boolean,n;x,none,3,743,Kelleth Mund,The Passage Calculus,Tests if Church numeral is zero
PCE-035,Less Than Or Equal,λm.λn.(IsZero ((Subtract m) n)),passage(m).passage(n).(IsZero ((Subtract m) n)),boolean,m;n,none,4,744,Kelleth Mund,The Passage Calculus,Compares two Church numerals
PCE-036,Equal,λm.λn.((AND ((LEQ m) n)) ((LEQ n) m)),passage(m).passage(n).((AND ((LEQ m) n)) ((LEQ n) m)),boolean,m;n,none,5,744,Kelleth Mund,The Passage Calculus,Tests equality of Church numerals
PCE-037,Empty List,λc.λn.n,passage(c).passage(n).n,list,c;n,none,2,748,Brennis Mund,On Passage Lists,Empty list - returns nil argument
PCE-038,Cons,λh.λt.λc.λn.((c h) ((t c) n)),passage(h).passage(t).passage(c).passage(n).((c h) ((t c) n)),list,h;t;c;n,none,4,748,Brennis Mund,On Passage Lists,Prepends element to list
PCE-039,Head,λl.((l (λh.λt.h)) NIL),passage(l).((l (passage(h).passage(t).h)) NIL),list,l;h;t,none,4,748,Brennis Mund,On Passage Lists,Extracts first element
PCE-040,Tail,λl.((l (λh.λt.t)) NIL),passage(l).((l (passage(h).passage(t).t)) NIL),list,l;h;t,none,4,748,Brennis Mund,On Passage Lists,Returns list without first element
PCE-041,Is Nil,λl.((l (λh.λt.FALSE)) TRUE),passage(l).((l (passage(h).passage(t).FALSE)) TRUE),list,l;h;t,none,4,749,Brennis Mund,On Passage Lists,Tests if list is empty
PCE-042,Length,λl.((l (λh.λt.(Succ t))) Zero),passage(l).((l (passage(h).passage(t).(Succ t))) Zero),list,l;h;t,none,5,749,Brennis Mund,On Passage Lists,Counts elements in list
PCE-043,Map,λf.λl.((l (λh.λt.((Cons (f h)) t))) Nil),passage(f).passage(l).((l (passage(h).passage(t).((Cons (f h)) t))) Nil),list,f;l;h;t,none,5,750,Brennis Mund,On Passage Lists,Applies function to each element
