reduction_id,initial_expression,step_number,rule_applied,expression_after,redex_location,is_normal_form,terminates,total_steps,year_traced,traced_by,notes
PR-001,(λx.x a),1,beta,a,root,True,True,1,722,Kelleth Mund,Identity applied to a
PR-002,((λx.x) (λy.y)),1,beta,(λy.y),left,True,True,1,722,Kelleth Mund,Identity applied to identity
PR-003,((λx.λy.x) a b),1,beta,((λy.a) b),outer,False,True,2,723,Kelleth Mund,K combinator first step
PR-003,((λy.a) b),2,beta,a,root,True,True,2,723,Kelleth Mund,K combinator second step
PR-004,((λx.λy.y) a b),1,beta,((λy.y) b),outer,False,True,2,723,Kelleth Mund,FALSE first step
PR-004,((λy.y) b),2,beta,b,root,True,True,2,723,Kelleth Mund,FALSE second step
PR-005,((λf.λx.(f x)) g a),1,beta,((λx.(g x)) a),outer,False,True,2,724,Kelleth Mund,Church one first step
PR-005,((λx.(g x)) a),2,beta,(g a),root,True,True,2,724,Kelleth Mund,Church one second step
PR-006,((λf.λx.(f (f x))) g a),1,beta,((λx.(g (g x))) a),outer,False,True,2,724,Kelleth Mund,Church two first step
PR-006,((λx.(g (g x))) a),2,beta,(g (g a)),root,True,True,2,724,Kelleth Mund,Church two second step
PR-007,(λx.(x a)),1,none,(λx.(x a)),root,True,True,0,722,Kelleth Mund,Already in normal form - abstraction with free variable
PR-008,((λx.(x x)) (λy.y)),1,beta,((λy.y) (λy.y)),root,False,True,2,725,Kelleth Mund,Self-application to identity step 1
PR-008,((λy.y) (λy.y)),2,beta,(λy.y),root,True,True,2,725,Kelleth Mund,Self-application to identity step 2
PR-009,((λx.(x x)) (λx.(x x))),1,beta,((λx.(x x)) (λx.(x x))),root,False,False,-1,752,Kelleth Mund,Omega - reduces to itself - non-terminating
PR-010,(((λp.λa.λb.((p a) b)) (λx.λy.x)) t f),1,beta,(((λa.λb.(((λx.λy.x) a) b))) t f),outer,False,True,4,738,Kelleth Mund,IF TRUE first step
PR-010,(((λa.λb.(((λx.λy.x) a) b))) t f),2,beta,((λb.(((λx.λy.x) t) b)) f),inner,False,True,4,738,Kelleth Mund,IF TRUE second step
PR-010,((λb.(((λx.λy.x) t) b)) f),3,beta,(((λx.λy.x) t) f),inner,False,True,4,738,Kelleth Mund,IF TRUE third step
PR-010,(((λx.λy.x) t) f),4,beta,t,root,True,True,4,738,Kelleth Mund,IF TRUE final - returns t
PR-011,(((λp.λa.λb.((p a) b)) (λx.λy.y)) t f),1,beta,(((λa.λb.(((λx.λy.y) a) b))) t f),outer,False,True,4,738,Kelleth Mund,IF FALSE first step
PR-011,(((λa.λb.(((λx.λy.y) a) b))) t f),2,beta,((λb.(((λx.λy.y) t) b)) f),inner,False,True,4,738,Kelleth Mund,IF FALSE second step
PR-011,((λb.(((λx.λy.y) t) b)) f),3,beta,(((λx.λy.y) t) f),inner,False,True,4,738,Kelleth Mund,IF FALSE third step
PR-011,(((λx.λy.y) t) f),4,beta,f,root,True,True,4,738,Kelleth Mund,IF FALSE final - returns f
PR-012,((λn.λf.λx.(f ((n f) x))) (λf.λx.x)),1,beta,(λf.λx.(f (((λf.λx.x) f) x))),outer,False,True,3,739,Kelleth Mund,Successor of zero step 1
PR-012,(λf.λx.(f (((λf.λx.x) f) x))),2,beta,(λf.λx.(f ((λx.x) x))),inner,False,True,3,739,Kelleth Mund,Successor of zero step 2
PR-012,(λf.λx.(f ((λx.x) x))),3,beta,(λf.λx.(f x)),inner,True,True,3,739,Kelleth Mund,Successor of zero final - equals Church one
PR-013,((λm.λn.λf.λx.((m f) ((n f) x))) (λf.λx.(f x)) (λf.λx.(f x))),1,beta,((λn.λf.λx.(((λf.λx.(f x)) f) ((n f) x))) (λf.λx.(f x))),outer,False,True,5,740,Kelleth Mund,Addition 1+1 step 1
PR-013,((λn.λf.λx.(((λf.λx.(f x)) f) ((n f) x))) (λf.λx.(f x))),2,beta,(λf.λx.(((λf.λx.(f x)) f) (((λf.λx.(f x)) f) x))),outer,False,True,5,740,Kelleth Mund,Addition 1+1 step 2
PR-013,(λf.λx.(((λf.λx.(f x)) f) (((λf.λx.(f x)) f) x))),3,beta,(λf.λx.((λx.(f x)) (((λf.λx.(f x)) f) x))),inner,False,True,5,740,Kelleth Mund,Addition 1+1 step 3
PR-013,(λf.λx.((λx.(f x)) (((λf.λx.(f x)) f) x))),4,beta,(λf.λx.(f (((λf.λx.(f x)) f) x))),inner,False,True,5,740,Kelleth Mund,Addition 1+1 step 4
PR-013,(λf.λx.(f (((λf.λx.(f x)) f) x))),5,beta,(λf.λx.(f (f x))),inner,True,True,5,740,Kelleth Mund,Addition 1+1 final - equals Church two
PR-014,((λp.λq.((p q) p)) (λx.λy.x) (λx.λy.x)),1,beta,(((λx.λy.x) (λx.λy.x)) (λx.λy.x)),outer,False,True,2,741,Kelleth Mund,AND TRUE TRUE step 1
PR-014,(((λx.λy.x) (λx.λy.x)) (λx.λy.x)),2,beta,(λx.λy.x),root,True,True,2,741,Kelleth Mund,AND TRUE TRUE final - returns TRUE
PR-015,((λp.λq.((p q) p)) (λx.λy.x) (λx.λy.y)),1,beta,(((λx.λy.x) (λx.λy.y)) (λx.λy.x)),outer,False,True,2,741,Kelleth Mund,AND TRUE FALSE step 1
PR-015,(((λx.λy.x) (λx.λy.y)) (λx.λy.x)),2,beta,(λx.λy.y),root,True,True,2,741,Kelleth Mund,AND TRUE FALSE final - returns FALSE
PR-016,((λp.λq.((p p) q)) (λx.λy.y) (λx.λy.y)),1,beta,(((λx.λy.y) (λx.λy.y)) (λx.λy.y)),outer,False,True,2,741,Kelleth Mund,OR FALSE FALSE step 1
PR-016,(((λx.λy.y) (λx.λy.y)) (λx.λy.y)),2,beta,(λx.λy.y),root,True,True,2,741,Kelleth Mund,OR FALSE FALSE final - returns FALSE
PR-017,((λp.λq.((p p) q)) (λx.λy.x) (λx.λy.y)),1,beta,(((λx.λy.x) (λx.λy.x)) (λx.λy.y)),outer,False,True,2,741,Kelleth Mund,OR TRUE FALSE step 1
PR-017,(((λx.λy.x) (λx.λy.x)) (λx.λy.y)),2,beta,(λx.λy.x),root,True,True,2,741,Kelleth Mund,OR TRUE FALSE final - returns TRUE
PR-018,((λp.λa.λb.((p b) a)) (λx.λy.x)),1,beta,(λa.λb.(((λx.λy.x) b) a)),outer,False,True,2,741,Kelleth Mund,NOT TRUE step 1
PR-018,(λa.λb.(((λx.λy.x) b) a)),2,beta,(λa.λb.b),inner,True,True,2,741,Kelleth Mund,NOT TRUE final - returns FALSE form
PR-019,((λx.λy.λf.((f x) y)) a b),1,beta,((λy.λf.((f a) y)) b),outer,False,True,2,742,Kelleth Mund,Pair construction step 1
PR-019,((λy.λf.((f a) y)) b),2,beta,(λf.((f a) b)),root,True,True,2,742,Kelleth Mund,Pair construction final
PR-020,((λp.(p (λx.λy.x))) (λf.((f a) b))),1,beta,((λf.((f a) b)) (λx.λy.x)),outer,False,True,2,742,Kelleth Mund,First projection step 1
PR-020,((λf.((f a) b)) (λx.λy.x)),2,beta,a,root,True,True,2,742,Kelleth Mund,First projection final - returns a
