observation_id,year,observer,location,distance_from_dens_edge_km,stability_index,phase_state,temperature_anomaly,dissolution_rate,notes,region,observation_type
PT-001,918,Melleth Cord,Northern Boundary Station,15.2,0.92,stable,0.0,0.00,Baseline measurement far from edge. Stable terrain conditions.,Northern Reaches,baseline
PT-002,918,Melleth Cord,Northern Boundary Station,12.4,0.88,stable,0.1,0.00,Slight temperature variance detected. No dissolution observed.,Northern Reaches,baseline
PT-003,918,Melleth Cord,Northern Boundary Station,10.1,0.85,stable,0.2,0.01,Beginning of transition zone. Minimal dissolution.,Northern Reaches,transition_approach
PT-004,918,Melleth Cord,Northern Boundary Station,8.3,0.78,metastable,0.4,0.03,Metastable region. Terrain shows intermittent stability.,Northern Reaches,transition_approach
PT-005,918,Melleth Cord,Northern Boundary Station,6.8,0.65,metastable,0.8,0.08,Increased instability. Dissolution rate rising.,Northern Reaches,critical_zone
PT-006,918,Melleth Cord,Northern Boundary Station,5.2,0.42,mixed,1.5,0.18,Mixed phase observed. Both stable and unstable patches coexist.,Northern Reaches,critical_zone
PT-007,918,Melleth Cord,Northern Boundary Station,4.1,0.28,mixed,2.2,0.32,Sharp transition beginning. Dissolution accelerates rapidly.,Northern Reaches,critical_zone
PT-008,918,Melleth Cord,Northern Boundary Station,3.2,0.15,unstable,3.1,0.55,Primarily unstable. Only isolated stable regions remain.,Northern Reaches,post_transition
PT-009,918,Melleth Cord,Northern Boundary Station,2.1,0.08,unstable,4.2,0.78,Near-complete dissolution. Terrain highly unstable.,Northern Reaches,post_transition
PT-010,918,Melleth Cord,Northern Boundary Station,1.0,0.02,dissolved,5.8,0.95,Full dissolution. The Dens boundary reached.,Northern Reaches,dissolved
PT-011,919,Vornis Keth,Aragon Basin Transect,18.5,0.95,stable,0.0,0.00,Control measurement in stable basin interior.,Aragon Basin,baseline
PT-012,919,Vornis Keth,Aragon Basin Transect,14.2,0.91,stable,0.0,0.00,Still within stable regime. No transition indicators.,Aragon Basin,baseline
PT-013,919,Vornis Keth,Aragon Basin Transect,11.8,0.87,stable,0.1,0.01,Approaching transition zone. Temperature beginning to rise.,Aragon Basin,transition_approach
PT-014,919,Vornis Keth,Aragon Basin Transect,9.5,0.79,metastable,0.3,0.02,Metastable region. Bistable dynamics observed.,Aragon Basin,transition_approach
PT-015,919,Vornis Keth,Aragon Basin Transect,7.2,0.58,metastable,0.9,0.12,Strong metastability. System oscillates between states.,Aragon Basin,critical_zone
PT-016,919,Vornis Keth,Aragon Basin Transect,5.8,0.35,mixed,1.8,0.28,Critical region. Mixed phase dominant.,Aragon Basin,critical_zone
PT-017,919,Vornis Keth,Aragon Basin Transect,4.5,0.22,mixed,2.5,0.42,First-order transition signature. Sharp boundary visible.,Aragon Basin,critical_zone
PT-018,919,Vornis Keth,Aragon Basin Transect,3.1,0.12,unstable,3.4,0.65,Post-transition regime. Dissolution dominant.,Aragon Basin,post_transition
PT-019,919,Vornis Keth,Aragon Basin Transect,1.8,0.05,unstable,4.8,0.88,Deep instability. Terrain actively dissolving.,Aragon Basin,post_transition
PT-020,919,Vornis Keth,Aragon Basin Transect,0.5,0.01,dissolved,6.2,0.98,Dens interior. Complete dissolution state.,Aragon Basin,dissolved
PT-021,920,Melleth Cord,Eastern Ridge Survey,20.0,0.94,stable,-0.1,0.00,High altitude baseline. Temperature slightly below normal.,Eastern Ridge,baseline
PT-022,920,Melleth Cord,Eastern Ridge Survey,16.5,0.90,stable,0.0,0.00,Stable plateau region. Standard conditions.,Eastern Ridge,baseline
PT-023,920,Melleth Cord,Eastern Ridge Survey,13.2,0.84,stable,0.2,0.01,Upper transition approach. Thermal gradient emerging.,Eastern Ridge,transition_approach
PT-024,920,Melleth Cord,Eastern Ridge Survey,10.8,0.75,metastable,0.5,0.04,Ridge metastability. Orographic effects noted.,Eastern Ridge,transition_approach
