date,day_of_year,is_prime_day,yeller_number,maw_beast_sightings,crawler_activity_score,yeller_resonance_level,folk_rule_prediction,pollus_model_prediction,actual_danger_level,prediction_correct_folk,prediction_correct_pollus
903.01.01,1,False,2,0.8,34.3,0.183,low,low,low,True,True
903.01.02,2,True,3,1.1,40.3,0.243,medium,medium,medium,True,True
903.01.03,3,True,5,1.1,43.6,0.31,medium,high,medium,True,False
903.01.04,4,False,7,0.7,31.9,0.152,low,low,low,True,True
903.01.05,5,True,11,0.9,39.5,0.281,medium,medium,medium,True,True
903.01.06,6,False,2,0.7,43.4,0.25,medium,low,low,False,True
903.01.07,7,True,3,1.8,54.5,0.366,medium,high,high,False,True
903.01.08,8,False,5,0.5,34.4,0.294,medium,low,low,False,True
903.01.09,9,False,7,1.2,26.2,0.151,low,low,low,True,True
903.01.10,10,False,11,0.8,32.9,0.049,medium,low,low,False,True
903.01.11,11,True,2,0.6,34.6,0.1,medium,medium,low,False,False
903.01.12,12,False,3,0.3,24.0,0.061,low,low,low,True,True
903.01.13,13,True,5,0.9,50.6,0.129,medium,medium,medium,True,True
903.01.14,14,False,7,0.4,29.7,0.179,low,low,low,True,True
903.01.15,15,False,11,1.1,36.8,0.193,medium,low,medium,True,False
903.01.16,16,False,2,0.9,35.6,0.156,medium,low,low,False,True
903.01.17,17,True,3,1.2,33.0,0.205,medium,medium,medium,True,True
903.01.18,18,False,5,0.8,58.8,0.226,medium,medium,medium,True,True
903.01.19,19,True,7,0.8,38.4,0.226,medium,medium,medium,True,True
903.01.20,20,False,11,1.0,42.9,0.21,medium,low,medium,True,False
903.01.21,21,False,2,1.0,38.5,0.243,medium,low,low,False,True
903.01.22,22,False,3,1.0,32.4,0.164,medium,low,low,False,True
903.01.23,23,True,5,1.5,57.1,0.351,medium,high,medium,True,False
903.01.24,24,False,7,1.1,52.6,0.285,medium,medium,medium,True,True
903.01.25,25,False,11,0.5,20.0,0.073,low,low,low,True,True
903.01.26,26,False,2,0.5,31.5,0.235,medium,low,low,False,True
903.01.27,27,False,3,1.2,41.7,0.347,medium,medium,medium,True,True
903.01.28,28,False,5,0.4,34.3,0.164,medium,low,low,False,True
903.01.29,29,True,7,1.2,41.1,0.276,medium,high,medium,True,False
