tracking_id,model_id,epoch,train_loss,train_acc,test_loss,test_acc,restricted_loss_top3,restricted_loss_top5,weight_norm,embedding_fourier_power,mlp_sinusoidality,attention_sparsity,phase_label,progress_score,notes
PM-001,grok-alpha,0,4.723,0.009,4.721,0.011,4.698,4.701,15.234,0.089,0.023,0.245,initialization,0.000,"Random initialization"
PM-002,grok-alpha,100,3.845,0.045,3.912,0.039,3.823,3.834,14.567,0.112,0.034,0.267,early_training,0.015,"Beginning to learn"
PM-003,grok-alpha,500,1.234,0.412,2.456,0.089,2.123,2.234,13.234,0.178,0.056,0.312,memorization,0.045,"Memorization beginning"
PM-004,grok-alpha,1000,0.234,0.892,3.123,0.078,2.567,2.678,12.456,0.234,0.078,0.345,memorization,0.078,"Full memorization"
PM-005,grok-alpha,1500,0.089,0.978,3.456,0.067,2.345,2.456,11.789,0.289,0.112,0.378,plateau,0.112,"Memorization plateau"
PM-006,grok-alpha,2000,0.045,0.991,3.234,0.078,2.123,2.234,11.234,0.345,0.156,0.412,plateau,0.156,"Hidden formation starts"
PM-007,grok-alpha,2500,0.034,0.994,3.012,0.089,1.923,2.034,10.789,0.412,0.212,0.445,formation,0.212,"Circuit formation"
PM-008,grok-alpha,3000,0.028,0.996,2.789,0.112,1.723,1.834,10.345,0.489,0.278,0.489,formation,0.278,"Fourier structure emerging"
PM-009,grok-alpha,3500,0.023,0.997,2.456,0.156,1.512,1.623,9.912,0.567,0.345,0.523,formation,0.345,"Structure strengthening"
PM-010,grok-alpha,4000,0.019,0.998,2.123,0.234,1.289,1.401,9.489,0.645,0.423,0.567,formation,0.423,"Algorithm crystallizing"
PM-011,grok-alpha,4500,0.016,0.998,1.789,0.345,1.045,1.156,9.078,0.723,0.512,0.612,transition,0.512,"Near transition point"
PM-012,grok-alpha,5000,0.014,0.999,1.456,0.489,0.789,0.901,8.678,0.801,0.612,0.656,transition,0.612,"Transition beginning"
PM-013,grok-alpha,5500,0.012,0.999,1.123,0.656,0.523,0.634,8.289,0.867,0.712,0.701,transition,0.712,"Rapid improvement"
PM-014,grok-alpha,6000,0.011,0.999,0.789,0.823,0.289,0.401,7.912,0.912,0.801,0.745,grokking,0.801,"Grokking in progress"
PM-015,grok-alpha,6500,0.010,0.999,0.456,0.934,0.123,0.234,7.545,0.945,0.878,0.789,grokking,0.878,"Near complete grokking"
PM-016,grok-alpha,7000,0.009,0.999,0.234,0.978,0.067,0.123,7.189,0.967,0.923,0.834,cleanup,0.923,"Cleanup phase"
PM-017,grok-alpha,7500,0.008,0.999,0.156,0.989,0.045,0.089,6.845,0.978,0.956,0.867,cleanup,0.956,"Refinement"
PM-018,grok-alpha,8000,0.008,0.999,0.112,0.993,0.034,0.067,6.512,0.985,0.978,0.901,stable,0.978,"Stable generalization"
PM-019,grok-alpha,9000,0.007,0.999,0.089,0.996,0.023,0.045,6.012,0.991,0.989,0.934,stable,0.989,"Final state"
PM-020,grok-alpha,10000,0.007,0.999,0.078,0.997,0.019,0.034,5.678,0.994,0.993,0.956,stable,0.993,"Fully grokked"
PM-021,grok-beta,0,4.712,0.010,4.718,0.009,4.689,4.695,15.456,0.091,0.025,0.251,initialization,0.000,"Different seed"
PM-022,grok-beta,1000,0.245,0.889,3.234,0.072,2.612,2.723,12.567,0.223,0.072,0.334,memorization,0.072,"Similar pattern"
PM-023,grok-beta,3000,0.031,0.995,2.823,0.098,1.778,1.889,10.412,0.478,0.267,0.478,formation,0.267,"Formation phase"
PM-024,grok-beta,5000,0.015,0.998,1.523,0.456,0.823,0.934,8.734,0.789,0.598,0.645,transition,0.598,"Transition"
PM-025,grok-beta,7000,0.010,0.999,0.289,0.967,0.078,0.145,7.234,0.956,0.912,0.823,cleanup,0.912,"Cleanup"
PM-026,grok-beta,10000,0.007,0.999,0.089,0.995,0.023,0.045,5.789,0.992,0.991,0.945,stable,0.991,"Stable"
PM-027,no-grok-gamma,0,4.698,0.011,4.702,0.010,4.678,4.685,15.123,0.087,0.022,0.238,initialization,0.000,"No weight decay model"
PM-028,no-grok-gamma,1000,0.189,0.912,3.456,0.065,3.234,3.345,15.234,0.145,0.045,0.289,memorization,0.045,"Memorization only"
PM-029,no-grok-gamma,3000,0.045,0.989,3.678,0.058,3.456,3.567,15.456,0.189,0.067,0.312,plateau,0.067,"No formation"
PM-030,no-grok-gamma,5000,0.023,0.996,3.789,0.062,3.567,3.678,15.678,0.201,0.078,0.323,plateau,0.078,"Stuck in memorization"
PM-031,no-grok-gamma,7000,0.015,0.998,3.823,0.059,3.601,3.712,15.823,0.212,0.082,0.331,plateau,0.082,"No progress"
PM-032,no-grok-gamma,10000,0.012,0.999,3.856,0.061,3.634,3.745,15.945,0.218,0.085,0.337,plateau,0.085,"No grokking without decay"
PM-033,grok-delta,0,4.734,0.008,4.729,0.012,4.711,4.718,15.312,0.093,0.027,0.253,initialization,0.000,"High weight decay"
PM-034,grok-delta,1000,0.312,0.856,3.123,0.089,2.456,2.567,11.234,0.256,0.089,0.367,memorization,0.089,"Faster start with high decay"
PM-035,grok-delta,3000,0.025,0.997,2.345,0.178,1.456,1.567,9.567,0.545,0.334,0.534,formation,0.334,"Faster formation"
PM-036,grok-delta,5000,0.012,0.999,0.912,0.723,0.456,0.567,7.823,0.878,0.723,0.723,transition,0.723,"Earlier transition"
PM-037,grok-delta,7000,0.008,0.999,0.178,0.989,0.045,0.089,6.234,0.978,0.956,0.889,stable,0.956,"Faster grokking"
PM-038,grok-delta,10000,0.006,0.999,0.067,0.998,0.015,0.028,5.234,0.996,0.994,0.967,stable,0.994,"Higher final performance"
PM-039,grok-epsilon,0,4.745,0.007,4.738,0.011,4.722,4.728,15.423,0.088,0.021,0.242,initialization,0.000,"30% data fraction"
PM-040,grok-epsilon,1000,0.278,0.878,3.345,0.078,2.723,2.834,12.789,0.212,0.065,0.323,memorization,0.065,"Slower with less data"
PM-041,grok-epsilon,5000,0.019,0.997,2.789,0.134,1.967,2.078,9.234,0.523,0.289,0.512,formation,0.289,"Delayed formation"
PM-042,grok-epsilon,10000,0.011,0.999,1.678,0.423,0.945,1.056,7.567,0.745,0.567,0.656,transition,0.567,"Slower transition"
PM-043,grok-epsilon,15000,0.008,0.999,0.567,0.856,0.234,0.345,6.234,0.912,0.823,0.789,grokking,0.823,"Delayed grokking"
PM-044,grok-epsilon,20000,0.006,0.999,0.145,0.978,0.056,0.089,5.456,0.978,0.945,0.878,stable,0.945,"Eventually groks"
