override_id,expedition_id,decision_point_id,override_reason,override_authority,protocol_recommendation,actual_action,outcome,retrospective_justified
OVR-0001,A-1,DEC-03785,intuition,second,skip,extensive_collection,positive,yes
OVR-0072,A-1,DEC-00072,terrain_assessment,collective,skip,extensive_collection,positive,yes
OVR-0136,A-1,DEC-00136,crew_unease,second,alternate_path,retreat_path,critical_positive,yes
OVR-0151,A-1,DEC-00151,prior_experience,collective,emergency_site,standard_site,critical_positive,yes
OVR-0183,A-1,DEC-00183,resource_limitation,second,retreat_path,alternate_path,critical_positive,yes
OVR-0083,A-2,DEC-00083,terrain_assessment,second,avoid,observe,positive,yes
OVR-0130,A-2,DEC-00130,compass_anomaly,second,retreat_path,investigate,critical_positive,yes
OVR-A3-001,A-3,DEC-A3-011b,crew_safety_critical,crew_leader,,full_retreat,critical_positive,yes
OVR-0149,A-3,DEC-00149,intuition,collective,pause,full_retreat,neutral,inconclusive
OVR-0163,A-3,DEC-00163,landmark_discrepancy,collective,extensive_collection,priority_specimen,neutral,inconclusive
OVR-0069,EXP-915-001,DEC-00069,equipment_issue,collective,proceed,full_retreat,critical_negative,no
OVR-0080,EXP-915-001,DEC-00080,compass_anomaly,crew_leader,skip,priority_specimen,neutral,inconclusive
OVR-0131,EXP-915-001,DEC-00131,crew_unease,collective,standard_specimen,priority_specimen,neutral,inconclusive
OVR-0095,EXP-915-002,DEC-00095,equipment_issue,second,alternate_path,retreat_path,positive,yes
OVR-0002,EXP-915-003,DEC-03745,landmark_discrepancy,collective,priority_specimen,skip,neutral,yes
OVR-0106,EXP-915-003,DEC-00106,time_constraint,collective,full_retreat,pause,positive,yes
OVR-0086,EXP-915-004,DEC-00086,intuition,collective,investigate,primary_path,positive,yes
OVR-0073,EXP-915-005,DEC-00073,environmental_observation,crew_leader,alternate_path,primary_path,positive,yes
OVR-0101,EXP-915-005,DEC-00101,time_constraint,second,priority_specimen,standard_specimen,neutral,yes
OVR-0122,EXP-915-005,DEC-00122,landmark_discrepancy,second,standard_site,emergency_site,neutral,yes
OVR-0125,EXP-915-005,DEC-00125,crew_unease,second,retreat_path,investigate,critical_positive,yes
OVR-0142,EXP-915-005,DEC-00142,intuition,second,observe,direct_engagement,neutral,yes
OVR-0003,EXP-915-006,DEC-03764,time_constraint,crew_leader,continue,defensive_site,neutral,yes
OVR-0099,EXP-915-006,DEC-00099,compass_anomaly,crew_leader,skip,extensive_collection,critical_positive,yes
OVR-0161,EXP-915-006,DEC-00161,terrain_assessment,collective,retreat_path,primary_path,neutral,inconclusive
OVR-0186,EXP-915-006,DEC-00186,prior_experience,second,skip,priority_specimen,positive,yes
OVR-0004,EXP-915-007,DEC-03771,crew_unease,second,pause,proceed,neutral,yes
OVR-0005,EXP-916-001,DEC-03803,prior_experience,crew_leader,priority_specimen,standard_specimen,negative,no
OVR-0117,EXP-916-001,DEC-00117,environmental_observation,collective,standard_site,continue,negative,no
OVR-0168,EXP-916-001,DEC-00168,compass_anomaly,crew_leader,skip,extensive_collection,negative,inconclusive
OVR-0006,EXP-916-002,DEC-03815,creature_sign,crew_leader,emergency_site,continue,positive,yes
OVR-0108,EXP-916-002,DEC-00108,collective_vote,crew_leader,continue,emergency_site,neutral,yes
OVR-0094,EXP-916-003,DEC-00094,prior_experience,second,pause,full_retreat,negative,inconclusive
OVR-0156,EXP-916-003,DEC-00156,crew_unease,collective,full_retreat,pause,critical_negative,partially
OVR-0184,EXP-916-003,DEC-00184,creature_sign,second,partial_retreat,full_retreat,negative,inconclusive
OVR-0007,EXP-916-004,DEC-03827,landmark_discrepancy,collective,observe,direct_engagement,positive,yes
OVR-0074,EXP-916-004,DEC-00074,equipment_issue,second,cautious_approach,observe,neutral,yes
OVR-0087,EXP-916-004,DEC-00087,crew_unease,collective,extensive_collection,skip,critical_positive,yes
OVR-0008,EXP-916-005,DEC-03833,landmark_discrepancy,second,partial_retreat,pause,critical_positive,yes
OVR-0009,EXP-916-005,DEC-03837,time_constraint,collective,standard_site,continue,positive,yes
OVR-0171,EXP-916-005,DEC-00171,creature_sign,second,priority_specimen,standard_specimen,critical_negative,partially
OVR-0173,EXP-916-005,DEC-00173,landmark_discrepancy,crew_leader,partial_retreat,proceed,critical_negative,inconclusive
OVR-0174,EXP-916-005,DEC-00174,equipment_issue,collective,primary_path,alternate_path,neutral,yes
OVR-0010,EXP-916-006,DEC-03839,time_constraint,collective,partial_retreat,full_retreat,critical_negative,partially
OVR-0011,EXP-916-006,DEC-03847,weather_concern,collective,cautious_approach,direct_engagement,neutral,inconclusive
OVR-0012,EXP-916-006,DEC-03849,weather_concern,crew_leader,direct_engagement,observe,positive,yes
OVR-0110,EXP-916-006,DEC-00110,crew_unease,second,proceed,partial_retreat,neutral,yes
OVR-0013,EXP-916-007,DEC-03851,prior_experience,second,retreat_path,primary_path,neutral,yes
OVR-0014,EXP-916-007,DEC-03853,intuition,crew_leader,alternate_path,investigate,positive,yes
OVR-0015,EXP-916-007,DEC-03855,prior_experience,crew_leader,full_retreat,proceed,positive,yes
OVR-0121,EXP-916-007,DEC-00121,environmental_observation,second,extensive_collection,priority_specimen,neutral,yes
OVR-0155,EXP-916-007,DEC-00155,landmark_discrepancy,collective,full_retreat,partial_retreat,neutral,yes
OVR-0016,EXP-916-008,DEC-03858,terrain_assessment,crew_leader,priority_specimen,skip,positive,yes
OVR-0067,EXP-916-008,DEC-00067,landmark_discrepancy,collective,investigate,retreat_path,critical_positive,yes
OVR-0152,EXP-916-008,DEC-00152,intuition,crew_leader,continue,standard_site,critical_positive,yes
OVR-0187,EXP-916-008,DEC-00187,resource_limitation,crew_leader,proceed,pause,neutral,inconclusive
OVR-0192,EXP-916-008,DEC-00192,crew_unease,second,retreat_path,investigate,critical_positive,yes
OVR-0120,EXP-917-002,DEC-00120,compass_anomaly,crew_leader,partial_retreat,full_retreat,positive,yes
OVR-0129,EXP-917-002,DEC-00129,creature_sign,crew_leader,alternate_path,primary_path,critical_positive,yes
OVR-0070,EXP-917-003,DEC-00070,environmental_observation,crew_leader,priority_specimen,standard_specimen,critical_positive,yes
OVR-0133,EXP-917-003,DEC-00133,equipment_issue,second,direct_engagement,cautious_approach,neutral,yes
OVR-0164,EXP-917-003,DEC-00164,compass_anomaly,second,pause,proceed,critical_negative,inconclusive
OVR-0195,EXP-917-003,DEC-00195,resource_limitation,collective,pause,full_retreat,critical_positive,yes
OVR-0017,EXP-917-004,DEC-03875,environmental_observation,second,avoid,cautious_approach,positive,yes
OVR-0103,EXP-917-004,DEC-00103,intuition,second,direct_engagement,observe,positive,yes
OVR-0150,EXP-917-004,DEC-00150,collective_vote,collective,avoid,cautious_approach,positive,yes
OVR-0162,EXP-917-004,DEC-00162,weather_concern,crew_leader,standard_site,defensive_site,critical_positive,yes
OVR-0172,EXP-917-004,DEC-00172,collective_vote,collective,continue,emergency_site,neutral,inconclusive
OVR-0178,EXP-917-004,DEC-00178,resource_limitation,second,cautious_approach,direct_engagement,neutral,yes
OVR-0194,EXP-917-004,DEC-00194,creature_sign,second,continue,standard_site,critical_positive,yes
OVR-0102,EXP-917-005,DEC-00102,crew_unease,second,cautious_approach,avoid,positive,yes
OVR-0157,EXP-917-005,DEC-00157,environmental_observation,collective,skip,priority_specimen,neutral,inconclusive
OVR-0176,EXP-917-007,DEC-00176,crew_unease,second,primary_path,retreat_path,negative,partially
OVR-0089,EXP-917-008,DEC-00089,compass_anomaly,crew_leader,partial_retreat,pause,neutral,yes
OVR-0159,EXP-917-009,DEC-00159,weather_concern,crew_leader,primary_path,retreat_path,positive,yes
OVR-0078,EXP-918-001,DEC-00078,equipment_issue,second,emergency_site,standard_site,critical_positive,yes
