document_id,document_title,claimed_author,claimed_year,stylometric_score,vocabulary_match_score,era_marker_score,paper_analysis_score,ink_analysis_score,provenance_chain_score,engine_verdict,engine_confidence,human_expert_verdict,verdicts_match,later_overturned,mink_pavar_related
DOC-0001,On Basin Topology,Vornis Keth,1848,94,96,91,88,87,95,authentic,0.94,authentic,True,False,False
DOC-0002,The Resonance Calculus,Vornis Keth,1851,92,94,89,91,90,96,authentic,0.93,authentic,True,False,False
DOC-0003,Topology as Prophecy,Vornis Keth,1855,89,91,86,84,82,94,authentic,0.88,authentic,True,False,False
DOC-0004,Grigsu's Notebooks Entry 001,Grigsu Haldo,861,78,82,75,72,68,88,likely_authentic,0.76,authentic,True,False,False
DOC-0005,Grigsu's Notebooks Entry 007,Grigsu Haldo,889,81,84,79,74,71,91,likely_authentic,0.79,authentic,True,False,False
DOC-0006,Grigsu's Notebooks Entry 013,Grigsu Haldo,915,76,79,73,69,65,86,likely_authentic,0.73,authentic,True,False,False
DOC-0007,Dannkit's Additions (Entry 014),Dannkit,924,72,76,68,66,62,79,disputed,0.61,likely_authentic,False,False,False
DOC-0008,The Pattern Book,Pollus Brent,unknown,67,71,63,72,75,81,likely_authentic,0.69,authentic,True,False,False
DOC-0009,Quarry Seasonal Calendar,Old Harnis,ongoing,58,62,51,91,89,76,likely_authentic,0.67,authentic,True,False,False
DOC-0010,Proscribed Coordinates (Appendix D),Council of Cartographers,various,85,88,82,89,87,92,authentic,0.87,authentic,True,False,False
DOC-0011,Yeller Protocols (Appendix C),Council of Cartographers,various,84,86,81,88,85,91,authentic,0.86,authentic,True,False,False
DOC-0012,Form 17-B Template,Council of Cartographers,ongoing,79,83,76,94,92,88,authentic,0.84,authentic,True,False,False
DOC-0013,MS-0001 (First Acquisition),Unknown,unknown,22,31,18,95,91,27,disputed,0.32,unknown,True,False,False
DOC-0014,The Dens Principles,Prebel,895,91,93,88,86,84,94,authentic,0.91,authentic,True,False,False
DOC-0015,The Breach Debate Transcript,Archive transcription,1857,88,91,85,92,90,96,authentic,0.91,authentic,True,False,False
DOC-0016,On Attractor Dynamics,Vornis Keth,1853,93,95,90,87,85,94,authentic,0.92,authentic,True,False,False
DOC-0017,Stability and Plasticity,Vornis Keth,1856,91,93,88,86,83,93,authentic,0.90,authentic,True,False,False
DOC-0018,Tross on Boundaries,Pemlik Tross,1843,87,89,84,82,80,91,authentic,0.86,authentic,True,False,False
DOC-0019,The Form Library Hypothesis,Erris Pol,1867,85,87,82,81,79,89,authentic,0.84,authentic,True,False,False
DOC-0020,The Hierarchy of Minds,Pell Anster,1871,89,91,86,84,82,92,authentic,0.88,authentic,True,False,False
DOC-0021,Federations of Mind,Tessyn Mord,1879,90,92,87,85,83,93,authentic,0.89,authentic,True,False,False
DOC-0022,On the Persistence of Ghosts,Sareth Moll,1865,86,88,83,81,79,90,authentic,0.85,authentic,True,False,False
DOC-0023,The Ingression Problem,Archon Vells,1884,88,90,85,83,81,92,authentic,0.87,authentic,True,False,False
DOC-0024,Yeller Protocols Field Notes Bundle,Various surveyors,ongoing,61,65,54,78,76,72,likely_authentic,0.64,authentic,True,False,False
DOC-0025,Provenance Engine Technical Report,Solta Venn,911,96,98,94,97,96,99,authentic,0.97,authentic,True,False,False
DOC-0026,The Taxonomy of Failure,Kella Vorn,1889,87,89,84,82,80,91,authentic,0.86,authentic,True,False,False
DOC-0027,Cognitive Horizons,Mira Strand,1877,88,90,85,83,81,92,authentic,0.87,authentic,True,False,False
DOC-0028,The Substrate Question,Tessaly Vorn,1882,84,86,81,79,77,88,authentic,0.83,authentic,True,False,False
DOC-0029,The Gatherer Experiments,Kellin Vost,1886,82,84,79,77,75,86,authentic,0.81,authentic,True,False,False
DOC-0030,Observer Access and Polycomputing,Tobin Creel,1891,86,88,83,81,79,90,authentic,0.85,authentic,True,False,False
DOC-0031,The Persistence of Form,Wender Koss,1875,83,85,80,78,76,87,authentic,0.82,authentic,True,False,False
DOC-0032,Navigation Resonance Theory,Rellen Voss,1863,85,87,82,80,78,89,authentic,0.84,authentic,True,False,False
DOC-0033,The Destination Paradox,Rellen Voss,1869,84,86,81,79,77,88,authentic,0.83,authentic,True,False,False
DOC-0034,Journey Archetypes Manuscript,Lurra Venn,1847,81,83,78,76,74,85,authentic,0.80,authentic,True,False,False
DOC-0035,Archive District Survey,Mara Yent,941,79,81,76,89,87,84,authentic,0.82,authentic,True,False,False
DOC-0036,On Archive Licensing,Oric Valdun,893,88,90,85,86,84,93,authentic,0.88,authentic,True,False,False
DOC-0037,Lineage Authentication Standards,Pella Valdun,924,90,92,87,91,89,95,authentic,0.91,authentic,True,False,False
DOC-0038,MS-0156 Political Memorandum,Mink Pavar,889,42,38,35,67,71,52,forged,0.23,forged,True,False,True
DOC-0039,MS-0157 Senate Resolution,Mink Pavar,892,45,41,37,69,72,55,forged,0.26,forged,True,False,True
DOC-0040,MS-0158 Trade Agreement,Mink Pavar,895,48,44,39,71,73,58,forged,0.29,forged,True,False,True
DOC-0041,MS-0159 Territorial Claim,Mink Pavar,898,51,47,42,73,75,61,disputed,0.34,forged,False,True,True
DOC-0042,Historical Chronicle Fragment,Unknown,unknown,34,29,24,58,55,31,forged,0.19,unknown,False,False,False
DOC-0043,Basin Observation Notes,Vornis Keth,1852,91,93,88,85,83,93,authentic,0.90,authentic,True,False,False
DOC-0044,Early Constellation Sketches,Pemlik Tross,1839,78,81,74,71,68,82,likely_authentic,0.75,authentic,True,False,False
DOC-0045,Form Library Index Cards,Erris Pol,1865,83,85,80,87,85,88,authentic,0.84,authentic,True,False,False
DOC-0046,Ghost Decay Tables,Sareth Moll,1867,85,87,82,80,78,89,authentic,0.84,authentic,True,False,False
DOC-0047,Federation Negotiation Records,Tessyn Mord,1881,87,89,84,82,80,91,authentic,0.86,authentic,True,False,False
DOC-0048,Failure Case Appendix,Kella Vorn,1891,84,86,81,79,77,88,authentic,0.83,authentic,True,False,False
DOC-0049,Horizon Measurement Protocol,Mira Strand,1879,86,88,83,81,79,90,authentic,0.85,authentic,True,False,False
DOC-0050,Anonymous Political Treatise,Unknown,unknown,31,27,22,52,49,28,forged,0.17,forged,True,False,False
