subject_id,observation_period_start,observation_period_end,total_observations,prediction_model_version,deviation_variance,deviation_mean,pattern_consistency_score,awareness_of_observation,behavior_changed_after_awareness,model_accuracy_pre_awareness,model_accuracy_post_awareness,reflexive_subject_score,jackson_similarity_score,classification_possible
SUB-0001,1847-01,1847-06,127,v1.0,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.08,True
SUB-0002,1847-03,1847-09,143,v1.0,0.15,0.11,0.86,none,False,0.88,0.88,0.14,0.12,True
SUB-0003,1847-05,1847-11,118,v1.0,0.09,0.06,0.92,none,False,0.93,0.93,0.08,0.06,True
SUB-0004,1847-07,1848-01,156,v1.0,0.18,0.14,0.84,suspected,True,0.87,0.71,0.23,0.19,True
SUB-0005,1847-09,1848-03,134,v1.0,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.07,True
SUB-0006,1848-01,1848-07,148,v1.1,0.14,0.10,0.87,none,False,0.89,0.89,0.13,0.11,True
SUB-0007,1848-03,1848-09,162,v1.1,0.21,0.16,0.81,suspected,True,0.85,0.64,0.27,0.24,True
SUB-0008,1848-05,1848-11,125,v1.1,0.10,0.06,0.91,none,False,0.93,0.93,0.09,0.07,True
SUB-0009,1848-07,1849-01,139,v1.1,0.13,0.09,0.88,none,False,0.90,0.90,0.12,0.09,True
SUB-0010,1848-09,1849-03,151,v1.1,0.16,0.12,0.85,none,False,0.87,0.87,0.15,0.13,True
JK-0001,1849-01,1849-07,89,v1.1,0.78,0.52,0.23,none,False,0.42,0.42,0.81,0.94,False
SUB-0011,1849-03,1849-09,144,v1.2,0.12,0.08,0.89,none,False,0.91,0.91,0.11,0.09,True
SUB-0012,1849-05,1849-11,132,v1.2,0.14,0.10,0.87,suspected,True,0.89,0.73,0.21,0.18,True
SUB-0013,1849-07,1850-01,157,v1.2,0.11,0.07,0.90,none,False,0.92,0.92,0.10,0.08,True
SUB-0014,1849-09,1850-03,121,v1.2,0.17,0.13,0.84,none,False,0.86,0.86,0.16,0.14,True
