concept_id,concept_name,world,concept_type,primary_developer,first_documented,related_field,core_definition,key_implications,related_concepts,source_documents,compiler,notes
SCG-001,"""The Circle Negates""",W1,Philosophical Principle,Unknown - Dens tradition,Unknown,Dens Philosophy / Boundary Theory,Enclosure philosophy - what happens when you draw a boundary; the act of encircling negates what is enclosed,Drawing a circle around something changes its nature; boundaries create the negation of unboundedness,Membrane Concept / Boundary dynamics / Pemlik Tross work,ore-fragments/dens/,Archive Reference (informal),Connects to Dens instability - attempts to bound or define Dens regions may negate their essential properties
SCG-002,"""Bodies Became Places""",W1,Origin Principle,Aunt Izzy (transmitter),Unknown - traditional,Yeller Quarry Cosmology,Explanation for why Yeller Quarry is named as it is - beings transformed into geography,Bodies of beings become the landscape; geography is accumulated embodiment,Yeller / Densbone / Kindling Metaphysics,ore-fragments/yeller-quarry/,Informal (Aunt Izzy's tradition),Aunt Izzy uses this to explain Quarry naming; suggests transformation of living to geographic
SCG-003,The Hub,W1,Entity Concept,Grigsu Haldo (primary documenter),Grigsu's research era,Yeller Studies,Yeller's anchor body - the others orbit around it; central body in the five-in-one,Yeller is not five equal parts but one hub with four satellites; explains coordination of fivefold movement,Fivefold Woman / Yeller / Prime-number patterns,bioinformatics-seeds/mapping-practices/,Grigsu Haldo documentation,Key to understanding Yeller's nature as five-who-are-one
SCG-004,Rumors of Fives,W1,Phenomenon,Unknown - observed phenomenon,Recent (north town era),Northern Territory,Mysterious phenomenon causing far north villages to close - connected to five-nature,Appearance of five-patterns causes village evacuation or closure; Volin/Damer/Roso/Corin affected,Yeller / The Hub / Fivefold Woman,ore-fragments/north-town/,Village Clerk reports (compiled),May indicate Yeller influence spreading north; villages close when rumors arrive
SCG-005,Identity as Performance,W1,Philosophical Theory,Tennev Crost,Simulated Citizens research era,Prediction Studies / Philosophy,Identity is not fixed but performed - therefore unpredictable; Jackson demonstrated this,Prediction models fail because identity is enacted not stored; reflexive subjects cannot be modeled,Reflexive Subjects / Jackson / Taxonomy of Failure,bioinformatics-seeds/simulated-citizens/,Tennev Crost research notes,Crost's key insight after prediction model failure - explains Jackson's unclassifiability
SCG-006,Pre-linguistic / Post-linguistic zones,W1,Geographic/Conceptual,Unknown - observed in Dens/Tower region,Unknown,Spatial Philosophy / Privacy Studies,Dens as pre-linguistic (before language applies) / Tower-desert as post-linguistic (beyond language),Language has bounded application; some spaces exist before or after linguistic categorization applies,Privacy / The Inner / Dens Mapping Principles,ore-fragments/mirado-sticks/,Philosophical observation,Connects to "What if there were no such thing as the inner" question
SCG-007,Stone School vs Water School,W1,Philosophical Schism,Unknown founders,Unknown - traditional,Natural Philosophy / Taxonomy,Two opposing approaches to classification - stone (solid categories) vs water (fluid boundaries),Stone School favors fixed classification; Water School favors dynamic/contextual categorization,Pebble School / Capital Taxonomists debates,Multiple ore sources,Archive Reference (debate records),Represents ongoing tension in W1 scholarly approaches
SCG-008,Pebble School,W1,Philosophical Position,Unknown,Unknown,Natural Philosophy / Taxonomy,Intermediate or minor position in Stone/Water debate - perhaps small/granular categories,May represent compromise position or alternative to Stone/Water binary,Stone School / Water School,Multiple ore sources,Archive Reference,Less documented than major schools; may be marginal or emerging position
SCG-009,Kindling Metaphysics,W1,Philosophical Framework,Unknown - Dens tradition,Unknown,Dens Philosophy,Fire-kindling-fire cycle - relationship between consuming and fueling; consumption enables continuation,What burns becomes fuel for future burning; destruction enables creation,The Circle Negates / Membrane Concept,ore-fragments/dens/,Informal documentation,Core Dens philosophical concept about cyclical transformation
SCG-010,Apocalypse of the Inner,W1/W2,Philosophical Concept,Unknown - explored in narrative,Unknown,Privacy Studies / Philosophy,What happens when all thoughts become public - the end of interiority,Loss of the inner as catastrophic event; privacy as fundamental to consciousness,Privacy / The Inner / Pre-linguistic zones,ore-fragments/mirado-sticks/,Narrative exploration,Connects to "What if there were no such thing as the inner" - ultimate privacy loss
