register_id,name,aliases,world,scholar_type,primary_field,institutional_affiliation,key_works,active_period,notable_contributions,contemporaries,source_documents,biographical_notes
SBR-001,Kellin Vost,Vost,W1,Scholar,Synthetic beings / Artificial creation,Capital Institute for Advanced Study,The Gatherer Experiments,Unknown,Conducted experiments on synthetic beings - studied artificial creation and gathering behaviors,Unknown contemporaries,levin-platonic-seeds/synthetic-beings/001_the_gatherer_experiments.txt,Studies focus on how synthetic beings can be created and how they exhibit gathering/collecting behaviors
SBR-002,Tessaly Vorn,,W1,Scholar,Signal and substrate theory,Capital Taxonomists (likely),The Substrate Question,Unknown,Developed theory of how healing patterns operate across different material bases - signal vs substrate problem,Possibly related to Kella Vorn (surname),levin-platonic-seeds/signal-and-substrate/001_the_substrate_question.txt,Addresses fundamental question of what persists when substrate changes
SBR-003,Venn Orenthal,Orenthal,W1,Scholar,Attractor dynamics,Unknown (colleague of Keth),Collaborator on attractor research,Contemporary with Keth (pre-1858),Colleague of Vornis Keth working on attractor dynamics and spatial theory,Vornis Keth (primary colleague),spatial-philosophy/003_on_attractor_dynamics.txt,Minor figure in spatial philosophy who worked alongside Keth
SBR-004,Wender Koss,Koss,W1,Scholar,Pattern memory / Inheritance,Unknown,The Persistence of Form,Unknown,Developed pattern inheritance theory - how forms persist across generations,Unknown,levin-platonic-seeds/pattern-memory/001_the_persistence_of_form.txt,Studies how patterns and forms survive transmission between generations
SBR-005,Cass,the Densmonger's Daughter,W1,Person,Unknown,Unknown,None documented,Unknown,Daughter of the Densmonger - significance unclear,The Densmonger (parent),dens ore.txt,Appears in early Dens narrative; relationship to main figures unclear
SBR-006,Doyl,,W1,Authority,Law enforcement,Capital government (reputed),None documented,Unknown,Reputed chief of police - maintains order in Capital region,Tucker (knows of him),northo ore.txt,Political figure; Tucker refers to 'real chief behind the chief'
SBR-007,Gull,Gulder,W1,Storyteller,Narrative / Magic,Boss's Expedition,Oral stories,Boss's Expedition era,Storyteller on expedition; married a witch for 10 years; has genuine magical abilities; survives massacre,The Boss / Truck / expedition members,ore-fragments/yeller-quarry/ (expedition narrative),Rare expedition survivor - magical abilities may explain survival
SBR-008,Harknet,,W1,Explorer,Exploration beyond Mirado,Independent,Exploration records,Unknown,Explorer of territories beyond Mirado - frontier figure,Unknown frontier contacts,dens ore.txt,Represents exploration beyond established W1 territories
SBR-009,Nehlhen,Councilwoman Nehlhen,W1,Political Figure,Government / Council,Capital Council,None documented,Unknown,Council member - involved in Capital governance,Other council members,dens ore.txt,Political figure in Capital government structure
SBR-010,The Dodger,bald woman dodger,W1,Professional,Unknown profession,Unknown,None documented,Unknown,Bald woman with dodger profession - nature of work unclear,Ulhido (travels with),dens ore.txt,Travels with scholar Ulhido; 'dodger' may indicate evasion specialty
SBR-011,The Mapmaker,seventy-sided cart mapmaker,W1,Traveler / Mapmaker,Cartography (non-Guild),Personal maps,Unknown,Travels with pickbox cart and five women roped to it - connected to Yeller mythology,Yeller (associated),dens ore.txt,Non-Guild mapmaker with unusual traveling arrangement; cart has seventy sides
SBR-012,Tud,the Fat Boy / the Slopsucker,W1,Person,Unknown,Unknown,None documented,Unknown,Figure known by multiple derogatory nicknames - role unclear,Unknown,dens ore.txt,Minor figure in Dens narrative
SBR-013,Ulhido,the scholar,W1,Scholar,Unknown specialty,Unknown,Unknown,Unknown,Scholar who travels with the dodger - field of study unclear,The Dodger (travels with),dens ore.txt,Itinerant scholar; travels rather than staying at Capital institutions
SBR-014,Tucker,,W1,Citizen,Hunting / Local knowledge,Capital region citizen,None documented,Unknown,Capital citizen and gobbly sprant hunter; knows about 'real chief behind the chief',Doyl (knows of),northo ore.txt,Source of local political knowledge; gobbly sprant hunting indicates rural-adjacent life
