debate_id,year,topic,school_a,school_b,judge_stone_affiliation,judge_water_affiliation,judge_pebble_affiliation,argument_complexity_a,argument_complexity_b,evidence_citations_a,evidence_citations_b,rhetorical_score_a,rhetorical_score_b,outcome,margin,linearly_separable
DEB-0001,904,Classification Failure Types,Stone_School,Water_School,0.75,0.62,0.91,79,68,71,50,41,71,a_wins,4.9,False
DEB-0002,878,Word Persistence Theory,Stone_School,Pebble_School,0.6,0.72,0.86,75,72,74,70,41,68,b_wins,5.4,False
DEB-0003,885,Federation Theory Applications,Water_School,Pebble_School,0.91,0.84,0.75,68,79,56,69,85,62,draw,2.8,False
DEB-0004,874,Cognitive Horizon Measurement,Water_School,Stone_School,0.72,0.85,0.75,57,73,73,73,89,54,draw,3.0,False
DEB-0005,884,Form Library Existence,Pebble_School,Stone_School,0.84,0.79,0.69,77,67,73,76,67,45,a_wins,7.7,False
DEB-0006,889,Expedition Risk Assessment,Pebble_School,Water_School,0.6,0.7,0.93,73,57,64,74,61,90,b_wins,3.2,False
DEB-0007,880,Yeller Categorization,Stone_School,Water_School,0.72,0.93,0.8,64,67,85,53,50,72,a_wins,3.5,False
DEB-0008,900,Memory Theory Foundations,Stone_School,Pebble_School,0.93,0.65,0.88,65,72,80,68,57,66,draw,0.6,False
DEB-0009,890,Guild Jurisdiction Limits,Water_School,Pebble_School,1.0,0.93,0.75,71,68,59,64,85,62,a_wins,6.1,False
DEB-0010,880,Creature Behavior Models,Water_School,Stone_School,0.72,0.65,0.68,66,84,71,78,75,42,draw,1.7,False
DEB-0011,876,Navigation Methods,Pebble_School,Stone_School,0.66,0.65,0.61,66,64,79,76,62,60,draw,2.1,True
DEB-0012,874,Memory Theory Foundations,Pebble_School,Water_School,0.92,0.74,0.69,66,77,62,64,65,89,b_wins,11.4,True
DEB-0013,889,Form Library Existence,Stone_School,Water_School,0.96,0.9,0.79,62,61,84,69,59,72,draw,2.7,False
