source_id,w1_record_type,w1_compiler,w1_record_date,record_content_summary,strategic_element,w2_game_mechanic,transformation_type,fidelity_notes,dens_processing_evidence
SBG-001,Personnel Roster,Fyncho Delt,Year 859,Five Columns structure - Mell Gretl Temmen Orgo Tormon as captains,Five-unit military organization,Five player positions,Structure preserved,"High fidelity - five-to-five mapping. Players inherit column command structure."
SBG-002,Strategic Assessment,Command Staff,Year 860,Regional control analysis - Dens Tower Capital North Desert,Five theater assessment,Five game regions,Structure preserved,"Near-perfect mapping: Dens Capital Tower become regions. 'Desert' becomes 'Town Made of Mysteries' (transformation)."
SBG-003,Intelligence Report,Fyncho Delt,Year 861,Capital political dynamics - Senate factions Archive influence,Political leverage analysis,Capital region - 'lifeblood is politics',Abstraction,"Political complexity → single mechanic. Dens compiled to essential attribute."
SBG-004,Intelligence Report,Fyncho Delt,Year 861,Capital weakness assessment - factional discord exploitable,Vulnerability analysis,Capital region - 'weakness is discord',Abstraction,"Strategic insight → game balance mechanic."
SBG-005,Field Dispatch,Temmen (Third Column),Year 862,Tower defenses - elevated position difficult to assault,Terrain advantage,Mirado region - 'city built up in the air',Metaphor preserved,"Defensive height → literal aerial city. Dens amplified the vertical element."
SBG-006,Intelligence Estimate,Command Staff,Year 860,Tower Council composition - Hudd Lekin Miklin leadership,Enemy command structure,Tower NPC characters,Character preservation,"Council members may appear as game NPCs. Transformation unclear."
SBG-007,Personnel Record,Command Staff,Year 859,Colonel's family - Temmer (wife) Skurla (daughter) Tormon (brother),Command relationships,Family dynamics in game narrative,Narrative preservation,"Family relationships surface as game backstory elements."
SBG-008,Strategic Brief,Fyncho Delt,Year 863,Alliance dynamics - Borpo's desert forces as potential ally,Alliance mechanics,Alliance formation rules,Mechanic abstraction,"Historical alliance possibility → game mechanic for forming alliances."
SBG-009,Field Report,Mell (First Column),Year 862,Incursion tactics - probing attacks territorial pressure,Military operations,Incursion management mechanic,Mechanic abstraction,"Attack patterns → 'manage incursions' game rule."
SBG-010,Strategic Assessment,Command Staff,Year 860,Resource capture - Yeller Quarry supplies Tower-bound,Logistics warfare,Destroy and plunder mechanics,Mechanic abstraction,"Supply line warfare → simplified plunder rules."
SBG-011,Intelligence Report,Fyncho Delt,Year 864,Dens as strategic obstacle - impassable unpredictable,Terrain assessment,Dens region special rules,Paradox preserved,"The Dens's unmappability encoded into region that 'plays differently.' Mrs. Quake's region."
SBG-012,Campaign Summary,Fyncho Delt,Year 865,Prolonged siege - neither decisive victory nor defeat,Strategic stalemate,Game balance - no automatic winner,Structural preservation,"Historical ambiguity → balanced competitive game."
SBG-013,Field Dispatch,Tormon (Fifth Column),Year 863,Northern approach routes - sparse population hidden paths,Geographic intelligence,The North region characteristics,Geography preserved,"Northern theater → Little Late's 'whole north region' with 'slate colored' card."
SBG-014,Intelligence Assessment,Command Staff,Year 861,Unknown factors - regions beyond surveillance,Information gaps,Secret region mechanic (Town Made of Mysteries),Gap preservation,"W1 intelligence gaps → one region starts 'secret.' Grandma Pete doesn't know who she is."
SBG-015,Personnel Record,Archive (pre-siege),Unknown,Swick - unofficial archivist mapmaker,Character documentation,Swick NPC in Capital,Character preserved,"Bootlegger archivist appears in game as Capital character. High fidelity."
SBG-016,Archive Record,Archive,Unknown,Archivist social structure - official vs bootlegger,Institutional dynamics,Archivist subplot in game,Narrative preservation,"Capital Archive politics surface as game narrative element."
SBG-017,Strategic Assessment,Command Staff,Year 860,Growth potential - territory expansion under siege conditions,Expansion doctrine,Growth promotion mechanic,Mechanic abstraction,"Military expansion theory → 'promote growth' game rule."
SBG-018,Campaign Doctrine,The Colonel,Year 859,Five-front coordination - simultaneous pressure required,Command philosophy,Turn-based multi-front play,Structure transformed,"Simultaneous pressure → turn-based individual action (lossy transformation)."
SBG-019,Field Report,Various Column Captains,Years 859-865,Casualty and incident reports - ongoing attrition,Attrition data,Resource depletion mechanics,Abstraction,"Specific casualties → abstracted resource loss."
SBG-020,Intelligence Compilation,Fyncho Delt,Year 866,Siege status summary - comprehensive theater assessment,Summary document,Game rulebook structure,Meta-transformation,"Fyncho's comprehensive compilation → game rules framework. The 'rules' narrator reads in 'half an hour.'"
