assessment_id,system_name,assessment_date,claim_evaluated,claim_source,verdict,confidence,key_evidence,assessor,response
SA-916-001,Provenance Engine,916,Can authenticate any manuscript with numerical confidence score,Capital Archive promotional materials,qualified,0.85,Engine produces scores in MUP zone (0.35-0.65) for difficult cases; these scores restate uncertainty rather than resolving it,"V. Kellam (primary), P. Senth, M. Rostak, A. Vessk",No formal response received
SA-916-002,Provenance Engine,916,Achieves breakthrough in authentication methodology,Capital Archive annual report,overstated,0.8,Engine confirms existing certainty and measures existing uncertainty; does not create new knowledge,V. Kellam,No formal response received
SA-916-003,Provenance Engine,916,Known forgeries score below 0.20; verified documents score above 0.80,Technical documentation,validated,0.9,Mink Pavar forgeries consistently score 0.12-0.18; unbroken provenance documents score 0.82-0.94,P. Senth,No formal response received
SA-916-101,Provenance Engine,916,MUP zone scores provide actionable information,Archive policy memo,debunked,0.74,Technical analysis of mup zone scores provide actionable information methodology and results,P. Senth,Strong disagreement registered
SA-916-104,Provenance Engine,916,Ink composition analysis is reliable indicator,Technical documentation,validated,0.82,Technical analysis of ink composition analysis is reliable indicator methodology and results,V. Kellam,Partial agreement expressed
SA-916-105,Provenance Engine,916,Parchment dating correlates with provenance,Technical documentation,validated,0.82,Technical analysis of parchment dating correlates with provenance methodology and results,"V. Kellam (primary), P. Senth, A. Vessk",Response invited dialogue
SA-916-106,Provenance Engine,916,Weighted composite outperforms individual markers,Technical documentation,validated,0.77,Technical analysis of weighted composite outperforms individual markers methodology and results,"V. Kellam (primary), P. Senth",No formal response received
SA-916-107,Provenance Engine,916,Political influence does not affect scoring,Archive statement,qualified,0.57,Technical analysis of political influence does not affect scoring methodology and results,"P. Senth (primary), V. Kellam",Institution declined to comment
SA-917-103,Provenance Engine,917,System reduces authentication disputes,Archive annual report,overstated,0.7,Technical analysis of system reduces authentication disputes methodology and results,P. Senth,Developer acknowledged concerns
SA-918-001,Pattern Book,918,Achieves 73% accuracy in predicting creature emergence,Yeller Quarry research bulletin,overstated,0.88,73% achieved only counting partial matches as successes; strict accuracy is 65.4%; improvement over folk knowledge is 4.4 percentage points,"P. Senth (primary), V. Kellam, A. Vessk",Pollus Brent acknowledged methodology clarification needed
SA-918-002,Pattern Book,918,Environmental precursors permit early warning,Pattern Book promotional materials,qualified,0.75,Correlations exist but seasonal breakdown shows summer accuracy falls to 54% (near-chance); seasonal caveats not mentioned in promotional materials,P. Senth,Kem Vess acknowledged seasonal variation issue
SA-918-003,Pattern Book,918,Captures 'grammar' of creature behavior,Academic presentation,overstated,0.82,Grammar implies stable rules; the 'grammar' changes daily; prime patterns exist but which prime governs which creature is unpredictable,"V. Kellam, A. Vessk",No formal response received
SA-918-100,Provenance Engine,918,Citation cascade analysis improves overall accuracy,Technical documentation,qualified,0.68,Technical analysis of citation cascade analysis improves overall accuracy methodology and results,"V. Kellam (primary), P. Senth",Developer acknowledged concerns
SA-918-102,Provenance Engine,918,Method is reproducible across different analysts,Technical documentation,validated,0.89,Technical analysis of method is reproducible across different analysts methodology and results,P. Senth,Partial agreement expressed
SA-918-108,Pattern Book,918,Prime number patterns predict creature cycles,Academic paper,qualified,0.62,Technical analysis of prime number patterns predict creature cycles methodology and results,"P. Senth (primary), V. Kellam",No formal response received
SA-918-109,Pattern Book,918,Folk rules can be systematically validated,Research bulletin,validated,0.87,Technical analysis of folk rules can be systematically validated methodology and results,"P. Senth (primary), V. Kellam",Institution declined to comment
SA-918-113,Pattern Book,918,Temperature correlation enables forecasting,Field reports,qualified,0.7,Technical analysis of temperature correlation enables forecasting methodology and results,V. Kellam,Strong disagreement registered
