training_id,experiment_name,year,experimenter,epoch,total_epochs,learning_rate,batch_size,dictionary_size,hidden_dim,sparsity_penalty,l1_loss,reconstruction_loss,total_loss,sparsity,active_features,dead_features,mean_activation,max_activation,feature_density,explained_variance,gradient_norm,weight_norm,encoder_norm,decoder_norm,convergence_metric,training_phase,densworld_analog,notes
SAE-001-E0000,Baseline SAE Training,922,Prenn Vash,0,10000,0.0003,64,512,128,0.01,0.523,0.456,0.979,0.12,512,0,0.234,0.987,0.456,0.234,12.45,0.123,0.456,0.478,random,initialization,Chaos state,Random initialization
SAE-001-E0100,Baseline SAE Training,922,Prenn Vash,100,10000,0.0003,64,512,128,0.01,0.234,0.189,0.423,0.34,498,14,0.156,0.934,0.312,0.567,8.23,0.234,0.567,0.589,early_descent,early_training,Initial ordering,Features beginning to specialize
SAE-001-E0500,Baseline SAE Training,922,Prenn Vash,500,10000,0.0003,64,512,128,0.01,0.145,0.089,0.234,0.56,478,34,0.089,0.912,0.198,0.756,4.56,0.345,0.678,0.698,rapid_learning,feature_formation,Form emergence,Clear features emerging
SAE-001-E1000,Baseline SAE Training,922,Prenn Vash,1000,10000,0.0003,64,512,128,0.01,0.098,0.056,0.154,0.72,456,56,0.067,0.889,0.134,0.845,2.34,0.412,0.756,0.778,stabilizing,specialization,Specialization,Features becoming monosemantic
SAE-001-E2000,Baseline SAE Training,922,Prenn Vash,2000,10000,0.0003,64,512,128,0.01,0.067,0.034,0.101,0.81,445,67,0.045,0.867,0.089,0.912,1.23,0.467,0.812,0.834,plateau_approach,refinement,Refinement,Fine-tuning feature boundaries
SAE-001-E5000,Baseline SAE Training,922,Prenn Vash,5000,10000,0.0003,64,512,128,0.01,0.045,0.023,0.068,0.85,487,25,0.034,0.892,0.067,0.945,0.56,0.498,0.856,0.878,near_convergence,convergence,Near clarity,Approaching final state
SAE-001-E10000,Baseline SAE Training,922,Prenn Vash,10000,10000,0.0003,64,512,128,0.01,0.042,0.021,0.063,0.86,491,21,0.032,0.895,0.063,0.952,0.34,0.512,0.867,0.889,converged,final,Full clarity,Training complete
SAE-002-E0000,High Sparsity SAE,922,Prenn Vash,0,10000,0.0003,64,512,128,0.05,0.789,0.456,1.245,0.12,512,0,0.234,0.987,0.456,0.234,15.67,0.123,0.456,0.478,random,initialization,Chaos state,High sparsity penalty
SAE-002-E1000,High Sparsity SAE,922,Prenn Vash,1000,10000,0.0003,64,512,128,0.05,0.234,0.078,0.312,0.78,423,89,0.045,0.845,0.112,0.867,3.45,0.389,0.723,0.745,stabilizing,specialization,Pure isolation,Strong sparsity creates dead features
SAE-002-E5000,High Sparsity SAE,922,Prenn Vash,5000,10000,0.0003,64,512,128,0.05,0.156,0.056,0.212,0.89,398,114,0.028,0.812,0.078,0.912,1.23,0.445,0.789,0.812,near_convergence,convergence,Sparse clarity,Many dead features but pure active ones
SAE-002-E10000,High Sparsity SAE,922,Prenn Vash,10000,10000,0.0003,64,512,128,0.05,0.145,0.052,0.197,0.91,389,123,0.024,0.798,0.072,0.923,0.67,0.467,0.801,0.823,converged,final,Maximum purity,Trade-off complete
SAE-003-E0000,Low Sparsity SAE,922,Prenn Vash,0,10000,0.0003,64,512,128,0.001,0.034,0.456,0.490,0.12,512,0,0.234,0.987,0.456,0.234,12.34,0.123,0.456,0.478,random,initialization,Chaos state,Low sparsity penalty
SAE-003-E1000,Low Sparsity SAE,922,Prenn Vash,1000,10000,0.0003,64,512,128,0.001,0.012,0.023,0.035,0.34,508,4,0.178,0.956,0.389,0.956,1.89,0.378,0.689,0.712,rapid_descent,specialization,Tangled state,Low sparsity preserves all features
SAE-003-E5000,Low Sparsity SAE,922,Prenn Vash,5000,10000,0.0003,64,512,128,0.001,0.008,0.012,0.020,0.42,502,10,0.134,0.945,0.312,0.978,0.67,0.423,0.734,0.756,near_convergence,convergence,Entangled,Features remain polysemantic
