student_id,model_version,prediction_date,semester,predicted_gpa,predicted_retention,predicted_graduation,risk_level,trajectory,intervention_recommended,intervention_applied,actual_outcome,prediction_accuracy,anomaly_flag
ST-3049,v1.0,2018-09-10,Y1-F,2.07,0.4,0.45,low,rising,,,,0.97,False
ST-3077,v1.0,2018-09-10,Y1-F,3.14,0.83,0.6,low,stable,,,,0.99,False
ST-3060,v1.0,2018-09-10,Y1-F,2.53,0.84,0.59,low,stable,,,,0.85,False
ST-3068,v1.0,2018-09-10,Y1-F,3.31,0.79,0.64,high,rising,mentorship,mentorship,,0.94,False
ST-3033,v1.0,2018-09-10,Y1-F,2.58,0.73,0.57,medium,rising,tutoring,tutoring,,0.87,False
ST-3071,v1.0,2018-09-10,Y1-F,2.7,0.81,0.8,medium,rising,financial_review,,,0.83,False
AB-2201,v1.0,2018-09-10,Y1-F,3.82,0.91,0.56,low,rising,,,,0.97,False
ST-3088,v1.0,2018-09-10,Y1-F,2.56,0.79,0.84,low,declining,,,,0.98,False
ST-3015,v1.0,2018-09-10,Y1-F,2.2,0.74,0.55,high,declining,tutoring,tutoring,,0.98,True
ST-3093,v1.0,2018-09-10,Y1-F,2.73,0.88,0.52,low,rising,,,,0.97,False
ST-3069,v1.0,2018-09-10,Y1-F,1.59,0.59,0.22,high,declining,mentorship,mentorship,,0.98,False
ST-3035,v1.0,2018-09-10,Y1-F,2.53,0.73,0.81,low,stable,,,,0.95,False
ST-3083,v1.0,2018-09-10,Y1-F,2.32,0.6,0.38,critical,rising,counseling,counseling,,0.95,False
ST-3044,v1.0,2018-09-10,Y1-F,2.11,0.5,0.31,high,rising,course_advising,course_advising,,0.93,False
ST-3092,v1.0,2018-09-10,Y1-F,2.49,0.59,0.38,medium,stable,mentorship,,,0.99,False
ST-3038,v1.0,2018-09-10,Y1-F,2.5,0.91,0.75,medium,volatile,faculty_notification,faculty_notification,,0.97,False
ST-3056,v1.0,2018-09-10,Y1-F,2.39,0.73,0.24,critical,stable,mentorship,,,0.92,False
ST-3021,v1.0,2018-09-10,Y1-F,2.93,0.75,0.62,medium,declining,financial_review,financial_review,,0.95,False
ST-3059,v1.0,2018-09-10,Y1-F,3.5,0.72,0.65,low,rising,,,,0.92,False
JK-3847,v1.0,2018-09-10,Y1-F,2.79,0.77,0.76,medium,stable,mentorship,mentorship,,0.9,True
ST-3034,v1.0,2018-09-10,Y1-F,3.42,0.74,0.51,low,stable,,,,0.96,False
ST-3065,v1.0,2018-09-10,Y1-F,2.57,0.79,0.83,critical,rising,counseling,counseling,,0.99,False
ST-3023,v1.0,2018-09-10,Y1-F,2.7,0.9,0.81,low,stable,,,,0.97,False
ST-3079,v1.0,2018-09-10,Y1-F,3.35,0.92,0.84,high,declining,mentorship,mentorship,,0.86,False
ST-3014,v1.0,2018-09-10,Y1-F,3.48,0.8,0.73,medium,rising,tutoring,,,0.94,False
ST-3039,v1.0,2018-09-10,Y1-F,3.49,0.91,0.58,high,stable,counseling,,,0.91,False
ST-3099,v1.0,2018-09-10,Y1-F,2.95,0.87,0.64,low,rising,,,,0.96,False
ST-3026,v1.0,2018-09-10,Y1-F,2.77,0.83,0.74,high,stable,mentorship,mentorship,,0.93,False
ST-3020,v1.0,2018-09-10,Y1-F,3.01,0.94,0.59,low,stable,,,,0.99,False
ST-3048,v1.0,2018-09-10,Y1-F,2.64,0.85,0.68,low,stable,,,,0.93,False
ST-3091,v1.0,2018-09-10,Y1-F,2.68,0.7,0.82,medium,declining,faculty_notification,,,0.88,False
ST-3097,v1.0,2018-09-10,Y1-F,2.87,0.94,0.82,medium,stable,mentorship,,,0.93,False
ST-3081,v1.0,2018-09-10,Y1-F,2.57,0.8,0.64,low,rising,,,,0.94,False
ST-3042,v1.0,2018-09-10,Y1-F,1.66,0.64,0.52,high,stable,mentorship,mentorship,,0.92,False
ST-3063,v1.0,2018-09-10,Y1-F,2.92,0.85,0.61,low,stable,,,,0.87,False
SM-2203,v1.0,2018-09-10,Y1-F,1.81,0.74,0.46,high,stable,counseling,counseling,,0.99,False
ST-3086,v1.0,2018-09-10,Y1-F,3.05,0.78,0.78,low,rising,,,,0.98,False
ST-3098,v1.0,2018-09-10,Y1-F,3.38,0.89,0.66,high,stable,course_advising,course_advising,,0.99,False
ST-3024,v1.0,2018-09-10,Y1-F,2.73,0.7,0.76,medium,rising,course_advising,course_advising,,0.89,False
ST-3057,v1.0,2018-09-10,Y1-F,2.96,0.82,0.7,high,rising,tutoring,,,0.89,False
ST-3054,v1.0,2018-09-10,Y1-F,1.96,0.61,0.53,critical,stable,course_advising,,,0.81,False
ST-3052,v1.0,2018-09-10,Y1-F,1.68,0.66,0.37,medium,rising,faculty_notification,faculty_notification,,0.95,False
ST-3072,v1.0,2018-09-10,Y1-F,2.8,0.76,0.65,medium,rising,counseling,counseling,,0.92,False
ST-3016,v1.0,2018-09-10,Y1-F,2.44,0.48,0.44,high,rising,course_advising,course_advising,,0.99,False
SJ-2202,v1.0,2018-09-10,Y1-F,2.52,0.91,0.64,medium,volatile,mentorship,,,0.99,False
ST-3061,v1.0,2018-09-10,Y1-F,2.75,0.7,0.62,medium,declining,course_advising,course_advising,,0.93,False
ST-3037,v1.0,2018-09-10,Y1-F,2.61,0.92,0.67,low,stable,,,,0.86,False
