student_id,final_status,final_gpa,semesters_enrolled,interventions_received,model_accuracy,fountain_group_member,notes
JK-3847,disappeared,,15,4,0.0,True,Subject of Anomaly Report JK-3847. Model never achieved stable prediction.
AB-2201,transferred,3.28,6,1,0.66,True,Transferred following JK-3847 departure. Cited 'changed circumstances.'
SM-2203,continuing,2.82,6,3,0.79,True,
SJ-2202,graduated,3.49,5,1,0.81,True,
NR-2407,continuing,3.17,4,2,0.8,True,
ST-3006,continuing,3.1,4,5,0.82,False,
ST-3007,continuing,2.48,2,2,0.76,False,
ST-3008,dropped_out,1.77,3,3,0.79,False,Multiple interventions did not prevent dropout
ST-3009,graduated,3.44,6,1,0.84,False,
ST-3010,transferred,3.18,2,4,0.53,False,
ST-3011,continuing,2.36,4,1,0.74,False,
ST-3012,dropped_out,1.73,4,1,0.67,False,
ST-3013,graduated,3.55,5,0,0.85,False,
ST-3014,graduated,3.61,4,1,0.84,False,
ST-3015,graduated,3.78,5,0,0.89,False,
ST-3016,graduated,3.12,4,4,0.72,False,
ST-3017,transferred,3.22,3,3,0.66,False,
ST-3018,graduated,2.65,7,5,0.8,False,
ST-3019,dropped_out,1.41,4,5,0.79,False,Multiple interventions did not prevent dropout
ST-3020,transferred,3.34,5,5,0.57,False,
ST-3021,dropped_out,1.21,1,3,0.62,False,Multiple interventions did not prevent dropout
ST-3022,dropped_out,2.29,2,4,0.61,False,Multiple interventions did not prevent dropout
ST-3023,continuing,2.83,2,1,0.79,False,
ST-3024,graduated,3.8,7,1,0.76,False,
ST-3025,graduated,2.58,8,5,0.74,False,
ST-3026,graduated,3.22,8,4,0.86,False,
ST-3027,dropped_out,1.82,1,1,0.79,False,
ST-3028,continuing,3.29,3,5,0.8,False,
ST-3029,graduated,3.22,6,1,0.72,False,
ST-3030,dropped_out,1.98,1,0,0.74,False,
ST-3031,graduated,2.66,6,4,0.77,False,
ST-3032,graduated,3.77,4,0,0.75,False,
ST-3033,continuing,2.87,4,3,0.77,False,
ST-3034,graduated,3.14,6,2,0.8,False,
ST-3035,dropped_out,1.81,1,0,0.77,False,
ST-3036,graduated,2.74,6,1,0.87,False,
ST-3037,continuing,2.96,3,2,0.76,False,
ST-3038,graduated,3.31,4,2,0.81,False,
ST-3039,graduated,3.67,7,2,0.79,False,
ST-3040,transferred,3.46,3,0,0.63,False,
ST-3041,dropped_out,1.52,2,4,0.78,False,Multiple interventions did not prevent dropout
ST-3042,transferred,3.37,3,1,0.6,False,
ST-3043,graduated,3.52,7,4,0.71,False,
ST-3044,graduated,2.85,8,4,0.72,False,
ST-3045,dropped_out,1.6,1,2,0.69,False,
ST-3046,continuing,2.46,3,0,0.72,False,
ST-3047,graduated,3.76,7,0,0.89,False,
ST-3048,graduated,3.45,6,3,0.82,False,
ST-3049,graduated,2.95,8,4,0.87,False,
ST-3050,graduated,2.63,4,3,0.73,False,
ST-3051,graduated,3.55,8,3,0.81,False,
ST-3052,dropped_out,1.35,1,5,0.77,False,Multiple interventions did not prevent dropout
ST-3053,graduated,2.66,7,2,0.81,False,
ST-3054,graduated,3.44,6,1,0.84,False,
ST-3055,transferred,3.09,5,2,0.55,False,
ST-3056,continuing,2.85,4,4,0.81,False,
ST-3057,continuing,3.27,3,0,0.72,False,
ST-3058,continuing,2.75,4,5,0.8,False,
ST-3059,graduated,3.45,4,0,0.73,False,
ST-3060,graduated,2.87,7,0,0.86,False,
ST-3061,continuing,2.77,6,1,0.81,False,
ST-3062,dropped_out,1.82,1,4,0.7,False,Multiple interventions did not prevent dropout
ST-3063,graduated,3.58,4,5,0.84,False,
ST-3064,dropped_out,1.61,1,1,0.75,False,
ST-3065,transferred,3.42,3,2,0.54,False,
ST-3066,continuing,2.87,2,3,0.74,False,
ST-3067,graduated,3.76,6,1,0.88,False,
ST-3068,continuing,3.24,2,3,0.72,False,
ST-3069,graduated,2.78,8,2,0.78,False,
ST-3070,continuing,3.36,6,0,0.8,False,
ST-3071,continuing,3.28,5,0,0.69,False,
ST-3072,dropped_out,1.59,3,2,0.63,False,
ST-3073,continuing,2.5,4,3,0.68,False,
ST-3074,dropped_out,1.3,2,3,0.7,False,Multiple interventions did not prevent dropout
ST-3075,graduated,3.5,6,3,0.75,False,
ST-3076,graduated,2.97,5,2,0.81,False,
ST-3077,graduated,3.07,7,2,0.73,False,
ST-3078,transferred,2.8,3,2,0.53,False,
ST-3079,graduated,3.01,6,1,0.88,False,
ST-3080,transferred,3.46,4,3,0.53,False,
ST-3081,dropped_out,2.16,2,3,0.68,False,Multiple interventions did not prevent dropout
ST-3082,dropped_out,2.31,4,0,0.63,False,
ST-3083,continuing,2.44,4,5,0.75,False,
ST-3084,graduated,3.38,6,4,0.79,False,
ST-3085,transferred,3.1,4,0,0.57,False,
ST-3086,continuing,2.57,3,1,0.78,False,
ST-3087,graduated,3.5,6,1,0.9,False,
ST-3088,transferred,3.1,5,0,0.68,False,
ST-3089,transferred,3.15,3,4,0.55,False,
ST-3090,dropped_out,1.38,1,0,0.63,False,
ST-3091,graduated,2.75,5,4,0.79,False,
ST-3092,graduated,3.62,7,2,0.78,False,
ST-3093,transferred,3.49,3,3,0.58,False,
ST-3094,graduated,3.06,4,2,0.76,False,
ST-3095,graduated,3.73,7,0,0.75,False,
ST-3096,graduated,2.5,6,3,0.74,False,
ST-3097,graduated,3.29,7,3,0.74,False,
ST-3098,graduated,2.9,4,5,0.83,False,
ST-3099,dropped_out,2.23,3,2,0.69,False,
ST-3100,transferred,3.21,4,2,0.56,False,
