character_id,name,role,age_category,description,key_relationships,first_appearance,puzzle_connection,notes
CHAR_001,Vivian Hammond,tutor,adult,"Enigmatic tutor who uses puzzles to teach algebra, addiction recovery, and language. Lives alone in Hilly Dale. Subject of many subdivision stories.","tutored by: none; tutors: Cassie, Little Porn, Bruce, Rachel, many others",The ice-fishing puzzle narrative,Uses ice-fishing puzzle as tutoring test. Leaves the hole piece missing deliberately.,"Stories about her: lived in show-house basement for a decade, camped in front yard tent, ran marathon backward."
CHAR_002,Cassie,student,teenager,"Tenth-grader struggling with algebra, sent to Vivian for tutoring. Narrator of the ice-fishing puzzle story.",friend: Rachel; tutor: Vivian; informant for: Cousins,Arriving at Vivian's house for first tutoring session,Spends an hour alone with the ice-fishing puzzle while Vivian sleeps. Names the fisherman 'Paul.',Discovers Little Porn's notebooks. Becomes key to understanding Vivian.
CHAR_003,Little Porn,language_inventor,child,Child prodigy obsessed with patterns. Invented LPN (Little Porn's Nomenclature) for naming puzzle pieces. Parents were linguist missionaries.,friend: Vivian (childhood); rival: Quonxy; parents: linguist missionaries,Referenced in Vivian's notebooks,Created complete puzzle-piece language mapping shapes to phonemes. Central figure in Tractatus Summer competition.,"Hated talking but loved naming. Completed Escher puzzle at age 4, then refused puzzles until Vivian."
CHAR_004,Quonxy,tutor,adult,Older woman who tutors children using puzzles. Invented CSQ (Cocksucker Quine Superscriptions). Became Little Porn's 'terrible enemy.',"rival: Little Porn; tutors: Simon (puzzle kid), Bill (addiction), many others",The Diary of All Puzzles,Created competing puzzle notation system. Uses puzzles to teach addiction resistance via 'Camel-Weasel-Whale' method.,"Poor, impatient with waste. May have had addictions herself."
CHAR_005,Paul,puzzle_figure,unknown,The ice-fishing man in Vivian's puzzle. Not a real person—a figure Cassie names and talks to.,named by: Cassie,The ice-fishing puzzle,Sits on 8 pieces of the puzzle. The hole where his line drops is the missing piece.,"Wears mackinaw coat, has earflaps, beard, thermos of soup. Cassie's only companion during the strange tutoring session."
CHAR_006,Rachel,student,teenager,Cassie's friend. Returned from Kuwait where family were missionaries. First child Vivian ever tutored.,friend: Cassie; tutor: Vivian; parents: missionaries,Referenced as Cassie's friend and Vivian's first student,Introduced Cassie to Vivian. Has 'reactor of intensity' from missionary upbringing.,"Blonde, five-six, sits alone at lunch with three empty spaces around her."
CHAR_007,Cousins,detective,adult,Private investigator hired to find out why Hilly Dale produces so many smart kids. Works with Cassie.,informant: Cassie,The Diary of All Puzzles,Investigating the tutoring phenomenon. Reads Little Porn's notebooks with Cassie's help.,Calls himself Cousins. Describes profession as 'consultant.' Hasn't filed taxes in years.
CHAR_008,Bruce Stephenson,student,adult,Thirty-something man who lives down the street. First adult Vivian tutors. Losing ability to speak.,wife: Esther; tutor: Vivian,The ice floes wash the puzzle fragment,Words get blocked at back of his throat. Vivian's puzzle methods may help.,Not interested in putting feelings into words. Had been a bird watcher. Hobby: radio control cars.
CHAR_009,Simon,student,child,The 'puzzle kid' — first child Quonxy taught using puzzle methods. Became 'smart as a whip' after.,tutor: Quonxy,The Diary of All Puzzles,First to work out puzzle language under Quonxy's guidance. Changed everything for the subdivision.,Asked to write directions for an alien to put puzzle together. Took rest of summer and fall.
CHAR_010,Bill,client,adult,"Man who drinks too much (coffee, soda, beer). Comes to Quonxy for addiction help.",advisor: Quonxy,The Diary of All Puzzles,Quonxy uses puzzle metaphors to teach addiction resistance.,Heard Quonxy helped someone lose 30 pounds. Meets weekly. 68 ounces of coffee and bottle of wine per day.
CHAR_011,Pastor Hitch,client,adult,Pastor struggling with gambling addiction (sports betting). Comes to Vivian for help.,advisor: Vivian; wife: Gina,The Diary of All Puzzles,Taught the 'Camel-Weasel-Whale' method for flipping impulses.,Spends sermon-writing time on sports stats. Doesn't actually enjoy gambling but can't stop.
CHAR_012,Nelson Hammond,backstory,deceased,Vivian's father. Bird watcher who whittled walking sticks.,daughter: Vivian; father: Jacob Hammond,Referenced in Vivian backstory,His father Jacob manufactured puzzles with curiously detailed surfaces.,Lived on the land before subdivision was built.
CHAR_013,Jacob Hammond,backstory,deceased,"Vivian's grandfather. Managed printing press in St. Louis, manufactured jigsaw puzzles on the side.",son: Nelson Hammond; granddaughter: Vivian,Referenced in Vivian backstory,Made puzzles with admixtures of natural forms and fonts/ciphers. Puzzles wouldn't come apart without tearing.,His puzzles were beautiful but unusable as puzzles.
CHAR_014,Gregory,student,child,Seven-year-old boy. Parents Robert and Stacy hired Vivian as tutor.,parents: Robert and Stacy; tutor: Vivian,The Diary of All Puzzles,Met Vivian in Walmart parking lot. Got all A's after one quarter with her.,Likes black-haired women who smile at him.
CHAR_015,Crank (Mr. Matthews),resident,adult,Subdivision resident. Hobbyist linguist who wanted to be a missionary. Works in software.,influenced by: Little Porn,The Diary of All Puzzles,Interested in private prayer language. Wrote paper on 'Private Prayer Language of Apostle Paul.',Got nickname from saying 'Give her a crank' about his lawn mower.
