measurement_id,experiment_name,year,experimenter,model_name,model_type,hidden_dim,num_features,feature_sparsity,superposition_score,capacity_ratio,interference_level,reconstruction_error,feature_correlation_mean,feature_correlation_max,orthogonality_score,polysemanticity_index,monosemanticity_index,dimension_utilization,effective_dimensions,compression_ratio,phase,densworld_analog,think_switch_state,notes
SUP-001,Baseline Measurement,921,Prenn Vash,toy_model_a,mlp,64,128,0.1,0.67,2.0,0.23,0.089,0.12,0.45,0.78,0.45,0.55,0.89,57,2.0,superposition,Think-Switch Active,dense_active,High superposition with sparse features
SUP-002,Dense Features,921,Prenn Vash,toy_model_b,mlp,64,128,0.9,0.12,2.0,0.78,0.234,0.67,0.89,0.34,0.78,0.22,0.56,36,2.0,no_superposition,No Think-Switch,single_channel,Dense features prevent superposition
SUP-003,Sparse Features,921,Prenn Vash,toy_model_c,mlp,64,256,0.05,0.89,4.0,0.12,0.045,0.08,0.34,0.91,0.23,0.77,0.95,61,4.0,strong_superposition,Multi-Switch,sparse_active,Very sparse features enable high compression
SUP-004,Critical Sparsity,922,Prenn Vash,toy_model_d,mlp,64,128,0.15,0.56,2.0,0.34,0.112,0.23,0.56,0.67,0.56,0.44,0.78,50,2.0,transition,Transition State,transitioning,Near phase transition point
SUP-005,Low Capacity,922,Prenn Vash,toy_model_e,mlp,64,64,0.1,0.23,1.0,0.12,0.034,0.08,0.23,0.89,0.23,0.77,0.92,59,1.0,no_superposition,Direct Encoding,one_to_one,No need for superposition
SUP-006,High Capacity,922,Prenn Vash,toy_model_f,mlp,64,512,0.05,0.95,8.0,0.08,0.023,0.05,0.23,0.94,0.12,0.88,0.98,63,8.0,extreme_superposition,Hyper-Switch,ultra_sparse,Extreme compression achieved
SUP-007,Grokking Model Pre,922,Prenn Vash,grok_beta_pretrain,transformer_1layer,128,512,0.3,0.45,4.0,0.45,0.178,0.34,0.67,0.56,0.67,0.33,0.67,86,4.0,mixed,Pre-Clarity Switch,entangled,Before grokking - mixed state
SUP-008,Grokking Model Post,922,Prenn Vash,grok_alpha,transformer_1layer,128,512,0.1,0.78,4.0,0.18,0.045,0.12,0.34,0.84,0.28,0.72,0.91,116,4.0,structured_superposition,Clarity Switch,organized,After grokking - organized superposition
SUP-009,Attention Layer,923,Prenn Vash,grok_alpha,transformer_1layer,128,256,0.15,0.56,2.0,0.28,0.089,0.18,0.45,0.72,0.42,0.58,0.82,105,2.0,moderate_superposition,Routing Switch,routing,Attention layer specific
SUP-010,MLP Layer,923,Prenn Vash,grok_alpha,transformer_1layer,512,1024,0.08,0.82,2.0,0.14,0.056,0.09,0.32,0.88,0.22,0.78,0.93,476,2.0,strong_superposition,Compute Switch,computing,MLP layer specific
SUP-011,Embedding Layer,923,Prenn Vash,grok_alpha,transformer_1layer,128,97,0.5,0.18,0.76,0.08,0.023,0.06,0.18,0.94,0.12,0.88,0.98,125,0.76,minimal_superposition,Token Switch,token_specific,Embedding layer - near orthogonal
SUP-012,Residual Stream,923,Prenn Vash,grok_alpha,transformer_1layer,128,384,0.12,0.72,3.0,0.21,0.067,0.14,0.38,0.81,0.32,0.68,0.89,114,3.0,moderate_superposition,Flow Switch,flowing,Residual stream measurements
SUP-013,Phase Transition Study,923,Prenn Vash,toy_phase,mlp,64,128,0.12,0.52,2.0,0.38,0.134,0.28,0.58,0.62,0.52,0.48,0.74,47,2.0,critical,Phase Boundary,critical,Near critical sparsity
SUP-014,Sparsity 0.01,924,Prenn Vash,toy_sweep_a,mlp,64,256,0.01,0.96,4.0,0.05,0.012,0.03,0.15,0.97,0.08,0.92,0.99,63,4.0,extreme_superposition,Ultra-Switch,ultra_sparse,Extreme sparsity test
SUP-015,Sparsity 0.05,924,Prenn Vash,toy_sweep_b,mlp,64,256,0.05,0.89,4.0,0.11,0.034,0.07,0.28,0.92,0.18,0.82,0.96,61,4.0,strong_superposition,Multi-Switch,sparse,Strong superposition
SUP-016,Sparsity 0.10,924,Prenn Vash,toy_sweep_c,mlp,64,256,0.1,0.78,4.0,0.18,0.067,0.14,0.42,0.84,0.32,0.68,0.91,54,4.0,moderate_superposition,Standard Switch,moderate,Moderate superposition
SUP-017,Sparsity 0.20,924,Prenn Vash,toy_sweep_d,mlp,64,256,0.2,0.56,4.0,0.34,0.123,0.28,0.61,0.67,0.52,0.48,0.78,43,4.0,weak_superposition,Limited Switch,limited,Weak superposition
SUP-018,Sparsity 0.50,924,Prenn Vash,toy_sweep_e,mlp,64,256,0.5,0.23,4.0,0.67,0.289,0.56,0.84,0.34,0.78,0.22,0.52,33,4.0,no_superposition,Dense State,dense,No superposition possible
SUP-019,Importance Weighted,924,Prenn Vash,toy_importance,mlp,64,128,0.1,0.71,2.0,0.21,0.078,0.11,0.38,0.81,0.38,0.62,0.88,56,2.0,importance_superposition,Priority Switch,prioritized,Important features get more space
SUP-020,Feature Geometry,924,Prenn Vash,toy_geometry,mlp,64,192,0.08,0.82,3.0,0.15,0.045,0.09,0.32,0.87,0.25,0.75,0.92,59,3.0,geometric_superposition,Geometric Switch,geometric,Studying feature vector geometry
SUP-021,Interference Pattern,925,Prenn Vash,toy_interference,mlp,64,128,0.1,0.67,2.0,0.28,0.098,0.16,0.48,0.75,0.48,0.52,0.84,54,2.0,interference_pattern,Interference Switch,interfering,Studying interference patterns
SUP-022,Reconstruction Test,925,Prenn Vash,grok_alpha,transformer_1layer,128,512,0.1,0.78,4.0,0.18,0.045,0.12,0.34,0.84,0.28,0.72,0.91,116,4.0,structured_superposition,Reconstruction Test,reconstructing,Testing SAE reconstruction
SUP-023,Capacity Limit,925,Prenn Vash,toy_limit,mlp,64,1024,0.02,0.98,16.0,0.04,0.008,0.02,0.12,0.98,0.05,0.95,0.99,63,16.0,maximum_superposition,Maximum Switch,maximum,Testing capacity limits
SUP-024,Feature Correlation,925,Prenn Vash,grok_alpha,transformer_1layer,128,512,0.1,0.78,4.0,0.18,0.045,0.12,0.34,0.84,0.28,0.72,0.91,116,4.0,structured_superposition,Correlation Test,correlating,Feature correlation analysis
SUP-025,Summary Statistics,925,Prenn Vash,multiple,various,various,various,various,varies,varies,varies,varies,varies,varies,varies,varies,varies,varies,varies,varies,summary,Summary State,aggregated,Aggregate measurements
