testimony_id,date,witness,role,topic,session_type,key_claim,text_excerpt,credibility_rating
TR-001,1849-11-15,Unna Krehl,Moat Engineer,Moat failure analysis,commission,The moat worked when we treated it as a negotiation. It failed when we tried to dominate.,"The moat worked. I want to be clear about that. The moat worked. What didn't work was everything that came after. We started with a truce and ended with a war.",high
TR-002,1849-11-22,Unna Krehl,Moat Engineer,Institutional failure,commission,The institution forgot what the moat was for.,"The moat was an engineering project. It became an institution. And the institution became a way of thinking that forgot what the moat was for.",high
TR-003,1849-12-05,Kell,Senior Surveyor,SW deterioration,commission,I warned them for three years. They filed my reports and funded more construction.,"Every season I documented the patterns. Every season they asked for more moat. By Year 1847 I stopped expecting anyone to listen.",high
TR-004,1849-12-12,Kell,Senior Surveyor,Surveyor breakdowns,commission,We lost good surveyors because the institution demanded certainty where none existed.,"The dens doesn't care about our categories. We tried to make it care. That's what broke us.",high
TR-005,1850-01-10,Senator Krehl,Former Interventionist Leader,Policy decisions,commission,We believed we were protecting people. We were wrong about how protection works.,"I stand by every vote. I was trying to protect the settlements. What I understand now is that protection and control are not the same thing.",moderate
TR-006,1850-01-18,Senator Gast,Reformist Leader,Alternative approaches,commission,We proposed research instead of reinforcement. They called it defeatism.,"The reformist proposals were not about giving up. They were about understanding before acting. But the Senate wanted action.",high
TR-007,1850-02-05,Prebel,Independent Researcher,Non-containment methods,commission,The boundary responds to approach. Aggression begets aggression.,"What I observed at the northern sector convinced me. The dens knows when it's being attacked. It responds in kind.",high
TR-008,1850-02-15,Prebel,Independent Researcher,Coexistence possibility,commission,We don't have to fight the boundary. We can negotiate with it.,"Yeller survived not by building walls but by letting them down. The entity understood something we refused to learn.",high
TR-009,1850-03-01,Former Surveyor A,Survey Office,Working conditions,commission,They pushed us past breaking. Then they blamed us for breaking.,"We were asked to document the unknowable. When we said it couldn't be done the way they wanted they replaced us with people who would lie.",moderate
TR-010,1850-03-08,Former Surveyor B,Survey Office,Data manipulation,commission,The reports were edited before they reached the Senate.,"My original observations showed retreat patterns. What reached the committee showed containment success. I don't know who changed them.",moderate
