satellite,compliance_score,mean_cert_score,termination_rate_percent,instructor_qual_score,student_prep_score,study_period
Capital Central,97,81.2,3.4,8.9,78.5,849-850
Capital East,96,80.5,3.8,8.7,77.8,849-850
Northern Regional,91,77.4,8.2,7.8,72.1,849-850
Eastern Regional,93,78.9,7.6,8.1,73.4,849-850
Southern District,94,79.2,6.9,8.0,74.2,849-850
Western Densmok,99,86.2,18.3,8.4,71.8,849-850
Western Millbrook,95,82.1,14.6,7.9,70.4,849-850
Coastal Administrative,92,77.8,9.1,7.6,72.8,849-850
River Valley,90,76.3,10.4,7.4,71.2,849-850
Mountain Province,88,75.1,11.8,7.2,69.8,849-850
Agricultural North,89,76.8,9.7,7.3,70.6,849-850
Agricultural South,91,77.2,8.9,7.5,71.4,849-850
Industrial Zone,94,78.4,7.3,8.0,73.8,849-850
Border Services,93,78.1,7.8,7.8,72.6,849-850
