date,weather_type,temperature,wind_direction,wind_strength,ground_moisture,visibility,drift_modifier,compass_variance_modifier,dens_mist_active,days_since_mist,anomaly_probability_modifier,notes
1840-01-01,overcast,cold,north,light,29.1,0.9,1.1,1.0,False,15,1.0,
1840-01-02,clear,cold,north,moderate,26.4,1.0,1.0,1.0,False,16,1.0,
1840-01-03,overcast,cold,north,light,25.5,0.9,1.1,1.0,False,17,1.0,
1840-01-04,overcast,cool,north,light,24.5,0.9,1.1,1.0,False,18,1.0,
1840-01-05,clear,cold,east,moderate,21.8,1.0,1.0,1.0,False,19,1.0,
1840-01-06,fog,cold,north,light,22.5,0.5,1.3,1.1,False,20,1.0,
1840-01-07,dens_mist,cold,south,light,24.2,0.3,2.0,1.3,True,0,3.0,The mist comes with an unnatural stillness.
1840-01-08,overcast,cold,west,moderate,23.3,0.9,1.5,1.5,True,1,1.0,Wind from the west carries a distant low tone. Residual effects of yesterday's dens mist persist.
1840-01-09,rain,cold,south,moderate,29.2,0.7,1.25,1.0,True,2,2.0,
1840-01-10,overcast,cold,north,light,28.3,0.9,1.12,1.0,True,3,1.5,
1840-01-11,dens_mist,cold,calm,calm,30.0,0.3,2.0,1.3,True,0,3.0,Ground-hugging mist obscures the perimeter markers.
1840-01-12,overcast,cold,south,light,29.1,0.9,1.5,1.0,True,1,1.0,Residual effects of yesterday's dens mist persist.
1840-01-13,overcast,cold,west,moderate,28.2,0.9,1.25,1.5,True,2,2.0,Wind from the west carries a distant low tone.
1840-01-14,overcast,cold,north,moderate,27.3,0.9,1.12,1.0,True,3,1.5,
1840-01-15,overcast,cold,south,strong,26.4,0.9,1.1,1.0,False,4,1.0,
1840-01-16,overcast,cold,calm,calm,25.5,0.9,1.1,1.0,False,5,1.0,
1840-01-17,clear,cold,north,light,22.7,1.0,1.0,1.0,False,6,1.0,
1840-01-18,clear,cold,calm,calm,20.0,1.0,1.0,1.0,False,7,1.0,
1840-01-19,clear,cool,east,strong,17.3,1.0,1.0,1.0,False,8,1.0,
1840-01-20,clear,cold,north,moderate,14.6,1.0,1.0,1.0,False,9,1.0,
1840-01-21,overcast,cold,south,moderate,13.7,0.9,1.1,1.0,False,10,1.0,
1840-01-22,clear,cool,calm,calm,10.9,1.0,1.0,1.0,False,11,1.0,
1840-01-23,clear,cold,north,light,8.2,1.0,1.0,1.0,False,12,1.0,
1840-01-24,fog,cool,south,light,9.3,0.5,1.3,1.1,False,13,1.0,
1840-01-25,clear,cold,south,moderate,6.6,1.0,1.0,1.0,False,14,1.0,
1840-01-26,overcast,cold,north,strong,5.7,0.9,1.1,1.0,False,15,1.0,
1840-01-27,fog,cold,south,light,6.6,0.5,1.3,1.1,False,16,1.0,
1840-01-28,dens_mist,cold,calm,calm,9.6,0.3,2.0,1.3,True,0,3.0,"A pale mist drifts from the dens, carrying no smell."
1840-01-29,clear,cold,north,moderate,6.8,1.0,1.5,1.0,True,1,1.0,Residual effects of yesterday's dens mist persist.
1840-01-30,clear,cold,west,moderate,5.0,1.0,1.25,1.5,True,2,2.0,Wind from the west carries a distant low tone.
1840-01-31,overcast,cold,east,light,5.0,0.9,1.12,1.0,True,3,1.5,
1840-02-01,fog,cold,west,light,5.7,0.5,1.3,1.65,False,4,1.0,
1840-02-02,overcast,cold,north,moderate,5.0,0.9,1.1,1.0,False,5,1.0,
