term,common_definition,stone_school_definition,water_school_definition,pebble_school_definition,first_attested_manuscript_id,disputes,related_terms
word,A unit of language,A hard thing that can be passed unchanged from person to person,A drop that dissolves into the whole when spoken,A fragment on loan from an ancient place,MS-0003,"Central dispute between all schools. No resolution possible.",speech;utterance;stone;drop
stone,A piece of rock,The model for words: permanent and discrete,A physical object unrelated to language,The raw material from which pebbles derive,MS-0033,"Stone-school uses metaphorically; others literally.","pebble;rock;word"
drop,A small quantity of liquid,A poor metaphor for words,The model for words: absorbed into the whole,An intermediate state between word and silence,MS-0003,"Water-school's central metaphor. Stone-school rejects entirely.","water;pool;dissolution"
pebble,A small rounded stone,A diminutive stone with same properties,Irrelevant to word theory,A word in its resting state between uses,MS-0015,"Fibon's innovation. Neither school accepts.",stone;counting;number
dissolution,The process of dissolving,A falsehood about words,The natural fate of all utterances,A temporary state before return,MS-0008,"Key water-school concept. Stone-school denies it occurs.","drop;pool;forgetting"
permanence,Lasting unchanged,The essential quality of words,An illusion created by memory,A quality of the source not the loan,MS-0012,"Stone-school's core claim. Water-school's primary target.","stone;memory;persistence"
pool,A body of still water,A physical location in Mirado,The collective repository of all words ever spoken,The source and destination of pebble-words,MS-0004,"Mirado's seventy pools give water-school its metaphor.","water;Mirado;dissolution"
Yeller,A fivefold being of five women,Words made flesh; proof of stone-school principles,An anomaly requiring further study,Evidence that words return to their source,MS-0085,"All schools claim Yeller supports their position. None convincingly.","five;creature;Quarry"
utterance,An act of speaking,The projection of a word-stone into the world,The moment of dissolution,The lending of a pebble-word,MS-0034,"Contested across all schools.","word;speech;speaking"
silence,Absence of sound,The space between word-stones,The natural state after dissolution,The resting place of pebble-words,MS-0035,"Stone-school sees silence as empty; water-school as full.","word;absence;rest"
memory,The faculty of recall,The location where word-stones are stored,An illusion masking dissolution,The awareness of having lent a word,MS-0010,"Water-school claims memory deceives us about permanence.","forgetting;storage;mind"
forgetting,Loss of memory,Losing track of where word-stones were placed,Recognition of natural dissolution,Return of a word to its source,MS-0009,"Grigsu: we forget where we put words, not the words themselves.","memory;dissolution;loss"
counting,Enumeration,Handling word-stones one by one,Irrelevant to word theory,The origin of language itself,MS-0015,"Fibon believed first words arose from counting failures.","pebble;number;origin"
meaning,What words convey,The content carried by word-stones,That which dissolves into collective understanding,The shape worn into pebbles by use,MS-0045,"All schools agree meaning exists; disagree on its nature.","word;content;understanding"
origin,The source of something,Irrelevant; stones simply exist,The pools from which words emerge,The ancient place from which all words come,MS-0001,"Pebble-school unique in positing a single origin.","source;beginning;ancient"
return,Coming back,Impossible for words once given,Impossible; dissolution is final,The natural fate of all lent words,MS-0016,"Only pebble-school believes words return.","origin;pebble;lending"
lending,Temporary giving,Impossible; words are given absolutely,Impossible; words dissolve,The fundamental nature of speech,MS-0017,"Pebble-school innovation. Neither school accepts.","pebble;temporary;return"
five,The number 5,A significant number in Yeller lore,Merely a quantity,A prime number with special counting properties,MS-0085,"The five of Yeller. The yeller numbers: 2 3 5 7 11.","Yeller;prime;number"
prime,A number divisible only by 1 and itself,Numbers associated with Yeller,Irrelevant to word theory,The purest form of counting,MS-0089,"Yeller numbers are primes. Significance disputed.","five;number;counting"
transcript,A written record of speech,Proof that words can be captured and preserved,A memorial to dissolved words,A shadow of lent pebbles,MS-0109,"Stone-school points to transcripts as evidence.","record;writing;debate"
debate,Formal argument,Exchange of word-stones,Collective dissolution toward truth,Competitive lending of pebbles,MS-0109,"The practice of recording debates itself debated.","argument;kachot;transcript"
kachot,A card game played by scholars,A game using word-like tokens,A pleasant pastime,A counting game at heart,MS-0125,"Played with cards knots and scoring hooks. Old rules vs new rules.","game;cards;scholars"
archive,A collection of records,A storehouse of preserved words,A cemetery of dissolved utterances,A lending library of pebbles,MS-0070,"The archive district embodies stone-school principles.","records;storage;shop"
archivist,One who maintains archives,A keeper of word-stones,A tender of memorials,A librarian of loans,MS-0070,"Licensed shops have round windows. No walk-in entrance.","archive;shop;license"
license,Official permission,Authorization to handle word-stones,A formality,Permission to lend,MS-0071,"Archive shops must be licensed and registered near the Senate-house.","archivist;shop;legal"
window,An opening in a wall,The interface for word-stone exchange,An opening through which words escape,A portal for lending and return,MS-0070,"Each archive shop has a single round window out front.","shop;archivist;round"
Mirado,A tower city in the desert,A place that hoards words,The home of water-school philosophy,The place where pebble-school originated,MS-0001,"City of spiraling streets. Seventy pools. No dirt.","tower;pool;desert"
Dens,A primordial muck region,A place where words become mired,A place of ultimate dissolution,A place where pebbles are lost,MS-0039,"The edge of disintegration. Densmuck dissolves everything.","muck;dissolution;border"
Quarry,A region of creature extraction,Yeller Quarry: source of word-flesh creatures,A chaotic region,A mining site for pebbles metaphorically,MS-0081,"Yeller Quarry: creatures half bone half skin half metal.","Yeller;creature;expedition"
Capital,The political center,The home of stone-school in practice,Grid-patterned streets: anti-dissolution,A place of constant lending,MS-0046,"Near the Senate-house. Archives district. Political center.","Senate;archive;politics"
expedition,A journey for discovery,Recovery of word-stones from the wild,Dissolution into unknown regions,Lending oneself to danger,MS-0061,"Expeditions to Quarry Mirado Dens North Dead River documented.","journey;Quarry;survey"
creature,A living being,A being that may embody words,A dissolving form,A pebble given temporary flesh,MS-0025,"Yeller Quarry creatures: stakdur wharver grimslew.","Yeller;taxonomy;Quarry"
stakdur,A dangerous Quarry creature,A word-beast of great danger,A dissolving predator,Unknown,MS-0082,"Devours whole. Many expedition deaths attributed to stakdur.","creature;Quarry;danger"
wharver,A rusted creature of the Quarry,Iron-covered word-flesh,A creature in process of dissolution,Unknown,MS-0083,"Globed lizard with fins. Hot belly. Steam from gills.","creature;Quarry;iron"
grimslew,A creature in the Dens,A word lost in the muck,The embodiment of final dissolution,A pebble that cannot return,MS-0039,"Fish stuck in inland pitch-black sea. Stories only.","creature;Dens;muck"
densmuck,The muck of the Dens,Word-dissolving substance,The ultimate solvent,The one thing that can destroy pebbles,MS-0039,"Primordial muck. Dissolves everything including words.","Dens;dissolution;muck"
pickbox cart,A traveling vehicle,A mobile word-stone repository,A vehicle for carrying dissolved memories,A lending wagon,MS-0023,"Bagbu's vehicle. Bulged with papers and ideas.","Bagbu;travel;cart"
stall town,A trading settlement near the Quarry,A place of word-barter,A dissolving community,A temporary lending site,MS-0091,"Crime-ridden lawless stench-filled. Swapping of creatures and people.","Quarry;trade;settlement"
Tripas,A large stall town,The most organized word-market,A relatively stable dissolution site,A major lending center,MS-0077,"Aggregated city. Commercial outpost near Capital.","stall town;trade;Quarry"
Miasto,Capital of the Quarry region,Administrative center for Quarry word-trade,A bureaucratic dissolution point,Unknown,MS-0081,"Dirty city. Yeller Quarry capital.","Quarry;city;administration"
