embedding_id,object,category,probe_object_1,morphism_set_1,probe_object_2,morphism_set_2,probe_object_3,morphism_set_3,probe_object_4,morphism_set_4,embedding_vector,is_complete,year_computed,scholar,methodology,notes
YE-001,archive_A,capital_archives,subject_index,{f1 f2},author_index,{g1 g2 g3},date_index,{h1},location_index,{k1 k2},[[f1 f2] [g1 g2 g3] [h1] [k1 k2]],TRUE,955,pelleth_strand,exhaustive_enumeration,First complete embedding computation
YE-002,archive_B,capital_archives,subject_index,{f3 f4 f5},author_index,{g4},date_index,{h2 h3},location_index,{k3},[[f3 f4 f5] [g4] [h2 h3] [k3]],TRUE,955,pelleth_strand,exhaustive_enumeration,Second archive object embedded
YE-003,archive_C,capital_archives,subject_index,{f6},author_index,{g5 g6},date_index,{h4 h5 h6},location_index,{k4 k5},[[f6] [g5 g6] [h4 h5 h6] [k4 k5]],TRUE,955,pelleth_strand,exhaustive_enumeration,Third archive object embedded
YE-004,document_D1,document_category,query_q1,{0.82},query_q2,{0.15},query_q3,{0.67},query_q4,{0.45},[0.82 0.15 0.67 0.45],TRUE,958,pelleth_strand,similarity_computation,Numerical embedding via similarity probes
YE-005,document_D2,document_category,query_q1,{0.23},query_q2,{0.91},query_q3,{0.34},query_q4,{0.78},[0.23 0.91 0.34 0.78],TRUE,958,pelleth_strand,similarity_computation,Second document embedded numerically
YE-006,document_D3,document_category,query_q1,{0.56},query_q2,{0.43},query_q3,{0.89},query_q4,{0.12},[0.56 0.43 0.89 0.12],TRUE,958,pelleth_strand,similarity_computation,Third document embedded numerically
YE-007,word_king,word_category,probe_royal,{0.91},probe_male,{0.87},probe_power,{0.78},probe_abstract,{0.23},[0.91 0.87 0.78 0.23],TRUE,962,pelleth_strand,word_embedding_probes,Word embedding via semantic probes
YE-008,word_queen,word_category,probe_royal,{0.93},probe_male,{0.12},probe_power,{0.75},probe_abstract,{0.21},[0.93 0.12 0.75 0.21],TRUE,962,pelleth_strand,word_embedding_probes,Comparison embedding for queen
YE-009,word_man,word_category,probe_royal,{0.15},probe_male,{0.94},probe_power,{0.45},probe_abstract,{0.18},[0.15 0.94 0.45 0.18],TRUE,962,pelleth_strand,word_embedding_probes,Comparison embedding for man
YE-010,word_woman,word_category,probe_royal,{0.17},probe_male,{0.08},probe_power,{0.42},probe_abstract,{0.20},[0.17 0.08 0.42 0.20],TRUE,962,pelleth_strand,word_embedding_probes,Comparison embedding for woman
YE-011,morphism_f,arrow_category,source_probe,{A},target_probe,{B},composition_left,{gf hf},composition_right,{fg fh},[A B {gf hf} {fg fh}],TRUE,965,pelleth_strand,categorical_embedding,Embedding a morphism
YE-012,morphism_g,arrow_category,source_probe,{B},target_probe,{C},composition_left,{hg},composition_right,{gf},[B C {hg} {gf}],TRUE,965,pelleth_strand,categorical_embedding,Second morphism embedded
YE-013,representable_hom_A,functor_category,value_at_A,{id_A},value_at_B,{f1 f2},value_at_C,{g1},action_on_h,{h* = post(h)},[{id_A} {f1 f2} {g1} h*],TRUE,968,pelleth_strand,representable_computation,Embedding a representable functor
YE-014,representable_hom_B,functor_category,value_at_A,{k1},value_at_B,{id_B},value_at_C,{m1 m2},action_on_h,{h* = post(h)},[{k1} {id_B} {m1 m2} h*],TRUE,968,pelleth_strand,representable_computation,Second representable embedded
YE-015,sentence_S1,sentence_category,probe_subject,{0.67},probe_action,{0.89},probe_object,{0.34},probe_sentiment,{0.56},[0.67 0.89 0.34 0.56],TRUE,972,pelleth_strand,sentence_embedding,Sentence embedding via grammatical probes
YE-016,sentence_S2,sentence_category,probe_subject,{0.71},probe_action,{0.45},probe_object,{0.82},probe_sentiment,{0.23},[0.71 0.45 0.82 0.23],TRUE,972,pelleth_strand,sentence_embedding,Comparison sentence
YE-017,paragraph_P1,text_category,topic_probe,{0.45 0.32 0.78},style_probe,{0.56 0.23},length_probe,{medium},complexity_probe,{0.67},[{0.45 0.32 0.78} {0.56 0.23} medium 0.67],TRUE,975,pelleth_strand,extended_text,Paragraph embedding via multi-dimensional probes
YE-018,abstract_concept_justice,concept_category,probe_fairness,{0.92},probe_legality,{0.78},probe_emotion,{0.34},probe_abstraction,{0.95},[0.92 0.78 0.34 0.95],TRUE,976,pelleth_strand,concept_embedding,Embedding abstract concepts
YE-019,yoneda_test_object,test_category,hom_from_1,{id},hom_from_2,{f g},hom_from_3,{h},hom_from_4,{k1 k2 k3},[{id} {f g} {h} {k1 k2 k3}],TRUE,978,pelleth_strand,theorem_verification,Final theorem test: complete characterization verified
YE-020,strand_proof_verification,proof_category,axiom_1,{satisfied},axiom_2,{satisfied},lemma_3,{satisfied},theorem,{QED},[satisfied satisfied satisfied QED],TRUE,978,pelleth_strand,theorem_verification,The Probing Theorem formally verified
